日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,前鎮,12.23,27.19,39.41,15.68,69.13,35.9,3.97
2016-01-08,前鎮,7.24,26.88,34.08,19.8,63.23,31.73,3.42
2016-01-15,前鎮,9.57,31.34,40.88,18.35,68.05,36.79,3.81
2016-01-22,前鎮,6.79,28.03,34.82,19.64,56.94,26.37,3.87
2016-01-29,前鎮,8.46,26.12,34.56,15.18,52.73,24.82,2.7
2016-02-05,前鎮,6.52,24.08,30.56,34.19,68.4,35.2,3.16
2016-02-12,前鎮,8.63,23.41,32.04,15.34,53.12,26.05,4.01
2016-02-19,前鎮,4.3,26.81,30.88,25.75,78.82,38.9,3.65
2016-02-26,前鎮,4.17,25.76,29.97,32.54,81.16,37.8,4.26
2016-03-04,前鎮,6.1,27.13,33.27,23.72,59.28,28.32,5.52
2016-03-11,前鎮,12.22,31.73,43.94,16.26,57.94,27.69,4.61
2016-03-18,前鎮,5.63,25.4,31.05,18.69,57.54,30.3,3.51
2016-03-25,前鎮,4.49,27.02,31.46,38.06,67.17,33.53,4.85
2016-04-01,前鎮,3.68,18.71,22.36,25.72,58.02,29.78,6.58
2016-04-08,前鎮,4.63,21.23,25.84,23.16,39.65,19.06,5.65
2016-04-15,前鎮,5.28,17.22,22.43,20.48,40.33,16.98,5.91
2016-04-22,前鎮,3.55,14.91,18.44,19.52,32.64,13.63,5.75
2016-04-29,前鎮,3.15,14.26,17.39,35.18,48.64,25.39,5.09
2016-05-06,前鎮,3.93,14.92,18.8,15.59,25.55,9.18,6.75
2016-05-13,前鎮,2.4,16.65,19.05,39.9,43.77,19.66,4.45
2016-05-20,前鎮,3.28,16.48,19.74,26.51,30.52,14.86,6.27
2016-05-27,前鎮,2.93,7.92,10.85,16.46,21.27,6.84,3.57
2016-06-03,前鎮,3.52,10.9,14.4,18.07,21.38,8.73,4.47
2016-06-10,前鎮,7.0,15.45,22.41,12.89,25.01,8.08,4.02
2016-06-17,前鎮,5.21,11.94,17.11,12.55,23.22,7.33,5.93
2016-06-24,前鎮,5.59,10.45,16.09,11.11,22.69,5.6,6.76
2016-07-01,前鎮,4.39,12.28,16.69,19.43,29.23,11.57,5.95
2016-07-08,前鎮,3.6,12.17,15.77,16.79,27.63,8.93,5.25
2016-07-15,前鎮,4.37,10.39,14.76,13.22,24.24,10.98,4.52
2016-07-22,前鎮,4.13,11.98,16.1,18.78,26.01,13.66,5.65
2016-07-29,前鎮,3.35,13.96,17.29,22.11,33.0,16.04,4.83
2016-08-05,前鎮,2.3,12.61,14.94,28.86,27.99,15.32,3.71
2016-08-12,前鎮,4.82,16.59,21.46,14.08,22.95,6.42,6.01
2016-08-19,前鎮,3.54,14.67,18.22,26.33,45.47,18.73,5.99
2016-08-26,前鎮,2.06,14.74,16.72,44.01,44.55,22.97,4.8
2016-09-02,前鎮,6.03,17.8,23.82,13.22,18.84,5.51,4.75
2016-09-09,前鎮,3.99,11.65,15.64,18.85,29.69,9.86,3.66
2016-09-16,前鎮,2.99,16.46,19.43,39.24,48.0,20.0,5.25
2016-09-23,前鎮,2.6,15.53,18.14,40.53,58.32,25.4,5.01
2016-09-30,前鎮,3.96,21.56,25.52,29.18,47.94,25.24,8.7
2016-10-07,前鎮,6.09,21.63,27.73,20.53,44.15,18.0,5.77
2016-10-14,前鎮,2.73,18.11,20.83,39.4,69.33,29.36,5.64
2016-10-21,前鎮,3.73,16.97,20.66,23.48,42.98,15.32,6.74
2016-10-28,前鎮,3.01,21.82,24.86,39.13,79.35,32.49,5.37
2016-11-04,前鎮,3.01,21.34,24.36,36.62,66.19,26.03,4.07
2016-11-11,前鎮,2.86,25.12,28.0,43.29,81.7,40.16,6.65
2016-11-18,前鎮,6.6,29.27,35.85,24.88,78.26,37.71,5.55
2016-11-25,前鎮,5.64,25.86,31.45,23.12,62.17,23.88,4.01
2016-12-02,前鎮,5.85,28.79,34.63,26.61,96.61,41.76,4.43
2016-12-09,前鎮,4.74,27.47,32.24,31.33,90.08,35.88,5.07
2016-12-16,前鎮,4.22,32.65,36.84,30.0,89.55,43.76,5.45
2016-12-23,前鎮,6.69,28.92,35.61,26.42,86.99,37.35,4.47
