日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,林園,3.95,23.48,27.35,19.44,46.6,39.84,6.64
2016-01-08,林園,5.04,25.0,30.06,22.8,44.03,35.53,6.02
2016-01-15,林園,5.19,27.97,33.1,23.52,46.99,38.59,7.3
2016-01-22,林園,4.09,24.06,28.12,22.71,38.67,28.0,5.28
2016-01-29,林園,6.91,27.72,34.56,18.12,39.83,28.11,6.11
2016-02-05,林園,2.54,17.03,19.55,40.15,50.21,40.66,4.79
2016-02-12,林園,5.6,20.56,26.15,18.0,39.28,26.77,4.77
2016-02-19,林園,3.97,24.6,28.31,31.6,57.18,43.97,6.04
2016-02-26,林園,3.5,21.34,24.79,38.77,55.28,41.04,5.93
2016-03-04,林園,3.26,18.28,21.54,33.25,43.48,37.73,6.28
2016-03-11,林園,7.04,23.5,30.46,23.45,40.57,33.37,7.3
2016-03-18,林園,3.53,18.77,22.32,25.41,40.92,38.63,4.68
2016-03-25,林園,3.07,18.25,21.33,43.65,44.36,36.89,5.19
2016-04-01,林園,1.81,10.67,12.45,33.67,38.64,34.78,5.0
2016-04-08,林園,2.18,10.91,13.08,32.1,27.7,20.25,4.5
2016-04-15,林園,2.29,9.95,12.27,26.8,28.64,19.75,4.08
2016-04-22,林園,1.83,8.02,9.83,24.67,24.31,16.46,4.42
2016-04-29,林園,1.33,8.25,9.55,40.16,37.8,30.59,3.54
2016-05-06,林園,1.31,5.34,6.63,21.98,18.73,8.85,2.61
2016-05-13,林園,1.49,10.43,11.88,46.34,32.07,24.12,4.34
2016-05-20,林園,1.06,5.95,7.0,34.67,23.76,15.27,2.68
2016-05-27,林園,2.04,6.15,8.19,18.22,24.02,10.3,3.98
2016-06-03,林園,1.37,4.91,6.2,25.1,19.56,8.91,2.27
2016-06-10,林園,1.59,5.72,7.25,20.91,23.48,8.57,2.55
2016-06-17,林園,1.7,4.28,5.97,16.83,20.3,7.77,1.96
2016-06-24,林園,1.31,2.77,4.08,14.98,20.89,4.33,2.03
2016-07-01,林園,1.6,5.78,7.39,21.76,25.41,11.6,2.73
2016-07-08,林園,1.67,3.05,4.71,25.94,27.28,7.92,2.53
2016-07-15,林園,1.6,6.1,7.69,15.23,25.26,12.85,2.87
2016-07-22,林園,1.77,7.38,9.14,22.2,26.15,15.91,3.07
2016-07-29,林園,1.29,5.97,7.24,28.88,31.84,17.23,2.42
2016-08-05,林園,1.79,8.92,10.72,31.23,25.18,15.52,4.08
2016-08-12,林園,0.84,2.59,3.43,27.54,28.68,6.15,1.41
2016-08-19,林園,1.42,5.99,7.4,30.75,32.69,21.54,2.84
2016-08-26,林園,1.37,7.75,9.13,48.07,36.86,30.18,3.53
2016-09-02,林園,1.39,5.49,6.88,23.16,16.94,6.08,1.94
2016-09-09,林園,1.81,6.77,8.57,23.03,23.18,11.73,2.8
2016-09-16,林園,2.37,10.19,12.55,35.53,34.12,23.66,3.59
2016-09-23,林園,2.13,6.96,9.07,48.43,36.63,26.84,3.81
2016-09-30,林園,1.8,9.9,11.71,36.29,30.54,21.4,4.56
2016-10-07,林園,1.7,8.69,10.41,29.66,31.2,16.2,3.2
2016-10-14,林園,1.35,10.5,11.83,41.72,53.49,42.31,4.71
2016-10-21,林園,1.43,8.71,10.15,28.79,36.27,21.37,4.25
2016-10-28,林園,2.53,16.82,19.41,45.4,57.44,41.39,7.14
2016-11-04,林園,1.95,16.53,18.47,41.61,47.86,32.81,5.39
2016-11-11,林園,1.68,15.09,16.8,52.46,55.04,51.29,6.46
2016-11-18,林園,4.71,22.58,27.35,32.71,53.92,44.95,6.72
2016-11-25,林園,2.97,19.92,22.9,27.53,41.23,23.91,5.55
2016-12-02,林園,4.0,27.16,31.12,33.34,71.37,42.38,8.94
2016-12-09,林園,3.09,22.45,25.52,39.21,57.63,31.56,7.78
2016-12-16,林園,3.55,24.23,27.71,35.39,57.52,35.36,7.56
2016-12-23,林園,4.47,22.61,27.04,27.45,52.87,24.73,5.63
