日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,前鎮,5.2,27.2,32.4,28.95,95.9,54.44,4.92
2017-01-08,前鎮,4.75,28.31,33.01,28.15,96.71,47.98,5.42
2017-01-15,前鎮,4.89,26.61,31.54,23.83,85.03,39.72,4.06
2017-01-22,前鎮,4.08,26.09,30.06,28.95,93.16,41.61,4.11
2017-01-29,前鎮,3.81,23.06,26.82,25.52,86.3,37.67,4.31
2017-02-05,前鎮,4.98,25.66,30.59,24.4,101.56,50.08,4.23
2017-02-12,前鎮,4.03,29.28,33.36,30.83,90.34,43.58,4.77
2017-02-19,前鎮,4.52,23.73,28.21,24.21,78.36,35.53,5.31
2017-02-26,前鎮,2.73,23.64,26.32,36.37,94.7,45.63,5.04
2017-03-05,前鎮,4.69,25.79,30.48,26.78,81.89,46.32,4.47
2017-03-12,前鎮,2.98,23.35,26.34,33.11,72.39,43.92,5.53
2017-03-19,前鎮,2.69,19.8,22.49,36.84,70.36,39.15,4.82
2017-03-26,前鎮,2.03,20.41,22.43,41.42,71.66,35.93,4.51
2017-04-02,前鎮,1.68,16.84,18.52,43.76,59.37,28.71,5.11
2017-04-09,前鎮,4.24,19.09,23.37,21.99,41.32,26.78,4.59
2017-04-16,前鎮,3.11,13.6,16.67,22.81,34.82,17.76,4.65
2017-04-23,前鎮,1.98,20.67,22.57,44.44,55.39,32.5,4.96
2017-04-30,前鎮,2.2,17.15,19.36,41.23,54.62,31.75,6.74
2017-05-07,前鎮,3.0,12.85,15.82,26.06,40.89,20.7,5.35
2017-05-14,前鎮,2.45,17.92,20.36,36.57,44.31,25.23,4.57
2017-05-21,前鎮,2.43,14.13,16.52,30.33,32.23,16.34,4.44
2017-05-28,前鎮,3.6,14.21,17.82,24.23,36.65,16.5,5.41
2017-06-04,前鎮,3.7,12.34,16.0,12.79,25.55,8.26,4.69
2017-06-11,前鎮,3.83,11.23,15.04,10.93,25.98,4.99,3.24
2017-06-18,前鎮,3.75,9.65,13.38,10.51,21.79,6.09,4.56
2017-06-25,前鎮,3.58,10.44,13.98,14.2,25.61,7.63,3.9
2017-07-02,前鎮,4.5,10.36,14.85,10.36,24.83,6.06,4.39
2017-07-09,前鎮,3.21,12.13,15.33,16.67,26.56,9.21,4.63
2017-07-16,前鎮,2.13,15.08,17.2,31.43,39.52,20.54,5.11
2017-07-23,前鎮,2.44,13.36,15.76,21.16,31.51,12.48,5.02
2017-07-30,前鎮,4.34,14.72,19.06,16.56,36.69,12.62,5.32
2017-08-06,前鎮,2.17,8.84,10.97,13.23,28.5,9.25,3.86
2017-08-13,前鎮,2.44,11.81,14.21,17.71,25.46,12.54,4.38
2017-08-20,前鎮,3.17,15.67,18.8,20.29,35.58,18.23,6.12
2017-08-27,前鎮,4.48,16.44,20.83,20.29,34.49,16.44,6.08
2017-09-03,前鎮,2.8,11.03,13.86,19.15,30.71,11.86,6.04
2017-09-10,前鎮,2.78,12.8,15.6,32.0,40.05,19.94,4.97
2017-09-17,前鎮,1.92,16.15,18.03,46.47,55.46,34.27,5.74
2017-09-24,前鎮,2.69,12.7,15.37,26.76,36.7,20.42,5.54
2017-10-01,前鎮,1.49,15.07,16.51,42.03,61.33,36.55,5.65
2017-10-08,前鎮,3.16,15.5,18.58,30.19,52.48,23.39,3.83
2017-10-15,前鎮,2.8,17.36,20.13,29.86,57.61,23.4,3.07
2017-10-22,前鎮,2.12,20.83,22.98,48.33,91.58,42.37,4.26
2017-10-29,前鎮,2.64,24.5,27.17,37.99,94.4,36.14,4.09
2017-11-05,前鎮,3.68,26.26,29.98,30.26,93.12,51.47,4.85
2017-11-12,前鎮,4.39,25.62,29.96,26.59,74.15,46.07,4.92
2017-11-19,前鎮,4.27,24.33,28.54,23.99,81.81,35.26,3.6
2017-11-26,前鎮,3.98,24.08,28.06,26.21,85.5,43.7,3.23
2017-12-03,前鎮,4.3,25.38,29.71,23.25,84.48,43.52,3.34
2017-12-10,前鎮,6.0,27.24,33.29,22.13,87.46,45.95,4.22
2017-12-17,前鎮,4.62,24.66,29.22,25.73,77.85,36.89,3.78
2017-12-24,前鎮,3.49,23.81,27.28,32.02,104.55,54.23,4.19
