日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,楠梓,6.36,21.79,28.17,27.51,108.39,53.76,2.95
2017-01-08,楠梓,4.58,21.76,26.35,28.1,104.56,49.36,3.44
2017-01-15,楠梓,3.93,21.03,24.92,24.5,92.68,38.22,3.08
2017-01-22,楠梓,3.4,19.96,23.33,30.17,98.49,38.58,3.25
2017-01-29,楠梓,2.36,15.61,17.95,29.24,92.46,38.34,2.77
2017-02-05,楠梓,3.68,19.88,23.54,25.05,110.69,55.17,3.12
2017-02-12,楠梓,5.3,21.6,26.82,33.46,100.87,47.55,3.26
2017-02-19,楠梓,4.44,19.46,23.91,25.42,97.34,42.03,3.5
2017-02-26,楠梓,2.84,18.92,21.75,37.18,107.5,50.98,3.74
2017-03-05,楠梓,4.82,21.77,26.61,27.13,92.94,45.0,3.21
2017-03-12,楠梓,3.26,17.25,20.5,37.64,90.24,43.39,3.83
2017-03-19,楠梓,2.29,16.02,18.0,39.94,93.4,40.31,3.47
2017-03-26,楠梓,4.04,18.76,22.76,40.06,85.21,34.25,3.43
2017-04-02,楠梓,2.78,16.1,18.87,45.71,77.31,33.84,3.49
2017-04-09,楠梓,5.17,14.86,20.02,21.97,62.6,28.15,3.05
2017-04-16,楠梓,3.96,10.62,14.55,24.91,51.88,20.98,2.96
2017-04-23,楠梓,2.33,16.02,18.32,43.68,78.49,35.29,3.47
2017-04-30,楠梓,2.17,13.1,15.29,45.97,79.54,35.85,3.85
2017-05-07,楠梓,3.74,10.93,14.65,29.63,63.21,23.46,3.92
2017-05-14,楠梓,2.85,14.49,17.31,37.97,59.61,23.3,3.1
2017-05-21,楠梓,2.75,12.06,14.78,32.02,53.78,17.38,3.04
2017-05-28,楠梓,2.29,8.05,10.34,30.37,54.33,16.47,3.1
2017-06-04,楠梓,5.22,11.31,16.49,16.97,41.86,12.34,3.13
2017-06-11,楠梓,5.67,9.67,15.3,11.82,33.12,7.45,2.77
2017-06-18,楠梓,6.1,9.55,15.68,12.36,32.88,8.68,3.13
2017-06-25,楠梓,5.29,9.33,14.57,14.67,34.36,8.99,3.46
2017-07-02,楠梓,5.71,11.73,17.44,15.77,32.35,9.05,3.67
2017-07-09,楠梓,4.03,12.18,16.09,21.13,35.29,9.97,3.16
2017-07-16,楠梓,3.17,12.18,15.29,33.77,45.46,20.55,2.73
2017-07-23,楠梓,3.86,13.25,17.11,23.51,38.01,14.96,3.06
2017-07-30,楠梓,3.96,13.93,17.87,20.23,34.27,10.96,2.79
2017-08-06,楠梓,3.81,6.92,10.73,14.98,32.94,10.23,1.99
2017-08-13,楠梓,3.81,9.22,12.91,19.47,32.45,13.03,2.56
2017-08-20,楠梓,4.04,14.59,18.51,21.12,40.98,16.44,4.62
2017-08-27,楠梓,4.25,12.92,16.81,23.43,44.66,15.85,3.07
2017-09-03,楠梓,2.93,10.66,13.45,21.89,31.47,11.32,3.28
2017-09-10,楠梓,2.3,12.13,14.34,32.39,51.95,20.03,3.08
2017-09-17,楠梓,1.71,14.37,15.92,46.46,75.05,34.91,3.85
2017-09-24,楠梓,3.34,11.46,14.34,28.52,52.59,17.78,2.82
2017-10-01,楠梓,1.85,14.12,15.48,40.69,73.55,27.81,3.19
2017-10-08,楠梓,2.42,14.33,16.66,28.32,63.24,20.0,2.84
2017-10-15,楠梓,2.65,12.43,15.09,30.84,62.65,17.25,2.32
2017-10-22,楠梓,2.6,17.75,20.13,44.41,96.28,33.52,3.35
2017-10-29,楠梓,2.46,17.23,19.64,38.5,101.12,29.82,2.83
2017-11-05,楠梓,2.45,17.11,19.31,29.9,117.46,42.33,2.94
2017-11-12,楠梓,3.64,17.03,20.37,28.27,96.82,45.04,2.76
2017-11-19,楠梓,2.91,17.36,20.21,25.88,94.31,36.5,2.94
2017-11-26,楠梓,3.56,16.55,20.06,26.99,106.18,41.54,2.68
2017-12-03,楠梓,3.36,21.06,24.31,23.47,93.65,42.73,2.83
2017-12-10,楠梓,4.56,19.39,23.92,24.37,100.62,43.26,3.02
2017-12-17,楠梓,3.04,17.0,20.03,29.18,86.43,33.67,2.88
2017-12-24,楠梓,4.35,18.1,22.46,31.9,117.01,55.65,3.22
