日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,新店,2.49,12.45,14.93,32.45,25.51,12.67,1.66
2018-01-08,新店,4.33,14.94,19.27,28.12,24.74,12.31,1.91
2018-01-15,新店,4.67,17.63,22.29,31.22,20.47,13.8,2.06
2018-01-22,新店,2.12,11.28,13.4,34.52,18.22,9.8,1.55
2018-01-29,新店,2.56,16.37,18.93,29.54,19.47,13.51,1.92
2018-02-05,新店,10.73,20.5,31.23,27.55,28.23,18.19,1.89
2018-02-12,新店,3.06,14.46,17.52,38.24,47.18,22.6,2.06
2018-02-19,新店,4.82,18.0,22.81,29.48,32.93,22.27,2.14
2018-02-26,新店,9.07,23.15,32.21,26.27,46.78,29.02,2.32
2018-03-05,新店,2.89,12.4,15.29,34.87,24.38,13.51,1.52
2018-03-12,新店,3.47,17.56,21.03,35.25,28.86,16.01,2.09
2018-03-19,新店,2.28,13.12,15.39,41.74,37.39,19.6,1.89
2018-03-26,新店,2.27,9.92,12.19,39.68,33.84,15.29,1.74
2018-04-02,新店,1.84,10.46,12.29,41.11,59.11,24.61,2.11
2018-04-09,新店,4.39,15.95,20.33,34.69,39.23,20.35,2.39
2018-04-16,新店,1.75,10.57,12.32,44.69,43.03,17.06,1.73
2018-04-23,新店,2.32,13.4,15.71,45.16,34.21,19.0,1.95
2018-04-30,新店,2.4,14.0,16.4,42.76,38.67,23.22,2.92
2018-05-07,新店,2.07,13.1,15.17,39.65,32.38,17.58,2.49
2018-05-14,新店,2.59,16.08,18.67,35.08,41.38,27.43,4.27
2018-05-21,新店,2.31,12.84,15.14,38.81,38.35,21.89,2.5
2018-05-28,新店,1.98,11.14,13.12,41.85,30.68,19.01,2.28
2018-06-04,新店,2.86,10.36,13.21,22.1,22.12,15.45,2.12
2018-06-11,新店,1.77,10.16,11.92,43.09,24.86,14.04,1.64
2018-06-18,新店,3.1,10.09,13.19,20.29,19.0,9.84,1.97
2018-06-25,新店,2.52,10.97,13.49,32.82,28.11,16.25,2.42
2018-07-02,新店,2.67,7.77,10.44,20.54,20.98,9.94,1.53
2018-07-09,新店,2.72,4.52,7.24,14.66,14.47,8.05,1.38
2018-07-16,新店,2.71,4.93,7.64,12.98,10.3,6.47,1.68
2018-07-23,新店,2.58,10.04,12.62,29.43,31.37,19.15,2.37
2018-07-30,新店,2.11,10.75,12.86,34.01,29.91,17.84,2.5
2018-08-06,新店,2.29,9.79,12.06,28.74,27.58,19.33,2.29
2018-08-13,新店,2.63,10.8,13.43,24.24,26.61,10.48,2.07
2018-08-20,新店,2.25,9.61,11.86,26.77,18.87,8.18,1.9
2018-08-27,新店,3.53,11.27,14.79,23.05,24.83,10.13,1.9
2018-09-03,新店,2.3,11.08,13.38,28.09,26.52,14.63,2.13
2018-09-10,新店,2.96,7.12,10.07,19.66,15.77,7.4,1.6
2018-09-17,新店,2.5,8.8,11.29,22.67,31.38,15.34,1.77
2018-09-24,新店,2.04,13.64,15.68,32.29,36.01,13.17,1.48
2018-10-01,新店,1.67,11.59,13.26,47.93,35.21,17.47,1.82
2018-10-08,新店,2.12,13.2,15.31,31.92,19.5,10.88,2.04
2018-10-15,新店,1.89,11.66,13.55,38.63,30.28,11.4,1.55
2018-10-22,新店,2.27,11.88,14.15,36.74,48.82,17.27,1.63
2018-10-29,新店,2.06,11.93,13.99,38.15,29.66,9.3,1.4
2018-11-05,新店,2.75,12.63,15.38,25.96,26.03,14.34,1.78
2018-11-12,新店,2.3,12.01,14.3,29.68,22.46,11.38,1.89
2018-11-19,新店,2.2,10.69,12.88,32.24,15.74,8.38,1.45
2018-11-26,新店,2.42,11.4,13.81,32.96,27.9,11.48,1.59
2018-12-03,新店,3.26,14.02,17.27,26.2,18.29,8.85,1.99
2018-12-10,新店,4.26,13.77,18.02,21.72,14.7,6.54,1.46
2018-12-17,新店,4.8,16.82,21.61,30.18,39.2,16.36,2.15
2018-12-24,新店,3.34,12.52,15.85,26.0,10.79,5.79,1.38
