日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,萬華,5.04,20.84,25.86,18.24,26.42,10.37,2.11
2018-01-08,萬華,9.39,22.86,32.25,17.57,25.56,12.09,1.95
2018-01-15,萬華,9.02,24.81,33.82,22.85,28.58,14.81,3.28
2018-01-22,萬華,5.33,19.28,24.6,25.6,24.52,11.35,2.41
2018-01-29,萬華,6.54,24.15,30.68,20.12,22.93,13.7,2.01
2018-02-05,萬華,13.08,29.91,42.99,18.41,34.98,24.55,2.28
2018-02-12,萬華,9.53,26.46,35.99,26.72,57.28,23.82,2.86
2018-02-19,萬華,5.61,24.43,30.02,23.51,37.3,19.44,1.95
2018-02-26,萬華,21.56,34.88,56.43,16.83,55.54,30.28,3.76
2018-03-05,萬華,4.85,20.82,25.67,26.67,30.72,13.7,1.84
2018-03-12,萬華,7.52,28.83,36.36,24.8,39.79,18.56,3.14
2018-03-19,萬華,3.99,20.73,24.72,34.59,40.43,16.35,1.48
2018-03-26,萬華,4.2,18.8,22.99,32.45,42.6,16.72,1.96
2018-04-02,萬華,3.05,18.18,21.21,34.75,64.41,23.04,2.15
2018-04-09,萬華,8.2,24.23,32.42,27.81,41.75,19.71,2.56
2018-04-16,萬華,3.35,22.04,25.38,38.69,51.79,18.58,2.37
2018-04-23,萬華,3.24,20.53,23.77,41.59,38.29,20.62,2.63
2018-04-30,萬華,3.49,20.71,24.19,35.07,40.56,20.35,2.71
2018-05-07,萬華,3.79,21.07,24.86,34.7,36.49,15.96,2.54
2018-05-14,萬華,4.03,20.75,24.77,24.62,42.94,23.48,4.01
2018-05-21,萬華,3.46,20.03,23.48,30.8,43.9,21.03,3.55
2018-05-28,萬華,2.8,17.3,20.09,35.59,32.65,17.71,2.53
2018-06-04,萬華,5.27,15.52,20.79,20.85,25.21,13.33,3.08
2018-06-11,萬華,3.32,19.35,22.67,37.39,31.72,15.18,2.09
2018-06-18,萬華,5.61,16.43,22.04,15.14,24.22,8.84,1.84
2018-06-25,萬華,4.62,17.12,21.73,25.23,34.56,17.58,2.75
2018-07-02,萬華,4.97,14.52,19.49,16.82,23.65,10.66,2.01
2018-07-09,萬華,6.4,9.66,16.05,10.0,20.35,7.33,1.49
2018-07-16,萬華,6.99,9.05,16.03,8.95,19.46,8.21,1.67
2018-07-23,萬華,5.18,18.32,23.5,21.27,36.0,18.14,2.51
2018-07-30,萬華,3.84,17.89,21.73,26.46,36.35,19.03,3.27
2018-08-06,萬華,4.41,16.05,20.45,21.41,32.52,20.49,2.95
2018-08-13,萬華,4.8,19.61,24.41,22.18,26.85,13.51,2.51
2018-08-20,萬華,3.88,17.36,21.23,21.98,24.25,10.61,2.02
2018-08-27,萬華,6.64,19.63,26.26,17.85,25.53,11.38,1.79
2018-09-03,萬華,4.72,20.55,25.26,22.98,32.6,16.78,2.56
2018-09-10,萬華,6.75,13.27,20.01,15.27,22.29,8.72,1.44
2018-09-17,萬華,5.73,16.69,22.42,20.94,31.69,18.93,2.63
2018-09-24,萬華,3.51,19.87,23.37,30.18,35.3,13.52,1.87
2018-10-01,萬華,3.34,19.28,22.62,44.91,39.11,16.23,2.27
2018-10-08,萬華,3.86,21.48,25.33,28.48,21.93,11.1,1.54
2018-10-15,萬華,3.46,21.97,25.41,32.23,26.58,11.52,2.08
2018-10-22,萬華,3.92,21.74,25.65,30.1,40.41,17.99,2.28
2018-10-29,萬華,4.26,20.68,24.91,34.84,27.92,10.54,1.93
2018-11-05,萬華,6.18,22.5,28.68,22.69,30.91,16.7,2.46
2018-11-12,萬華,4.9,19.64,24.53,25.97,25.09,10.79,2.2
2018-11-19,萬華,5.03,20.57,25.6,24.91,22.53,8.32,1.97
2018-11-26,萬華,5.83,23.12,28.94,25.36,33.47,13.29,1.8
2018-12-03,萬華,5.81,20.63,26.44,23.4,21.51,8.66,2.1
2018-12-10,萬華,7.68,20.06,27.74,18.41,18.47,8.82,2.32
2018-12-17,萬華,6.71,26.46,33.16,24.21,37.77,14.33,2.47
2018-12-24,萬華,5.15,17.6,22.74,22.75,15.34,5.38,1.55
