日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,竹東,3.15,12.21,15.36,20.42,45.78,26.59,2.03
2017-01-08,竹東,1.97,10.84,12.83,28.56,34.58,19.04,2.07
2017-01-15,竹東,2.3,10.33,12.6,27.31,31.44,15.12,1.84
2017-01-22,竹東,2.09,7.44,9.5,34.46,34.2,17.83,1.76
2017-01-29,竹東,1.55,7.66,9.19,27.64,31.47,17.56,1.7
2017-02-05,竹東,1.33,8.57,9.87,33.21,48.11,25.07,2.06
2017-02-12,竹東,1.84,10.48,12.22,34.85,42.42,23.19,1.78
2017-02-19,竹東,2.6,13.82,16.41,25.67,35.22,19.29,1.93
2017-02-26,竹東,3.1,12.97,16.09,31.96,46.9,25.33,2.08
2017-03-05,竹東,2.55,13.2,15.76,31.27,40.86,24.72,2.08
2017-03-12,竹東,5.0,15.08,20.02,26.59,43.87,24.11,1.96
2017-03-19,竹東,3.87,13.89,17.82,29.01,37.61,19.56,1.66
2017-03-26,竹東,3.21,12.42,15.61,38.12,58.16,28.06,2.05
2017-04-02,竹東,1.73,10.72,12.38,39.14,50.0,29.03,3.02
2017-04-09,竹東,2.36,11.55,13.91,25.16,38.63,19.67,2.02
2017-04-16,竹東,2.17,8.69,10.81,25.2,42.31,23.21,1.72
2017-04-23,竹東,2.89,11.73,14.62,35.96,38.92,19.64,1.99
2017-04-30,竹東,1.92,10.26,12.17,30.32,50.01,30.07,2.2
2017-05-07,竹東,1.71,9.14,10.86,26.03,46.17,22.36,1.87
2017-05-14,竹東,1.59,8.96,10.49,29.73,29.2,12.74,1.81
2017-05-21,竹東,1.55,7.98,9.54,23.93,31.91,13.93,2.15
2017-05-28,竹東,1.78,6.79,8.5,22.08,26.49,15.01,1.68
2017-06-04,竹東,1.95,7.12,9.05,20.55,35.84,21.98,1.84
2017-06-11,竹東,2.42,8.78,11.22,19.42,18.4,12.22,0.93
2017-06-18,竹東,3.72,6.49,10.19,14.29,23.44,14.55,1.28
2017-06-25,竹東,1.91,6.32,8.25,22.13,25.29,13.86,1.28
2017-07-02,竹東,1.45,5.88,7.27,18.79,20.52,8.5,0.74
2017-07-09,竹東,0.92,5.74,6.37,19.98,24.88,12.21,
2017-07-16,竹東,0.73,6.92,7.5,27.42,32.33,19.42,1.65
2017-07-23,竹東,1.88,6.2,7.89,23.18,27.87,17.13,1.2
2017-07-30,竹東,1.08,6.45,7.38,18.36,27.94,14.24,1.17
2017-08-06,竹東,1.08,5.78,6.77,20.23,28.19,15.6,1.0
2017-08-13,竹東,1.14,6.7,7.69,23.0,26.17,14.88,1.81
2017-08-20,竹東,1.43,7.11,8.31,24.19,27.98,16.57,1.29
2017-08-27,竹東,1.48,5.97,7.26,22.15,20.61,10.63,0.97
2017-09-03,竹東,1.94,7.22,8.95,23.51,31.61,17.44,1.72
2017-09-10,竹東,1.86,6.28,8.12,29.5,30.27,15.01,2.16
2017-09-17,竹東,1.43,9.36,10.68,43.46,42.87,25.53,2.24
2017-09-24,竹東,2.84,9.17,12.01,29.32,34.52,20.43,2.71
2017-10-01,竹東,1.57,6.28,7.87,34.4,35.06,18.55,1.54
2017-10-08,竹東,1.76,4.87,6.62,26.41,24.79,12.55,1.93
2017-10-15,竹東,2.25,6.82,9.06,29.07,24.2,9.99,1.56
2017-10-22,竹東,1.36,6.72,7.99,50.75,42.15,20.52,2.01
2017-10-29,竹東,1.41,6.93,8.32,40.95,34.81,17.73,1.25
2017-11-05,竹東,2.08,7.98,10.06,32.94,30.71,17.53,1.52
2017-11-12,竹東,2.67,9.65,12.25,23.88,26.57,16.78,1.75
2017-11-19,竹東,2.09,9.3,11.4,28.26,18.16,12.22,1.44
2017-11-26,竹東,2.06,8.44,10.46,29.78,28.73,19.34,1.49
2017-12-03,竹東,2.0,8.92,10.88,34.67,30.77,20.02,1.97
2017-12-10,竹東,2.46,9.28,11.76,29.27,25.76,18.02,1.59
2017-12-17,竹東,1.57,7.63,9.22,36.73,26.02,18.95,1.62
2017-12-24,竹東,1.92,9.56,11.45,31.88,42.42,29.12,2.79
