日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,中壢,27.73,30.52,58.3,19.9,75.06,27.27,4.42
2015-01-08,中壢,14.42,25.97,40.35,28.05,62.98,20.54,4.04
2015-01-15,中壢,15.28,28.03,43.38,24.48,80.14,28.1,3.99
2015-01-22,中壢,23.04,37.0,60.05,20.66,85.7,35.17,5.39
2015-01-29,中壢,14.39,23.87,38.3,19.26,43.89,11.03,3.04
2015-02-05,中壢,23.81,31.49,55.27,19.2,70.81,37.03,4.8
2015-02-12,中壢,21.65,35.92,57.57,29.14,96.61,32.77,4.92
2015-02-19,中壢,19.44,26.6,46.09,20.13,69.77,21.38,2.78
2015-02-26,中壢,21.55,26.81,48.37,18.96,60.67,19.8,3.3
2015-03-05,中壢,16.11,26.96,43.04,20.23,44.46,11.69,3.3
2015-03-12,中壢,26.21,35.81,61.99,16.25,92.47,29.67,5.28
2015-03-19,中壢,10.82,25.76,36.59,31.32,68.16,16.74,3.45
2015-03-26,中壢,31.53,35.95,67.45,17.49,57.33,17.18,4.41
2015-04-02,中壢,19.06,23.98,43.02,19.23,56.15,13.05,3.55
2015-04-09,中壢,19.57,36.41,55.98,26.04,57.01,18.96,4.17
2015-04-16,中壢,21.63,27.71,49.35,22.09,69.61,21.21,3.87
2015-04-23,中壢,17.17,26.96,44.13,28.39,65.8,22.69,4.65
2015-04-30,中壢,23.44,30.63,54.07,21.24,64.67,24.96,4.27
2015-05-07,中壢,21.48,29.63,51.14,20.03,67.98,24.72,4.07
2015-05-14,中壢,29.24,22.87,52.14,12.54,48.21,15.91,2.89
2015-05-21,中壢,26.22,29.47,55.64,18.29,37.58,12.3,3.8
2015-05-28,中壢,24.33,25.39,49.715,13.48,40.47,13.13,3.9699999999999998
2015-06-04,中壢,22.44,21.31,43.79,13.96,45.26,14.35,4.14
2015-06-11,中壢,25.05,20.78,45.84,13.42,44.04,14.71,4.18
2015-06-18,中壢,14.84,21.14,35.98,20.41,41.55,13.76,3.46
2015-06-25,中壢,23.68,20.72,44.43,14.77,49.93,14.71,3.45
2015-07-02,中壢,13.73,21.79,35.5,18.58,46.6,13.98,3.81
2015-07-09,中壢,12.09,19.85,31.99,21.15,48.43,18.56,3.22
2015-07-16,中壢,14.51,24.19,38.67,24.73,52.32,22.72,5.06
2015-07-23,中壢,22.17,22.6,44.81,15.73,41.19,13.96,3.53
2015-07-30,中壢,19.74,23.52,43.26,18.4,41.47,17.41,4.41
2015-08-06,中壢,21.86,20.52,42.37,13.91,40.01,12.78,3.56
2015-08-13,中壢,25.65,22.09,47.69,15.2,34.92,10.73,3.38
2015-08-20,中壢,19.14,19.36,38.47,17.16,37.19,11.2,3.0
2015-08-27,中壢,29.94,27.45,57.34,9.82,37.81,12.11,3.09
2015-09-03,中壢,20.14,26.78,46.98,21.03,44.82,13.85,3.83
2015-09-10,中壢,14.25,25.23,39.48,29.81,43.6,12.44,4.11
2015-09-17,中壢,16.42,31.0,47.47,33.99,54.09,22.09,4.62
2015-09-24,中壢,15.16,25.1,40.25,25.32,45.04,14.86,4.36
2015-10-01,中壢,21.05,24.31,45.36,19.32,46.56,15.35,4.11
2015-10-08,中壢,12.7,27.6,40.3,35.9,54.4,18.12,4.17
2015-10-15,中壢,10.84,19.37,30.25,34.49,44.69,11.6,3.54
2015-10-22,中壢,16.3,26.08,42.38,27.95,56.97,20.54,3.77
2015-10-29,中壢,17.14,24.61,41.75,26.28,51.2,17.45,3.96
2015-11-05,中壢,17.37,28.19,45.61,29.66,66.89,27.52,4.07
2015-11-12,中壢,25.52,32.01,57.58,19.38,56.12,21.6,4.97
2015-11-19,中壢,15.81,24.67,40.45,21.82,42.76,10.52,4.19
2015-11-26,中壢,19.95,25.74,45.66,22.07,46.75,12.51,4.36
2015-12-03,中壢,17.0,22.62,39.64,23.99,51.63,11.32,4.17
2015-12-10,中壢,16.74,26.25,42.98,21.67,57.64,22.39,4.79
2015-12-17,中壢,24.67,26.9,51.59,18.35,56.61,16.26,4.98
2015-12-24,中壢,16.69,26.78,43.49,23.94,57.86,23.0,3.92
