日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,龍潭,6.32,17.27,23.61,31.18,62.38,31.01,2.7
2015-01-08,龍潭,1.83,10.35,12.16,42.07,49.66,22.81,2.41
2015-01-15,龍潭,2.84,14.47,17.26,36.84,68.77,32.49,2.42
2015-01-22,龍潭,4.17,20.03,24.21,34.43,67.38,34.46,3.41
2015-01-29,龍潭,3.35,13.45,16.87,27.56,32.87,12.28,2.34
2015-02-05,龍潭,4.56,17.34,21.83,30.76,54.69,27.83,4.17
2015-02-12,龍潭,4.5,21.2,25.68,43.19,81.21,40.06,3.08
2015-02-19,龍潭,3.69,15.49,19.18,28.34,55.17,25.81,2.01
2015-02-26,龍潭,3.83,14.8,18.6,30.39,48.19,20.91,2.49
2015-03-05,龍潭,3.28,15.68,18.96,31.26,37.12,14.81,2.33
2015-03-12,龍潭,5.85,21.42,27.26,28.69,72.2,33.14,3.33
2015-03-19,龍潭,2.49,14.31,16.76,41.64,60.31,22.02,2.64
2015-03-26,龍潭,5.5,20.03,25.3,30.18,51.12,20.46,2.66
2015-04-02,龍潭,3.21,12.16,15.39,31.29,53.39,19.5,2.98
2015-04-09,龍潭,2.31,17.46,19.73,42.65,43.28,19.3,2.68
2015-04-16,龍潭,3.28,13.21,16.47,36.86,56.66,24.61,3.04
2015-04-23,龍潭,2.66,13.68,16.23,40.25,54.45,23.07,2.75
2015-04-30,龍潭,2.7,15.02,17.69,33.78,54.96,26.38,2.76
2015-05-07,龍潭,3.29,15.24,18.51,30.48,60.98,24.95,3.08
2015-05-14,龍潭,3.33,11.15,14.47,22.55,45.36,14.99,2.77
2015-05-21,龍潭,3.56,15.37,18.92,27.32,33.59,11.53,3.27
2015-05-28,龍潭,2.62,9.38,12.03,22.06,38.15,12.43,1.96
2015-06-04,龍潭,3.09,10.81,13.9,21.68,39.71,15.34,2.79
2015-06-11,龍潭,2.55,9.04,11.58,22.37,34.85,13.55,2.61
2015-06-18,龍潭,2.81,10.57,13.37,25.9,34.73,15.5,2.32
2015-06-25,龍潭,2.14,8.21,10.35,22.97,40.08,14.32,2.14
2015-07-02,龍潭,2.28,9.82,12.07,30.87,40.83,16.68,2.3
2015-07-09,龍潭,2.12,9.13,11.2,29.02,41.13,20.05,3.13
2015-07-16,龍潭,2.23,11.63,13.83,34.55,45.98,24.42,3.16
2015-07-23,龍潭,2.73,9.17,11.9,23.88,31.85,13.42,2.37
2015-07-30,龍潭,2.77,11.87,14.63,26.61,36.34,18.45,2.75
2015-08-06,龍潭,3.06,10.75,13.82,18.15,34.42,15.04,2.56
2015-08-13,龍潭,2.32,8.37,10.71,22.37,32.19,17.19,2.12
2015-08-20,龍潭,2.46,9.14,11.63,24.78,37.0,14.91,2.48
2015-08-27,龍潭,4.21,12.69,16.92,15.8,29.98,11.68,2.2
2015-09-03,龍潭,2.35,10.6,12.93,32.13,38.52,18.73,2.83
2015-09-10,龍潭,2.32,10.79,13.11,40.14,37.77,16.53,2.66
2015-09-17,龍潭,1.9,13.78,15.64,46.62,53.13,29.82,4.07
2015-09-24,龍潭,2.62,13.33,15.96,31.58,38.58,17.04,4.01
2015-10-01,龍潭,3.33,12.85,16.12,28.02,45.3,20.35,2.83
2015-10-08,龍潭,1.78,10.81,12.55,46.68,51.7,22.27,3.0
2015-10-15,龍潭,1.75,7.04,8.78,41.36,36.55,14.01,2.21
2015-10-22,龍潭,2.22,12.68,14.93,36.2,51.4,24.75,3.03
2015-10-29,龍潭,3.13,11.35,14.49,35.18,41.62,19.46,3.08
2015-11-05,龍潭,2.92,14.8,17.75,35.35,59.68,31.91,2.93
2015-11-12,龍潭,3.81,17.27,21.03,26.53,45.66,22.65,2.92
2015-11-19,龍潭,2.75,12.6,15.3,27.94,37.05,12.7,2.86
2015-11-26,龍潭,3.31,13.43,16.65,28.25,38.2,15.54,2.6
2015-12-03,龍潭,2.49,10.7,13.22,31.32,42.79,14.44,2.46
2015-12-10,龍潭,3.04,13.6,16.62,27.26,49.21,25.99,3.76
2015-12-17,龍潭,6.17,16.99,23.14,24.3,52.1,24.05,3.72
2015-12-24,龍潭,2.88,13.75,16.63,30.76,47.88,24.05,3.01
