日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,松山,21.93,24.92,46.84,23.57,46.01,21.4,2.8
2015-01-08,松山,4.73,19.13,23.84,33.46,44.32,20.38,2.59
2015-01-15,松山,5.69,21.39,27.04,30.16,58.45,27.93,3.0
2015-01-22,松山,12.2,30.23,42.41,24.07,53.03,30.36,3.68
2015-01-29,松山,6.45,19.42,25.83,22.94,20.22,8.5,2.07
2015-02-05,松山,11.85,23.81,35.66,26.79,42.1,21.99,2.71
2015-02-12,松山,9.52,25.8,35.35,36.78,73.25,32.81,2.92
2015-02-19,松山,9.09,21.71,30.78,27.92,47.09,22.25,2.69
2015-02-26,松山,9.38,20.12,29.51,26.68,31.14,17.58,2.78
2015-03-05,松山,6.35,20.38,26.75,29.77,24.57,11.71,2.03
2015-03-12,松山,13.13,30.71,43.89,22.89,48.03,26.5,5.56
2015-03-19,松山,4.3,20.17,24.5,40.55,52.9,20.25,3.39
2015-03-26,松山,11.35,27.28,38.6,26.32,29.32,15.38,3.89
2015-04-02,松山,6.08,19.39,25.47,30.73,33.24,17.67,3.88
2015-04-09,松山,6.42,27.22,33.65,33.54,32.83,14.65,2.51
2015-04-16,松山,9.93,26.88,36.8,27.64,46.18,24.37,3.87
2015-04-23,松山,5.11,19.84,24.93,37.13,49.66,22.44,3.35
2015-04-30,松山,7.35,26.29,33.66,31.21,48.67,27.19,4.17
2015-05-07,松山,11.41,23.88,35.29,28.16,44.8,22.17,4.18
2015-05-14,松山,7.67,23.85,31.48,24.45,42.76,22.37,5.18
2015-05-21,松山,11.25,24.87,36.12,22.14,25.96,12.47,3.04
2015-05-28,松山,9.44,20.88,30.36,21.89,31.07,14.77,3.39
2015-06-04,松山,6.66,21.05,27.72,24.79,33.5,16.69,4.21
2015-06-11,松山,6.73,22.83,29.47,26.95,36.72,17.19,4.08
2015-06-18,松山,6.24,19.17,25.42,24.05,28.67,16.09,3.88
2015-06-25,松山,9.0,18.88,27.84,22.82,38.98,17.22,2.76
2015-07-02,松山,4.42,12.58,17.0,22.69,24.32,11.16,2.26
2015-07-09,松山,5.38,15.98,21.37,25.03,31.08,15.4,3.52
2015-07-16,松山,5.39,17.71,23.14,29.71,34.46,18.78,5.26
2015-07-23,松山,9.56,21.46,31.01,24.29,32.79,15.3,3.06
2015-07-30,松山,6.16,20.65,26.76,31.62,33.99,18.64,5.44
2015-08-06,松山,6.45,14.53,20.98,22.67,31.39,14.77,3.35
2015-08-13,松山,12.41,19.46,31.86,14.56,26.24,10.55,2.88
2015-08-20,松山,6.2,13.45,19.61,19.17,24.55,9.63,2.83
2015-08-27,松山,9.98,23.67,33.7,15.45,21.8,9.91,2.68
2015-09-03,松山,6.87,19.35,26.16,29.78,31.98,16.1,2.9
2015-09-10,松山,3.33,14.98,18.32,35.17,26.8,11.85,2.36
2015-09-17,松山,3.78,17.83,21.59,40.12,35.84,18.85,3.63
2015-09-24,松山,5.2,17.88,23.05,29.98,30.32,15.05,3.31
2015-10-01,松山,5.5,14.62,20.12,21.34,25.88,12.19,3.0
2015-10-08,松山,3.49,18.65,22.1,41.24,40.96,18.81,3.03
2015-10-15,松山,3.26,15.19,18.49,35.74,34.97,12.62,2.79
2015-10-22,松山,3.74,16.84,20.59,34.57,42.38,21.72,2.47
2015-10-29,松山,5.39,18.42,23.8,28.94,36.15,17.38,2.78
2015-11-05,松山,6.8,18.47,25.21,25.74,40.75,21.79,3.6
2015-11-12,松山,7.35,22.34,29.71,25.31,32.8,15.42,3.12
2015-11-19,松山,3.34,15.11,18.43,27.67,24.85,9.05,2.15
2015-11-26,松山,5.86,18.89,24.76,23.31,27.58,12.06,2.58
2015-12-03,松山,5.52,18.26,23.79,23.82,37.13,11.87,2.5
2015-12-10,松山,5.56,19.48,25.03,24.48,45.78,23.44,3.06
2015-12-17,松山,10.87,21.56,32.46,18.53,39.54,16.06,3.55
2015-12-24,松山,5.55,20.57,26.12,26.35,41.41,20.71,2.39
