日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,士林,13.89,19.07,32.95,29.85,43.02,21.51,2.68
2015-01-08,士林,3.06,9.59,12.65,42.48,41.93,20.23,3.15
2015-01-15,士林,2.91,12.41,15.3,39.71,57.48,28.73,2.4
2015-01-22,士林,6.42,20.76,27.18,33.15,52.63,29.48,2.93
2015-01-29,士林,3.42,11.11,14.54,31.06,20.18,8.61,1.96
2015-02-05,士林,5.53,17.52,23.05,33.64,42.32,22.36,2.78
2015-02-12,士林,3.05,15.1,18.13,47.89,70.24,34.41,2.93
2015-02-19,士林,3.35,16.07,19.4,32.47,47.29,22.18,2.61
2015-02-26,士林,10.5,16.46,27.04,29.77,34.85,17.52,2.01
2015-03-05,士林,2.96,13.52,16.53,34.64,26.47,11.08,1.81
2015-03-12,士林,7.27,24.9,31.91,25.68,48.57,28.78,3.18
2015-03-19,士林,2.56,13.01,15.45,46.13,45.91,18.94,2.61
2015-03-26,士林,6.61,21.16,27.76,30.54,36.77,16.34,2.58
2015-04-02,士林,3.41,14.99,18.26,32.93,35.54,18.66,2.57
2015-04-09,士林,2.38,18.78,21.12,37.41,30.34,15.2,1.87
2015-04-16,士林,4.21,17.22,21.42,33.81,43.07,23.58,2.41
2015-04-23,士林,2.56,12.07,14.66,44.35,37.25,18.91,3.48
2015-04-30,士林,4.09,18.45,22.54,37.29,39.6,23.55,3.53
2015-05-07,士林,6.86,19.21,26.03,30.41,39.61,20.57,3.93
2015-05-14,士林,4.24,17.31,21.58,22.33,37.12,17.79,2.88
2015-05-21,士林,7.62,17.26,24.88,27.82,22.47,10.83,2.63
2015-05-28,士林,4.75,15.05,19.81,23.19,34.49,13.32,2.65
2015-06-04,士林,3.99,15.39,19.4,24.64,31.58,14.28,2.68
2015-06-11,士林,4.02,16.18,20.23,22.19,35.82,14.7,3.18
2015-06-18,士林,4.12,14.85,18.99,25.23,29.59,14.16,2.9
2015-06-25,士林,3.5,14.07,17.55,23.07,40.21,15.75,3.01
2015-07-02,士林,1.51,9.61,11.07,27.12,27.63,11.23,2.29
2015-07-09,士林,2.13,9.93,12.02,30.03,31.24,16.01,2.77
2015-07-16,士林,2.33,13.12,15.44,34.54,35.38,20.81,3.93
2015-07-23,士林,5.62,17.45,23.09,24.33,35.33,16.2,2.87
2015-07-30,士林,4.05,15.1,19.11,28.72,32.05,18.31,3.02
2015-08-06,士林,3.06,11.83,14.65,24.0,29.485,15.16,2.85
2015-08-13,士林,4.68,14.65,19.31,19.96,26.92,11.75,2.43
2015-08-20,士林,2.23,8.41,10.56,26.44,25.14,11.84,2.508571428571429
2015-08-27,士林,4.95,18.31,23.27,18.87,22.28,11.0,2.587142857142857
2015-09-03,士林,4.31,12.92,17.21,30.8,31.15,15.96,2.665714285714286
2015-09-10,士林,1.82,8.58,10.27,44.14,27.69,13.62,2.744285714285714
2015-09-17,士林,2.23,12.52,14.69,46.84,37.11,23.23,2.822857142857143
2015-09-24,士林,1.74,14.78,16.44,33.04,30.33,16.47,2.9014285714285712
2015-10-01,士林,2.18,9.77,11.9,26.6,25.87,13.09,2.98
2015-10-08,士林,1.42,10.7,12.09,49.51,39.72,19.82,2.69
2015-10-15,士林,1.25,5.85,7.03,46.85,32.33,11.89,1.9
2015-10-22,士林,2.41,9.98,12.38,40.71,44.71,24.67,1.74
2015-10-29,士林,1.91,8.79,10.71,39.64,31.38,16.75,1.77
2015-11-05,士林,4.05,12.63,16.67,34.1,39.21,24.14,2.87
2015-11-12,士林,3.81,16.01,19.82,30.7,31.04,18.03,3.22
2015-11-19,士林,1.53,8.61,10.13,36.14,22.71,10.02,2.89
2015-11-26,士林,2.87,11.69,14.56,32.09,25.89,10.86,3.29
2015-12-03,士林,1.57,8.62,10.16,34.39,32.99,10.06,2.68
2015-12-10,士林,2.55,12.24,14.76,31.66,37.32,19.75,3.29
2015-12-17,士林,4.85,15.69,20.54,26.43,38.9,16.07,3.21
2015-12-24,士林,3.07,13.74,16.82,33.35,37.05,18.54,2.09
