日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,頭份,3.79,16.54,20.34,22.4,59.78,30.59,2.1
2017-01-08,頭份,2.75,16.48,19.21,29.22,45.43,25.57,2.72
2017-01-15,頭份,2.31,15.23,17.55,30.13,37.76,17.53,2.22
2017-01-22,頭份,2.15,14.18,16.28,36.85,41.01,22.23,2.04
2017-01-29,頭份,1.66,10.95,12.6,32.9,40.3,19.8,1.78
2017-02-05,頭份,1.67,14.33,15.95,37.84,52.93,28.32,2.22
2017-02-12,頭份,3.02,15.64,18.67,38.91,51.36,27.2,2.3
2017-02-19,頭份,3.01,15.39,18.44,31.91,41.99,21.41,2.15
2017-02-26,頭份,2.71,18.16,20.84,36.16,53.64,26.5,2.31
2017-03-05,頭份,2.85,18.97,21.6,35.79,50.16,26.26,2.2
2017-03-12,頭份,1.93,16.57,18.53,37.89,50.78,24.29,2.51
2017-03-19,頭份,2.5,14.33,16.87,39.9,39.25,18.22,2.02
2017-03-26,頭份,2.39,15.86,18.19,45.88,66.24,32.23,2.17
2017-04-02,頭份,2.57,13.59,16.16,45.23,54.18,29.06,2.14
2017-04-09,頭份,2.63,13.75,16.38,29.77,42.9,21.59,2.3
2017-04-16,頭份,2.82,11.78,14.58,29.06,54.77,23.23,2.7
2017-04-23,頭份,2.47,15.67,18.12,42.64,51.79,21.95,2.31
2017-04-30,頭份,2.43,12.98,15.38,36.53,49.62,27.66,2.8
2017-05-07,頭份,1.76,11.74,13.48,34.19,51.46,21.74,3.26
2017-05-14,頭份,1.69,13.06,14.73,39.45,28.75,17.56,2.11
2017-05-21,頭份,2.38,14.29,16.64,32.56,29.24,18.97,2.46
2017-05-28,頭份,1.68,11.51,13.17,28.65,27.46,14.29,2.46
2017-06-04,頭份,2.6,9.54,12.1,26.78,33.38,17.97,2.5
2017-06-11,頭份,2.74,10.89,13.65,22.51,21.55,10.78,2.45
2017-06-18,頭份,3.51,8.82,12.37,16.51,20.33,9.88,2.89
2017-06-25,頭份,1.85,7.59,9.37,23.32,25.09,11.05,2.51
2017-07-02,頭份,2.28,7.53,9.79,21.76,22.16,8.38,1.78
2017-07-09,頭份,2.19,7.75,9.95,18.99,26.53,11.1,2.46
2017-07-16,頭份,1.76,8.52,10.16,27.74,32.89,16.04,2.68
2017-07-23,頭份,2.28,8.97,11.27,26.53,32.91,15.77,2.66
2017-07-30,頭份,2.47,10.01,12.26,23.43,30.96,13.78,2.65
2017-08-06,頭份,2.54,8.71,11.24,19.99,31.92,13.96,2.66
2017-08-13,頭份,3.07,8.77,11.83,20.47,27.24,14.74,3.04
2017-08-20,頭份,2.29,9.11,11.4,27.91,32.96,16.38,2.48
2017-08-27,頭份,1.87,8.92,10.75,26.3,25.87,13.57,1.63
2017-09-03,頭份,1.95,8.66,10.58,28.13,33.75,18.12,2.51
2017-09-10,頭份,2.07,10.27,12.33,32.51,36.88,19.38,2.55
2017-09-17,頭份,1.77,14.66,16.42,42.0,52.18,29.65,3.56
2017-09-24,頭份,2.21,11.57,13.84,31.25,37.17,20.5,3.28
2017-10-01,頭份,1.47,11.35,12.78,38.82,39.46,23.08,2.28
2017-10-08,頭份,2.07,9.41,11.46,31.66,29.73,18.04,2.23
2017-10-15,頭份,2.77,10.01,12.79,32.42,26.94,14.26,1.96
2017-10-22,頭份,1.49,12.6,14.11,56.12,46.05,24.64,2.23
2017-10-29,頭份,1.97,11.49,13.41,41.23,38.14,20.9,1.97
2017-11-05,頭份,2.26,12.96,15.29,35.96,37.77,22.18,2.37
2017-11-12,頭份,3.11,15.27,18.39,26.51,34.68,19.32,3.15
2017-11-19,頭份,1.98,13.03,15.01,29.95,24.74,13.93,2.28
2017-11-26,頭份,3.42,12.33,15.74,30.75,33.1,18.58,2.37
2017-12-03,頭份,2.47,14.89,17.28,34.31,39.38,22.55,2.48
2017-12-10,頭份,2.91,13.93,16.79,30.32,30.48,16.82,2.12
2017-12-17,頭份,3.41,14.16,17.59,33.23,40.08,21.91,2.6
2017-12-24,頭份,2.5,15.26,17.79,34.14,56.18,30.29,2.58
