日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,三義,1.18,10.73,11.89,29.73,40.73,22.36,2.58
2018-01-08,三義,1.27,7.45,8.73,35.04,25.28,13.54,1.7
2018-01-15,三義,1.63,11.58,13.2,28.25,34.53,20.55,1.3
2018-01-22,三義,1.48,9.36,10.83,31.03,27.39,15.03,1.5
2018-01-29,三義,1.06,9.26,10.32,30.63,20.34,14.3,1.01
2018-02-05,三義,1.64,8.98,10.62,32.33,25.92,16.08,1.15
2018-02-12,三義,1.07,8.17,9.24,41.14,53.36,27.54,1.57
2018-02-19,三義,1.45,10.12,11.56,29.82,27.5,19.6,1.56
2018-02-26,三義,1.96,11.61,13.56,32.93,45.9,31.59,2.27
2018-03-05,三義,1.16,8.36,9.52,36.92,27.44,17.5,1.71
2018-03-12,三義,1.16,9.58,10.74,44.13,41.12,30.35,1.59
2018-03-19,三義,0.97,7.82,8.78,49.98,42.07,26.27,1.96
2018-03-26,三義,0.77,7.78,8.54,47.77,50.25,31.7,2.33
2018-04-02,三義,0.78,6.5,7.29,42.19,53.32,29.67,1.95
2018-04-09,三義,1.61,9.3,10.91,36.35,33.55,19.94,2.84
2018-04-16,三義,0.99,8.62,9.59,47.42,47.37,29.7,2.17
2018-04-23,三義,1.22,10.19,11.39,43.38,43.33,30.82,2.25
2018-04-30,三義,1.26,9.62,10.88,36.68,38.95,27.36,2.54
2018-05-07,三義,0.73,8.25,8.99,39.23,34.13,18.32,2.61
2018-05-14,三義,1.63,8.3,9.91,23.37,27.35,16.1,3.32
2018-05-21,三義,1.15,8.09,9.23,34.07,30.71,18.56,2.92
2018-05-28,三義,1.15,8.22,9.37,35.72,28.77,16.55,3.37
2018-06-04,三義,1.4,8.16,9.57,36.96,30.14,18.87,2.82
2018-06-11,三義,0.59,7.13,7.69,46.58,24.68,16.25,1.71
2018-06-18,三義,1.17,4.55,5.72,22.3,16.77,6.87,2.32
2018-06-25,三義,1.4,6.39,7.78,24.88,22.29,12.81,2.89
2018-07-02,三義,0.81,3.16,3.98,25.44,15.22,6.15,2.65
2018-07-09,三義,1.37,6.03,7.4,27.81,30.2,16.74,2.66
2018-07-16,三義,1.35,6.47,7.81,38.1,39.09,24.55,2.61
2018-07-23,三義,1.66,5.81,7.47,26.48,26.87,12.76,2.83
2018-07-30,三義,1.5,6.09,7.59,29.06,25.23,12.26,2.66
2018-08-06,三義,0.89,6.06,6.94,34.43,34.43,23.28,3.31
2018-08-13,三義,1.0,4.46,5.46,31.66,20.32,9.91,2.22
2018-08-20,三義,1.06,5.37,6.42,35.56,19.06,10.47,2.21
2018-08-27,三義,2.21,7.16,9.37,19.74,24.23,13.09,2.47
2018-09-03,三義,1.3,6.77,8.07,31.34,29.44,15.32,2.74
2018-09-10,三義,1.59,7.62,9.2,29.0,32.93,16.02,2.65
2018-09-17,三義,1.25,7.58,8.82,31.08,40.43,26.24,2.64
2018-09-24,三義,0.78,5.03,5.81,47.6,27.98,14.09,2.21
2018-10-01,三義,0.79,6.21,7.01,55.85,37.56,22.49,2.85
2018-10-08,三義,0.83,6.74,7.55,37.03,24.66,15.1,2.38
2018-10-15,三義,1.06,7.7,8.74,39.99,24.01,13.71,2.36
2018-10-22,三義,0.75,7.26,7.51,46.61,40.41,21.81,3.45
2018-10-29,三義,4.5,5.44,6.7,40.39,21.82,10.18,1.88
2018-11-05,三義,1.04,8.81,9.85,36.93,50.18,33.71,2.29
2018-11-12,三義,1.18,9.63,10.81,32.45,32.8,22.73,2.26
2018-11-19,三義,1.11,8.12,9.23,33.84,28.32,19.16,2.52
2018-11-26,三義,0.89,8.5,9.37,35.66,34.86,23.71,2.6
2018-12-03,三義,1.16,7.94,9.09,29.01,20.17,13.47,2.08
2018-12-10,三義,1.12,8.85,9.96,26.42,18.18,13.32,1.74
2018-12-17,三義,1.03,10.42,11.44,42.46,44.86,27.47,2.55
2018-12-24,三義,1.01,6.75,7.76,31.01,9.47,6.54,1.7
