日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,花蓮,1.78,8.46,10.24,24.35,17.14,2.51,1.15
2019-01-08,花蓮,1.34,7.96,9.29,26.2,17.85,3.35,1.25
2019-01-15,花蓮,1.07,7.0,8.05,35.87,22.49,8.19,1.3
2019-01-22,花蓮,0.94,8.83,9.78,36.17,31.78,13.16,1.6
2019-01-29,花蓮,1.06,6.73,7.79,32.46,19.39,8.01,1.46
2019-02-05,花蓮,1.07,6.58,7.65,31.28,21.35,9.51,1.65
2019-02-12,花蓮,1.36,7.14,8.49,26.55,16.15,6.26,1.31
2019-02-19,花蓮,1.34,9.77,11.1,29.05,22.95,8.93,1.48
2019-02-26,花蓮,0.87,7.08,7.93,33.49,26.1,11.11,1.33
2019-03-05,花蓮,1.23,10.12,11.34,35.17,19.34,9.64,1.63
2019-03-12,花蓮,0.76,6.79,7.53,42.2,34.12,14.72,1.36
2019-03-19,花蓮,1.01,7.54,8.52,32.89,27.09,12.23,1.46
2019-03-26,花蓮,0.72,6.93,7.65,41.28,27.27,11.01,1.31
2019-04-02,花蓮,0.77,6.38,7.13,34.88,22.96,7.91,1.42
2019-04-09,花蓮,0.81,5.88,6.69,42.25,25.34,8.32,1.33
2019-04-16,花蓮,1.07,7.19,8.26,30.71,26.33,9.15,1.5150000000000001
2019-04-23,花蓮,0.89,4.98,5.88,31.56,22.52,9.52,1.7
2019-04-30,花蓮,0.84,6.76,7.59,38.64,28.23,9.18,1.49
2019-05-07,花蓮,1.11,6.87,7.99,32.45,17.0,4.88,1.46
2019-05-14,花蓮,2.18,6.73,8.92,23.49,25.82,9.47,1.55
2019-05-21,花蓮,0.77,5.15,5.95,38.04,32.14,10.9,1.63
2019-05-28,花蓮,1.35,6.86,8.2,30.39,23.16,8.16,1.34
2019-06-04,花蓮,1.42,5.41,6.82,13.95,21.37,6.02,1.31
2019-06-11,花蓮,1.43,7.0,8.43,36.77,13.69,9.31,1.32
2019-06-18,花蓮,2.05,5.56,7.6,22.16,23.0,9.14,1.29
2019-06-25,花蓮,1.21,4.0,5.21,20.55,16.58,5.64,1.13
2019-07-02,花蓮,1.29,5.39,6.66,21.64,24.27,7.72,1.66
2019-07-09,花蓮,1.4,4.85,6.25,23.09,11.3,10.67,1.59
2019-07-16,花蓮,1.38,5.18,6.55,16.81,18.77,6.03,1.52
2019-07-23,花蓮,0.88,3.34,4.22,16.33,15.27,5.71,1.16
2019-07-30,花蓮,1.29,2.78,4.07,14.2,11.7,5.22,1.37
2019-08-06,花蓮,1.6,4.74,6.34,18.97,24.91,8.65,1.42
2019-08-13,花蓮,1.24,4.47,5.71,28.19,25.36,11.21,1.42
2019-08-20,花蓮,0.99,3.47,4.44,20.76,16.74,4.44,1.31
2019-08-27,花蓮,1.59,2.3,3.9,13.0,13.59,3.46,1.38
2019-09-03,花蓮,2.08,3.93,6.0,19.44,16.78,3.15,1.45
2019-09-10,花蓮,1.59,3.37,4.96,22.0,19.45,4.62,1.39
2019-09-17,花蓮,0.98,3.99,4.96,40.26,30.6,7.56,1.06
2019-09-24,花蓮,1.56,5.62,7.16,21.38,16.67,7.18,0.93
2019-10-01,花蓮,1.59,4.48,6.06,24.72,22.57,12.91,0.96
2019-10-08,花蓮,1.03,5.11,6.13,41.68,28.84,16.3,1.2
2019-10-15,花蓮,1.12,4.63,5.74,40.85,28.41,13.26,1.21
2019-10-22,花蓮,1.4,5.78,7.17,35.96,25.61,13.51,1.17
2019-10-29,花蓮,1.86,7.78,9.63,33.64,24.59,10.64,1.29
2019-11-05,花蓮,1.42,5.69,7.11,39.68,23.01,9.64,1.35
2019-11-12,花蓮,1.27,5.96,7.23,37.05,28.38,12.68,1.43
2019-11-19,花蓮,1.44,6.03,7.47,30.1,17.69,6.67,1.3
2019-11-26,花蓮,1.62,6.5,8.11,30.86,17.85,6.52,1.1
2019-12-03,花蓮,1.96,8.14,10.1,29.88,18.36,6.42,1.16
2019-12-10,花蓮,1.23,5.91,7.09,33.62,25.02,11.5,1.4
2019-12-17,花蓮,1.98,6.91,8.88,23.86,13.21,5.71,1.46
2019-12-24,花蓮,1.77,7.31,9.06,26.0,15.26,6.66,1.31
