日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,嘉義,3.37,20.87,24.24,18.62,53.41,26.17,2.93
2019-01-08,嘉義,3.43,20.82,24.24,20.97,71.29,35.59,3.1
2019-01-15,嘉義,2.06,19.25,21.3,25.27,73.24,40.15,2.86
2019-01-22,嘉義,2.72,22.13,24.85,28.64,82.45,43.78,3.99
2019-01-29,嘉義,2.61,19.86,22.47,28.49,72.63,39.32,3.42
2019-02-05,嘉義,1.18,13.08,14.26,28.16,54.27,29.74,2.53
2019-02-12,嘉義,2.27,18.49,20.77,26.7,56.14,30.01,3.35
2019-02-19,嘉義,2.53,17.49,20.02,25.37,61.26,33.58,3.12
2019-02-26,嘉義,1.67,15.15,16.82,33.34,69.05,38.12,3.06
2019-03-05,嘉義,3.13,19.77,22.9,24.37,43.08,24.46,3.15
2019-03-12,嘉義,1.84,17.43,19.25,37.94,69.0,38.41,3.53
2019-03-19,嘉義,2.79,16.59,19.34,23.34,53.09,28.73,2.98
2019-03-26,嘉義,1.49,14.05,15.55,33.82,54.28,24.92,2.67
2019-04-02,嘉義,1.52,12.53,14.05,36.67,62.11,33.88,2.67
2019-04-09,嘉義,1.28,12.1,13.39,30.29,46.37,23.02,2.8
2019-04-16,嘉義,1.45,13.21,14.67,32.68,36.68,20.61,2.14
2019-04-23,嘉義,1.41,9.21,10.62,28.56,35.84,18.24,2.22
2019-04-30,嘉義,2.04,12.96,15.0,31.46,34.44,17.31,1.87
2019-05-07,嘉義,1.91,14.52,16.41,31.25,46.6,25.94,2.83
2019-05-14,嘉義,1.3,7.52,8.81,18.77,24.03,10.68,1.65
2019-05-21,嘉義,1.23,12.85,14.08,36.6,50.1,27.23,2.72
2019-05-28,嘉義,1.55,9.87,11.41,24.2,28.1,11.57,1.8
2019-06-04,嘉義,1.71,7.06,8.76,16.89,16.31,6.94,1.95
2019-06-11,嘉義,1.65,10.65,12.29,28.86,25.65,11.63,2.01
2019-06-18,嘉義,1.82,6.9,8.72,15.46,14.88,5.0,1.54
2019-06-25,嘉義,1.75,7.34,9.09,20.67,18.4,5.73,1.52
2019-07-02,嘉義,1.78,5.61,7.38,18.36,12.47,5.69,1.61
2019-07-09,嘉義,1.47,5.31,6.76,19.43,16.41,7.91,1.57
2019-07-16,嘉義,1.43,7.21,8.64,25.8,9.86,13.08,1.96
2019-07-23,嘉義,1.5,6.51,7.99,20.42,18.78,6.25,1.36
2019-07-30,嘉義,1.18,7.34,8.5,28.78,26.87,11.29,1.7
2019-08-06,嘉義,1.51,6.08,7.57,27.81,28.82,9.73,1.44
2019-08-13,嘉義,1.24,5.32,6.56,27.07,12.39,5.36,1.32
2019-08-20,嘉義,1.67,7.41,9.07,27.27,24.82,14.3,1.83
2019-08-27,嘉義,1.73,7.91,9.64,27.05,28.84,16.27,1.74
2019-09-03,嘉義,1.79,7.74,9.53,26.19,21.44,10.32,1.72
2019-09-10,嘉義,1.6,8.66,10.25,37.29,41.05,24.15,2.28
2019-09-17,嘉義,1.52,11.88,13.4,50.06,46.91,16.59,2.64
2019-09-24,嘉義,1.79,13.78,15.57,36.82,54.15,25.85,2.99
2019-10-01,嘉義,1.35,8.76,10.1,38.05,46.62,28.13,2.04
2019-10-08,嘉義,1.17,11.32,12.48,44.01,57.64,28.08,2.66
2019-10-15,嘉義,1.64,14.76,16.4,38.51,49.91,20.55,3.67
2019-10-22,嘉義,1.45,16.34,17.77,36.4,55.32,26.04,3.38
2019-10-29,嘉義,1.88,15.65,17.52,36.07,63.48,25.85,2.74
2019-11-05,嘉義,2.13,16.94,19.07,36.8,56.79,24.08,3.51
2019-11-12,嘉義,1.55,16.41,17.94,40.96,65.81,32.92,3.28
2019-11-19,嘉義,3.07,17.38,20.43,24.03,46.99,21.28,2.93
2019-11-26,嘉義,2.42,16.51,18.93,28.15,50.45,20.63,3.17
2019-12-03,嘉義,2.47,16.84,19.31,25.59,32.03,16.45,2.34
2019-12-10,嘉義,3.56,18.69,22.24,26.14,59.2,32.96,3.26
2019-12-17,嘉義,3.05,18.15,21.19,16.7,44.69,25.23,2.81
2019-12-24,嘉義,2.68,20.11,22.78,19.18,41.24,21.75,2.95
