日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,湖口,4.19,14.21,18.28,27.01,49.0,30.73,2.86
2016-01-08,湖口,2.05,9.7,11.75,36.52,39.8,23.56,2.57
2016-01-15,湖口,1.73,11.44,13.09,34.66,39.53,25.2,2.39
2016-01-22,湖口,4.55,12.79,17.32,29.56,33.51,19.47,2.82
2016-01-29,湖口,1.8,9.06,10.81,35.9,23.05,12.79,2.18
2016-02-05,湖口,1.92,12.1,13.93,44.87,58.74,36.07,3.01
2016-02-12,湖口,2.52,12.03,14.54,30.75,34.36,21.03,2.47
2016-02-19,湖口,2.72,9.94,12.57,39.61,55.98,25.93,2.35
2016-02-26,湖口,2.48,15.49,17.84,41.94,46.79,26.61,2.89
2016-03-04,湖口,5.07,15.64,20.39,28.91,43.74,29.84,3.5
2016-03-11,湖口,4.33,16.78,21.1,33.29,33.09,22.05,2.51
2016-03-18,湖口,3.18,12.9,16.0,39.64,38.69,24.85,2.31
2016-03-25,湖口,2.8,18.02,20.72,49.12,64.07,38.67,3.67
2016-04-01,湖口,3.54,15.45,18.91,30.53,53.82,40.07,3.83
2016-04-08,湖口,2.47,13.88,16.28,31.59,32.93,25.41,3.1
2016-04-15,湖口,2.09,14.18,16.21,37.32,37.39,22.77,3.38
2016-04-22,湖口,2.24,10.31,12.37,36.46,43.47,28.47,2.96
2016-04-29,湖口,2.77,13.52,16.16,43.25,54.38,35.39,3.85
2016-05-06,湖口,4.22,12.44,16.68,28.94,34.79,20.16,3.87
2016-05-13,湖口,2.05,11.76,13.77,39.51,33.5,21.3,2.93
2016-05-20,湖口,3.32,16.04,19.37,26.5,35.54,23.69,3.64
2016-05-27,湖口,1.83,7.71,9.45,24.05,26.08,14.54,3.26
2016-06-03,湖口,2.34,9.97,12.24,30.67,27.0,15.55,3.56
2016-06-10,湖口,2.34,8.9,11.24,22.41,22.97,8.61,2.82
2016-06-17,湖口,4.29,9.58,13.88,19.45,33.71,11.1,3.34
2016-06-24,湖口,3.52,9.26,12.78,21.31,32.15,13.18,2.99
2016-07-01,湖口,3.45,7.99,11.33,22.95,30.85,11.71,2.93
2016-07-08,湖口,2.86,8.57,11.41,22.0,27.03,10.21,2.0
2016-07-15,湖口,2.92,9.46,12.33,17.62,30.23,14.09,2.47
2016-07-22,湖口,3.24,10.49,13.63,27.54,34.9,19.66,4.36
2016-07-29,湖口,2.04,11.31,13.06,29.85,31.83,16.39,3.2
2016-08-05,湖口,3.29,9.61,12.84,26.27,27.16,14.31,3.35
2016-08-12,湖口,3.25,10.23,13.37,31.47,29.11,15.34,3.21
2016-08-19,湖口,2.93,10.77,13.7,27.22,38.85,19.27,3.56
2016-08-26,湖口,1.96,12.46,14.39,50.09,50.18,24.68,3.81
2016-09-02,湖口,2.46,11.6,13.9,24.77,27.34,14.87,3.11
2016-09-09,湖口,3.36,9.06,12.32,24.45,29.06,13.14,3.05
2016-09-16,湖口,2.03,8.35,10.34,35.87,32.73,13.23,2.81
2016-09-23,湖口,1.91,7.96,9.84,27.59,31.2,12.25,2.85
2016-09-30,湖口,4.04,10.04,14.04,27.33,35.15,15.8,3.29
2016-10-07,湖口,2.7,7.23,9.88,36.22,27.43,11.67,2.32
2016-10-14,湖口,2.38,8.0,10.37,30.15,33.04,14.84,3.29
2016-10-21,湖口,4.08,13.77,17.78,28.89,50.16,23.37,3.78
2016-10-28,湖口,1.95,8.01,9.92,39.5,39.01,14.91,2.56
2016-11-04,湖口,2.73,13.76,16.4,34.18,44.0,22.33,3.55
2016-11-11,湖口,3.54,15.49,18.88,37.48,59.26,26.89,3.79
2016-11-18,湖口,2.92,14.36,17.26,30.76,39.53,18.04,3.9
2016-11-25,湖口,1.84,9.5,11.22,35.28,37.55,15.7,2.6
2016-12-02,湖口,1.91,8.56,10.44,38.84,43.67,19.27,3.34
2016-12-09,湖口,1.9,9.37,11.27,39.26,41.58,20.01,3.24
2016-12-16,湖口,6.68,16.55,23.19,30.08,48.71,26.01,4.04
2016-12-23,湖口,1.87,11.11,12.91,35.8,42.62,22.2,3.05
