日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,竹東,3.62,17.03,20.64,28.89,54.91,30.03,3.25
2015-01-08,竹東,1.81,12.09,13.91,34.25,39.81,18.77,2.83
2015-01-15,竹東,1.9,12.58,14.47,33.79,58.0,32.2,2.51
2015-01-22,竹東,3.01,18.07,21.05,32.9,52.85,29.06,2.55
2015-01-29,竹東,2.1,13.04,15.14,26.44,26.79,12.06,1.73
2015-02-05,竹東,2.93,13.53,16.45,31.36,46.04,27.32,2.73
2015-02-12,竹東,2.02,16.24,18.3,41.98,68.0,36.1,2.49
2015-02-19,竹東,2.79,13.91,16.71,23.5,55.05,29.73,1.55
2015-02-26,竹東,2.65,13.17,15.82,26.7,43.66,23.13,2.09
2015-03-05,竹東,2.2,12.38,14.57,27.84,30.07,14.84,1.87
2015-03-12,竹東,3.57,15.89,19.42,25.87,63.68,36.98,2.2
2015-03-19,竹東,1.76,11.1,12.88,36.95,45.92,23.99,1.69
2015-03-26,竹東,3.46,13.66,17.17,30.28,40.03,21.44,2.89
2015-04-02,竹東,2.0,9.32,11.34,29.72,36.9,21.09,2.03
2015-04-09,竹東,1.57,11.14,12.71,42.49,34.33,17.95,1.95
2015-04-16,竹東,1.88,10.42,12.28,34.58,44.86,22.1,2.34
2015-04-23,竹東,1.52,10.79,12.3,34.71,46.1,21.07,2.47
2015-04-30,竹東,2.48,12.07,14.5,27.73,45.48,22.05,1.89
2015-05-07,竹東,2.2,11.98,14.17,27.17,51.1,22.15,2.31
2015-05-14,竹東,1.67,9.06,10.66,23.49,33.44,9.57,2.2
2015-05-21,竹東,2.59,11.74,14.33,24.08,24.62,12.78,1.95
2015-05-28,竹東,2.32,7.14,9.47,21.03,28.52,10.57,1.75
2015-06-04,竹東,2.33,8.3,10.6,22.86,32.68,9.57,2.24
2015-06-11,竹東,2.52,7.77,10.26,21.78,32.38,7.37,2.25
2015-06-18,竹東,1.93,7.7,9.63,26.77,32.28,10.27,2.29
2015-06-25,竹東,2.41,6.36,8.77,23.74,36.31,10.46,2.24
2015-07-02,竹東,1.97,7.74,9.63,30.69,37.38,11.71,2.23
2015-07-09,竹東,1.79,6.44,8.18,30.05,34.98,12.71,2.09
2015-07-16,竹東,1.93,7.34,9.26,34.04,38.7,16.56,2.49
2015-07-23,竹東,1.73,6.46,8.19,24.47,28.88,6.9,2.03
2015-07-30,竹東,1.66,6.9,8.55,28.14,29.91,9.77,2.33
2015-08-06,竹東,2.13,6.84,8.89,18.51,23.88,6.91,2.21
2015-08-13,竹東,1.96,5.11,7.08,23.3,22.79,5.11,1.92
2015-08-20,竹東,1.46,6.84,8.22,29.29,30.48,10.45,1.89
2015-08-27,竹東,2.25,8.13,10.37,15.68,24.21,4.06,1.82
2015-09-03,竹東,1.85,7.82,9.66,31.22,31.84,9.68,2.25
2015-09-10,竹東,1.26,8.03,9.29,42.67,33.48,12.6,1.77
2015-09-17,竹東,1.31,9.43,10.69,49.82,51.01,28.97,2.74
2015-09-24,竹東,1.43,9.52,10.85,33.41,28.72,12.86,2.31
2015-10-01,竹東,2.32,9.8,12.11,32.25,42.75,21.96,2.16
2015-10-08,竹東,1.04,9.71,10.64,46.86,41.59,20.68,1.9
2015-10-15,竹東,1.77,6.97,8.73,39.95,28.25,15.37,1.72
2015-10-22,竹東,2.27,9.73,11.96,36.82,43.61,25.49,1.88
2015-10-29,竹東,1.61,9.18,10.73,38.28,35.33,15.15,1.84
2015-11-05,竹東,2.07,11.6,13.62,36.08,33.6,15.56,2.32
2015-11-12,竹東,2.55,11.76,14.35,26.71,37.53,20.0,2.18
2015-11-19,竹東,2.86,9.69,12.56,26.87,29.84,10.91,2.02
2015-11-26,竹東,2.54,10.44,12.95,29.74,33.44,16.77,1.98
2015-12-03,竹東,2.09,9.17,11.25,30.57,36.77,14.37,2.08
2015-12-10,竹東,2.62,11.11,13.7,27.99,39.29,23.95,3.27
2015-12-17,竹東,4.58,14.4,18.96,23.56,43.68,26.03,2.67
2015-12-24,竹東,2.96,11.3,14.29,32.06,40.45,24.18,1.97
