日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,麥寮,3.03,13.5,16.5,33.61,115.93,48.59,4.0
2015-01-08,麥寮,2.25,12.37,14.63,34.42,94.97,30.89,3.88
2015-01-15,麥寮,2.24,12.54,14.79,38.05,121.28,42.94,4.04
2015-01-22,麥寮,2.91,14.13,16.99,39.94,102.88,51.87,3.62
2015-01-29,麥寮,2.28,9.33,11.64,31.62,74.12,20.72,2.85
2015-02-05,麥寮,2.56,13.41,15.95,34.78,115.44,36.82,4.26
2015-02-12,麥寮,2.61,12.7,15.25,46.7,121.0,52.9,3.84
2015-02-19,麥寮,2.02,9.01,11.03,33.68,82.85,36.16,2.67
2015-02-26,麥寮,2.65,10.97,13.59,35.88,85.66,34.55,3.57
2015-03-05,麥寮,2.09,11.67,13.77,35.37,78.65,27.99,3.38
2015-03-12,麥寮,2.56,10.39,12.94,35.53,78.7,40.57,2.67
2015-03-19,麥寮,2.69,11.54,14.23,40.19,93.96,40.77,3.49
2015-03-26,麥寮,2.6,10.71,13.31,35.68,73.87,33.27,3.21
2015-04-02,麥寮,2.32,7.67,9.97,25.77,70.08,18.3,2.58
2015-04-09,麥寮,1.36,12.18,13.52,46.84,66.74,29.68,3.51
2015-04-16,麥寮,2.03,8.53,10.57,31.25,69.63,30.05,2.73
2015-04-23,麥寮,1.76,7.59,9.34,44.11,80.72,32.39,2.93
2015-04-30,麥寮,2.1,7.12,9.23,35.39,72.19,33.32,2.89
2015-05-07,麥寮,2.27,7.94,10.22,36.25,71.18,31.62,3.41
2015-05-14,麥寮,2.56,6.73,9.27,18.82,44.72,12.56,2.08
2015-05-21,麥寮,2.76,9.45,12.17,25.68,39.73,15.42,2.27
2015-05-28,麥寮,2.63,5.39,8.04,18.79,39.93,7.33,2.03
2015-06-04,麥寮,4.31,6.47,10.69,14.86,40.57,8.35,2.05
2015-06-11,麥寮,3.13,5.59,8.55,14.08,36.99,2.29,2.24
2015-06-18,麥寮,2.85,7.35,10.23,21.22,43.38,7.03,2.92
2015-06-25,麥寮,2.69,5.06,7.74,18.68,45.55,4.68,1.97
2015-07-02,麥寮,2.38,5.26,7.65,34.56,67.15,9.12,1.99
2015-07-09,麥寮,1.88,5.69,7.57,30.58,54.02,11.98,3.08
2015-07-16,麥寮,2.19,6.41,8.6,29.56,44.77,14.15,2.81
2015-07-23,麥寮,2.95,7.08,10.05,16.63,39.9,9.57,2.24
2015-07-30,麥寮,3.25,7.78,11.02,21.7,41.14,15.17,4.96
2015-08-06,麥寮,2.92,6.44,9.34,14.35,73.55,9.02,2.51
2015-08-13,麥寮,3.25,8.45,11.67,16.99,24.66,4.82,2.01
2015-08-20,麥寮,2.31,6.62,8.9,33.71,57.78,12.6,2.87
2015-08-27,麥寮,4.22,7.17,11.41,19.22,29.27,3.56,2.27
2015-09-03,麥寮,2.98,7.86,10.84,25.89,45.11,10.8,2.73
2015-09-10,麥寮,2.44,9.64,12.09,42.25,71.65,19.82,3.36
2015-09-17,麥寮,2.71,9.72,12.36,48.14,75.68,30.4,4.38
2015-09-24,麥寮,2.09,6.48,8.52,41.75,78.35,16.98,2.53
2015-10-01,麥寮,2.38,7.04,9.41,36.36,65.9,21.5,2.57
2015-10-08,麥寮,1.82,11.84,13.65,46.01,77.83,23.76,4.79
2015-10-15,麥寮,3.0,11.84,14.83,37.14,87.21,22.23,4.11
2015-10-22,麥寮,2.98,10.44,13.42,38.23,86.68,31.73,4.19
2015-10-29,麥寮,2.82,11.17,14.0,37.84,85.61,27.58,3.15
2015-11-05,麥寮,2.85,11.61,14.48,38.12,84.86,34.18,3.77
2015-11-12,麥寮,2.77,11.19,13.93,33.4,79.95,37.14,3.26
2015-11-19,麥寮,2.61,9.89,12.45,33.2,87.5,26.8,3.53
2015-11-26,麥寮,2.7,11.95,14.62,36.44,91.2,29.38,3.28
2015-12-03,麥寮,2.68,13.37,16.06,28.73,83.21,19.56,3.71
2015-12-10,麥寮,2.16,10.43,12.59,34.82,79.41,29.83,3.32
2015-12-17,麥寮,2.78,12.36,15.09,26.55,83.83,28.42,3.6
2015-12-24,麥寮,1.94,11.8,13.71,35.33,100.03,31.83,3.55
