日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,新營,4.8,19.52,24.31,26.68,98.54,47.47,3.57
2015-01-08,新營,3.07,16.92,19.94,28.1,79.92,38.84,3.4
2015-01-15,新營,3.76,17.8,21.51,29.02,96.09,47.26,3.47
2015-01-22,新營,3.56,21.26,24.85,30.46,102.15,59.04,3.4
2015-01-29,新營,2.25,13.75,16.02,26.04,65.17,24.48,2.25
2015-02-05,新營,3.92,17.02,20.89,30.42,88.68,42.49,2.86
2015-02-12,新營,4.01,20.8,24.84,36.14,117.61,56.41,3.75
2015-02-19,新營,2.36,13.56,15.87,27.87,82.29,34.7,2.38
2015-02-26,新營,2.82,15.71,18.58,27.7,73.79,32.73,3.76
2015-03-05,新營,2.59,19.1,21.7,24.81,70.16,31.07,3.39
2015-03-12,新營,2.85,16.66,19.54,27.79,69.87,30.27,2.9
2015-03-19,新營,2.34,15.62,17.86,30.35,84.58,37.33,2.93
2015-03-26,新營,2.23,8.93,11.05,31.42,61.9,26.56,2.49
2015-04-02,新營,2.18,12.88,15.05,24.37,48.67,15.86,2.92
2015-04-09,新營,2.24,18.46,20.74,36.03,59.27,24.09,3.24
2015-04-16,新營,1.71,11.92,13.64,29.63,52.72,17.36,2.52
2015-04-23,新營,1.85,12.17,14.04,39.32,77.38,27.24,3.37
2015-04-30,新營,1.82,10.05,11.86,31.31,62.65,26.86,2.79
2015-05-07,新營,1.66,10.66,12.34,28.11,63.87,26.84,2.91
2015-05-14,新營,1.82,7.86,9.64,21.25,35.3,12.05,2.69
2015-05-21,新營,1.91,8.44,10.35,24.23,21.98,6.72,1.34
2015-05-28,新營,1.61,5.71,7.3,17.84,30.94,7.49,2.39
2015-06-04,新營,1.92,6.19,8.08,17.36,29.36,9.09,2.89
2015-06-11,新營,1.88,5.48,7.34,16.81,29.97,7.88,2.01
2015-06-18,新營,1.74,7.5,9.24,22.26,33.86,10.71,3.04
2015-06-25,新營,1.54,6.24,7.77,19.68,35.77,10.65,2.29
2015-07-02,新營,1.13,7.93,9.07,29.98,46.02,15.7,2.09
2015-07-09,新營,1.12,5.63,6.76,30.74,35.63,14.08,2.01
2015-07-16,新營,1.22,5.58,6.8,27.78,31.69,14.77,2.8
2015-07-23,新營,1.92,6.41,8.33,20.61,28.83,9.22,1.94
2015-07-30,新營,1.51,7.71,9.19,23.86,31.58,13.73,3.61
2015-08-06,新營,1.44,5.84,7.27,23.61,42.17,11.8,2.4
2015-08-13,新營,2.03,7.01,8.96,17.26,26.3,8.23,2.89
2015-08-20,新營,1.3,7.3,8.6,32.87,44.48,18.53,2.11
2015-08-27,新營,2.47,7.57,10.04,17.64,21.21,6.0,2.2
2015-09-03,新營,1.7,9.0,10.73,26.49,31.95,12.2,2.62
2015-09-10,新營,1.21,11.15,12.37,49.32,62.77,25.85,3.03
2015-09-17,新營,1.34,10.96,12.24,48.84,63.69,33.05,3.08
2015-09-24,新營,1.23,9.21,10.44,38.35,59.4,28.455,2.95
2015-10-01,新營,1.38,8.27,9.67,39.43,55.11,23.86,2.7
2015-10-08,新營,1.86,12.99,14.89,38.04,63.66,26.9,3.27
2015-10-15,新營,2.39,14.6,17.01,33.7,72.58,29.21,2.64
2015-10-22,新營,2.17,12.41,14.61,33.82,70.14,29.01,2.87
2015-10-29,新營,1.97,13.92,15.87,34.61,70.5,26.28,3.89
2015-11-05,新營,2.08,13.96,16.02,35.62,88.03,39.85,3.43
2015-11-12,新營,2.9,16.81,19.76,32.92,92.31,40.32,4.03
2015-11-19,新營,3.53,15.23,18.75,29.02,79.21,26.71,3.4
2015-11-26,新營,3.27,17.79,21.14,32.76,84.23,33.92,2.88
2015-12-03,新營,2.88,17.83,20.73,24.73,72.29,25.19,3.23
2015-12-10,新營,2.86,16.27,19.09,26.89,73.46,32.65,3.85
2015-12-17,新營,5.06,19.87,24.96,21.83,84.62,36.82,3.71
2015-12-24,新營,4.49,19.09,23.53,24.68,81.49,36.93,3.24
