日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,頭份,7.08,19.49,26.52,21.08,57.27,28.77,2.81
2016-01-08,頭份,2.62,15.1,17.64,31.28,37.61,21.6,2.59
2016-01-15,頭份,2.68,20.28,22.9,25.65,42.49,21.58,2.42
2016-01-22,頭份,6.12,16.65,22.75,24.91,36.1,15.95,2.64
2016-01-29,頭份,2.59,15.06,17.63,28.97,29.05,10.4,2.46
2016-02-05,頭份,1.78,14.57,16.35,40.08,59.89,29.25,3.16
2016-02-12,頭份,2.66,15.63,18.24,25.15,35.87,16.2,2.44
2016-02-19,頭份,3.27,15.8,19.04,33.99,52.41,20.92,2.13
2016-02-26,頭份,3.31,20.17,23.45,34.11,51.44,21.63,3.08
2016-03-04,頭份,4.97,19.57,24.52,24.43,54.21,26.87,2.64
2016-03-11,頭份,7.79,22.4,30.16,24.1,38.27,17.56,2.43
2016-03-18,頭份,4.19,20.67,24.75,30.1,47.45,23.46,2.65
2016-03-25,頭份,2.72,20.37,23.04,44.44,66.05,31.13,3.18
2016-04-01,頭份,3.39,16.25,19.64,29.04,68.45,34.22,3.2
2016-04-08,頭份,3.56,17.82,21.38,26.15,45.07,21.96,2.85
2016-04-15,頭份,2.41,16.06,18.44,30.51,46.96,19.16,2.66
2016-04-22,頭份,2.63,12.92,15.55,31.05,49.63,23.17,2.99
2016-04-29,頭份,2.48,13.75,16.28,38.55,57.37,28.51,3.64
2016-05-06,頭份,3.29,12.06,15.35,28.34,40.23,16.63,3.17
2016-05-13,頭份,1.53,13.73,15.29,38.5,42.33,18.56,2.55
2016-05-20,頭份,5.12,17.81,22.86,24.61,41.34,18.66,2.93
2016-05-27,頭份,2.09,8.83,10.89,23.56,33.05,10.56,2.83
2016-06-03,頭份,2.37,9.72,12.05,30.55,30.95,11.76,2.59
2016-06-10,頭份,2.87,8.64,11.48,22.1,22.67,6.47,2.6
2016-06-17,頭份,2.81,7.96,10.77,21.29,26.64,8.08,3.16
2016-06-24,頭份,2.37,7.87,10.21,22.29,24.8,8.77,2.81
2016-07-01,頭份,2.17,6.75,8.92,26.53,26.4,7.84,2.32
2016-07-08,頭份,2.69,8.27,10.95,22.44,24.48,7.38,2.52
2016-07-15,頭份,2.73,8.45,11.17,17.66,30.65,11.18,2.55
2016-07-22,頭份,2.47,11.2,13.65,23.98,34.2,13.89,3.58
2016-07-29,頭份,1.96,9.55,11.4,30.86,33.44,13.11,2.34
2016-08-05,頭份,2.23,9.9,12.13,25.58,31.56,11.39,2.7
2016-08-12,頭份,2.69,10.41,13.08,28.27,33.47,10.51,2.56
2016-08-19,頭份,1.91,9.38,11.21,28.37,44.65,15.87,2.48
2016-08-26,頭份,1.53,12.11,13.59,50.45,53.51,24.35,2.37
2016-09-02,頭份,2.38,11.39,13.77,24.46,30.14,12.53,2.01
2016-09-09,頭份,3.7,10.01,13.68,20.73,26.33,9.92,2.32
2016-09-16,頭份,1.71,9.89,11.45,36.41,39.36,12.42,1.91
2016-09-23,頭份,1.95,9.1,10.99,25.2,27.26,11.01,2.18
2016-09-30,頭份,3.02,12.63,15.68,26.2,39.89,17.49,2.39
2016-10-07,頭份,2.47,10.46,12.94,32.84,29.37,10.82,2.64
2016-10-14,頭份,2.53,14.7,17.24,41.11,58.23,27.93,3.0
2016-10-21,頭份,3.07,13.89,16.91,26.75,47.81,21.65,2.92
2016-10-28,頭份,2.06,11.56,13.69,36.5,37.54,16.13,2.68
2016-11-04,頭份,2.06,15.1,17.14,33.51,43.91,22.95,2.51
2016-11-11,頭份,2.98,17.62,20.64,30.28,56.58,28.15,2.81
2016-11-18,頭份,3.3,15.99,19.27,25.56,36.25,17.77,2.38
2016-11-25,頭份,2.68,13.51,16.17,28.31,38.1,16.65,1.95
2016-12-02,頭份,2.15,14.97,17.1,31.36,48.29,22.79,3.17
2016-12-09,頭份,3.47,14.17,17.62,30.47,41.59,21.09,2.11
2016-12-16,頭份,4.41,18.59,22.96,26.42,51.89,28.35,2.42
2016-12-23,頭份,2.7,14.66,17.39,28.95,44.78,22.56,1.52
