region,year,week,case_c,pop_total,case_per_capita(‰),NO2,NOX,NO,O3,PM10,PM25,SO2
北北基桃竹,2016,1,1690,671208,2.52,21.45,36.22,14.84,18.95,48.41,25.45,3.22
北北基桃竹,2016,2,6594,679346,9.71,18.03,25.6,7.58,27.32,39.07,20.88,2.74
北北基桃竹,2016,3,6526,680342,9.59,19.53,28.14,8.69,25.08,41.48,22.89,2.51
北北基桃竹,2016,4,6540,679458,9.63,18.59,32.54,13.98,24.12,35.86,16.98,2.94
北北基桃竹,2016,5,7607,677245,11.23,17.46,26.43,9.04,26.0,23.42,9.76,2.16
北北基桃竹,2016,6,9842,679872,14.48,18.25,25.11,6.86,35.61,57.42,31.61,2.96
北北基桃竹,2016,7,5172,678707,7.62,17.52,26.02,8.47,23.91,33.75,17.49,2.3
北北基桃竹,2016,8,9826,679982,14.45,16.84,23.8,7.02,32.92,53.13,21.27,2.05
北北基桃竹,2016,9,8819,679661,12.98,19.77,27.15,7.36,34.1,43.39,19.79,2.38
北北基桃竹,2016,10,8351,678519,12.31,23.01,35.59,12.57,22.05,46.32,25.37,3.19
北北基桃竹,2016,11,7556,678017,11.14,24.05,38.66,14.62,25.41,36.63,19.17,2.37
北北基桃竹,2016,12,7145,677226,10.55,22.15,37.69,15.57,30.21,46.85,24.2,2.53
北北基桃竹,2016,13,6666,679675,9.81,25.37,34.1,8.71,37.96,62.81,33.19,3.42
北北基桃竹,2016,14,7643,678842,11.26,22.7,31.29,8.61,26.14,65.44,38.8,3.76
北北基桃竹,2016,15,6146,678519,9.06,20.98,28.38,7.52,24.45,41.08,22.83,3.25
北北基桃竹,2016,16,6078,677928,8.97,21.08,30.47,9.5,30.69,44.43,21.63,3.07
北北基桃竹,2016,17,5706,678519,8.41,17.4,24.42,7.06,27.61,48.03,25.96,3.37
北北基桃竹,2016,18,5543,679030,8.16,19.63,25.68,6.07,39.43,62.4,34.15,3.59
北北基桃竹,2016,19,5386,678519,7.94,17.03,24.09,7.01,28.07,40.4,19.41,3.49
北北基桃竹,2016,20,5114,678519,7.54,14.88,19.68,4.81,34.84,35.13,15.89,2.61
北北基桃竹,2016,21,5103,677980,7.53,19.27,26.54,7.33,23.31,39.04,21.18,4.11
北北基桃竹,2016,22,4677,677845,6.9,14.09,21.02,6.97,21.65,33.85,13.86,3.1
北北基桃竹,2016,23,4334,677245,6.4,15.03,22.01,6.97,24.93,32.44,14.18,3.03
北北基桃竹,2016,24,4089,675322,6.05,13.14,22.91,9.82,17.79,25.16,8.39,2.43
北北基桃竹,2016,25,4296,675395,6.36,14.54,21.53,7.01,22.14,29.69,11.94,3.34
北北基桃竹,2016,26,4133,674399,6.13,14.98,21.86,6.91,23.83,30.35,13.14,3.38
