日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,新港,2.99,13.25,16.24,23.1,65.94,27.03,2.3
2018-01-08,新港,2.68,11.74,14.4,29.66,45.76,20.19,2.14
2018-01-15,新港,2.26,14.1,16.36,27.65,83.38,37.96,2.65
2018-01-22,新港,1.92,11.97,13.89,29.89,64.09,20.73,2.51
2018-01-29,新港,1.79,11.56,13.35,28.61,43.71,23.75,2.44
2018-02-05,新港,2.04,14.51,16.55,28.22,64.57,30.61,2.19
2018-02-12,新港,1.29,12.45,13.74,37.3,100.65,40.18,2.58
2018-02-19,新港,1.88,13.24,15.12,30.74,77.77,33.59,2.61
2018-02-26,新港,3.22,13.18,16.4,29.81,95.65,39.81,3.08
2018-03-05,新港,2.03,10.96,12.99,33.55,60.07,22.63,2.57
2018-03-12,新港,3.04,13.6,16.62,37.14,85.32,42.75,2.94
2018-03-19,新港,2.24,12.56,14.8,41.67,68.25,30.19,3.05
2018-03-26,新港,2.26,11.15,13.4,40.19,87.29,39.15,2.87
2018-04-02,新港,1.82,9.29,11.12,38.3,87.82,33.69,2.55
2018-04-09,新港,2.16,10.42,12.59,28.67,55.56,20.16,2.84
2018-04-16,新港,2.23,11.44,13.66,43.48,81.89,37.62,3.34
2018-04-23,新港,2.34,9.04,11.38,41.94,65.43,31.16,3.34
2018-04-30,新港,1.72,8.34,10.06,34.91,61.79,26.42,2.94
2018-05-07,新港,1.84,8.53,10.36,33.0,50.73,20.76,2.81
2018-05-14,新港,3.15,6.28,9.42,15.85,32.81,13.46,1.98
2018-05-21,新港,1.85,7.3,9.15,26.02,46.18,21.92,2.61
2018-05-28,新港,1.48,6.94,8.41,32.62,49.6,20.38,2.48
2018-06-04,新港,1.38,7.63,9.0,32.66,52.47,20.84,2.71
2018-06-11,新港,1.2,9.8,10.99,41.43,49.38,21.21,2.34
2018-06-18,新港,1.98,7.23,9.22,18.23,25.53,8.14,2.03
2018-06-25,新港,3.19,8.73,11.91,16.9,38.17,14.1,3.01
2018-07-02,新港,1.86,7.92,9.78,18.89,26.87,8.71,2.17
2018-07-09,新港,1.9,7.23,9.13,25.54,43.41,20.55,2.72
2018-07-16,新港,1.31,7.66,8.97,30.74,38.37,20.88,2.48
2018-07-23,新港,2.13,8.65,10.77,20.04,32.84,15.32,2.04
2018-07-30,新港,1.83,6.69,8.52,21.71,28.62,13.18,2.01
2018-08-06,新港,1.16,7.1,8.26,33.57,35.99,20.43,2.82
2018-08-13,新港,1.21,6.53,7.75,25.1,24.66,11.82,2.01
2018-08-20,新港,1.68,8.05,9.72,27.9,24.33,12.81,1.78
2018-08-27,新港,2.63,6.28,8.91,17.33,23.17,10.02,1.36
2018-09-03,新港,2.03,8.74,10.76,25.25,32.14,15.87,1.9
2018-09-10,新港,2.27,9.17,11.45,32.28,51.87,26.36,2.49
2018-09-17,新港,1.38,7.46,8.82,28.99,45.19,26.33,2.38
2018-09-24,新港,0.88,7.8,8.67,45.19,61.72,20.72,2.15
2018-10-01,新港,1.1,11.35,12.46,54.41,73.73,31.73,3.46
2018-10-08,新港,1.46,10.17,11.63,38.55,53.69,24.64,3.09
2018-10-15,新港,1.41,11.27,12.68,38.93,55.37,24.81,3.13
2018-10-22,新港,1.41,11.04,12.45,43.32,78.04,31.8,3.22
2018-10-29,新港,1.65,12.27,13.93,34.19,56.19,22.66,3.21
2018-11-05,新港,1.54,11.35,12.89,32.78,83.23,44.86,2.93
2018-11-12,新港,1.83,13.02,14.86,28.65,71.03,31.66,3.44
2018-11-19,新港,1.7,12.38,14.07,29.71,65.09,24.54,2.58
2018-11-26,新港,2.78,13.88,16.66,30.02,69.29,31.52,3.35
2018-12-03,新港,3.43,13.88,17.32,23.55,67.1,25.86,3.49
2018-12-10,新港,1.42,12.22,13.64,23.83,50.12,19.84,2.47
2018-12-17,新港,2.78,16.14,18.92,31.39,86.59,37.17,3.01
2018-12-24,新港,1.84,10.94,12.76,27.7,47.65,16.47,2.57
