日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,中壢,21.26,22.7,43.97,17.73,21.65,9.56,2.91
2019-01-08,中壢,20.63,25.54,46.16,14.63,35.12,14.4,2.83
2019-01-15,中壢,20.63,29.04,49.66,20.23,46.22,20.57,2.79
2019-01-22,中壢,17.5,29.0,46.5,27.44,48.83,24.1,3.49
2019-01-29,中壢,24.79,30.0,54.79,19.82,51.72,28.37,2.86
2019-02-05,中壢,13.38,20.42,33.8,20.99,37.67,17.11,1.76
2019-02-12,中壢,15.8,24.99,40.78,19.0,29.59,11.17,2.59
2019-02-19,中壢,19.98,28.29,48.27,19.08,34.97,15.92,2.59
2019-02-26,中壢,17.56,29.81,47.36,21.84,50.72,29.56,2.45
2019-03-05,中壢,22.21,30.48,52.68,24.39,31.28,18.57,2.2
2019-03-12,中壢,22.85,33.92,56.77,27.85,47.16,26.17,3.0
2019-03-19,中壢,23.85,29.88,53.72,20.0,42.49,25.82,2.93
2019-03-26,中壢,16.96,26.95,43.91,28.65,41.99,23.25,2.83
2019-04-02,中壢,22.22,29.89,52.11,27.71,47.33,28.83,2.77
2019-04-09,中壢,19.03,25.14,44.17,26.62,36.86,21.43,2.67
2019-04-16,中壢,21.03,30.52,51.55,22.45,42.82,25.43,3.1
2019-04-23,中壢,22.09,24.95,47.02,21.05,35.24,22.09,2.99
2019-04-30,中壢,17.38,25.39,42.76,30.59,36.06,19.62,2.49
2019-05-07,中壢,18.09,28.49,46.57,23.53,27.92,19.74,2.87
2019-05-14,中壢,25.53,21.45,46.97,13.11,32.71,26.49,2.87
2019-05-21,中壢,23.84,31.83,55.66,22.65,43.29,24.5,2.87
2019-05-28,中壢,21.59,23.77,45.36,19.7,31.43,17.53,2.66
2019-06-04,中壢,31.19,19.56,50.75,10.18,26.3,15.85,2.82
2019-06-11,中壢,17.95,27.79,45.74,23.49,22.15,19.74,2.67
2019-06-18,中壢,26.98,21.67,48.64,11.62,21.69,17.41,2.66
2019-06-25,中壢,24.53,23.5,48.03,15.16,25.2,14.56,2.25
2019-07-02,中壢,23.84,19.18,43.02,14.06,21.36,16.4,2.01
2019-07-09,中壢,22.54,18.91,41.45,13.77,13.14,18.735,2.3
2019-07-16,中壢,22.49,17.97,40.47,14.31,20.01,21.07,1.9
2019-07-23,中壢,22.6,21.33,43.92,16.08,19.31,16.02,2.55
2019-07-30,中壢,21.22,19.77,40.98,16.8,17.84,17.97,2.78
2019-08-06,中壢,17.79,14.24,32.03,16.04,17.97,13.86,1.82
2019-08-13,中壢,22.31,22.32,44.62,20.55,16.14,13.25,2.2
2019-08-20,中壢,19.54,21.01,40.55,14.77,19.31,14.9,2.46
2019-08-27,中壢,24.52,23.76,48.28,16.63,25.84,21.33,2.99
2019-09-03,中壢,25.13,20.7,45.82,12.4,17.49,13.28,3.02
2019-09-10,中壢,19.59,20.41,40.01,16.55,20.52,15.04,2.46
2019-09-17,中壢,13.94,26.98,40.91,30.37,31.65,14.95,2.18
2019-09-24,中壢,12.37,17.01,29.37,18.9,14.38,7.21,2.02
2019-10-01,中壢,21.52,25.06,46.57,22.51,33.86,23.78,2.78
2019-10-08,中壢,12.21,25.14,37.34,32.24,27.61,16.28,2.75
2019-10-15,中壢,13.36,25.28,38.64,31.0,30.79,14.56,2.26
2019-10-22,中壢,11.67,24.33,35.99,30.83,27.68,13.05,2.71
2019-10-29,中壢,10.26,22.13,32.38,33.28,41.76,17.52,2.07
2019-11-05,中壢,14.44,26.32,40.75,30.11,28.85,13.03,2.44
2019-11-12,中壢,20.31,29.9,50.21,26.42,42.83,21.54,2.78
2019-11-19,中壢,15.15,21.31,36.45,18.92,23.65,10.72,2.26
2019-11-26,中壢,16.46,22.17,38.63,22.51,25.5,12.54,2.5
2019-12-03,中壢,15.73,24.13,39.85,24.08,23.99,12.04,2.68
2019-12-10,中壢,20.47,27.9,48.35,22.64,35.1,17.58,2.77
2019-12-17,中壢,21.74,25.11,46.84,13.78,20.41,10.8,2.54
2019-12-24,中壢,23.4,25.07,48.48,14.85,24.94,13.4,2.54
