日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,松山,6.9,18.19,25.09,22.79,22.08,9.42,2.18
2019-01-08,松山,7.92,20.52,28.43,21.22,32.23,12.66,2.18
2019-01-15,松山,7.8,22.31,30.09,27.24,38.88,15.82,1.93
2019-01-22,松山,3.87,20.28,24.15,35.23,44.42,19.47,2.21
2019-01-29,松山,11.13,24.85,35.97,27.31,36.78,18.89,2.04
2019-02-05,松山,4.4,13.37,17.77,30.16,28.57,12.8,1.52
2019-02-12,松山,5.16,17.54,22.69,28.19,23.34,10.29,1.42
2019-02-19,松山,5.69,17.62,23.29,28.78,27.0,12.08,2.25
2019-02-26,松山,5.69,19.88,25.58,31.82,48.61,22.32,2.3
2019-03-05,松山,7.05,24.06,31.11,30.07,32.59,16.77,2.24
2019-03-12,松山,3.94,18.27,22.21,46.09,42.9,18.93,2.06
2019-03-19,松山,7.87,20.52,28.38,32.74,39.88,19.07,2.38
2019-03-26,松山,5.54,19.41,24.94,37.07,43.62,18.24,1.9
2019-04-02,松山,8.91,22.74,31.65,33.92,43.88,21.01,2.17
2019-04-09,松山,4.92,19.08,23.99,34.65,39.83,17.26,2.28
2019-04-16,松山,5.96,24.47,30.43,31.9,41.76,21.78,2.9
2019-04-23,松山,5.76,18.47,24.22,34.78,36.17,21.14,3.76
2019-04-30,松山,3.22,17.82,21.03,36.83,36.02,16.31,2.05
2019-05-07,松山,2.97,15.36,18.32,37.96,20.77,12.16,2.4
2019-05-14,松山,9.55,19.38,28.92,19.43,34.65,18.3,2.34
2019-05-21,松山,3.38,14.82,18.19,37.63,36.66,14.18,1.95
2019-05-28,松山,5.84,15.57,21.41,28.94,30.52,13.76,2.37
2019-06-04,松山,9.74,17.36,27.09,17.14,33.26,13.0,2.5
2019-06-11,松山,5.3,18.24,23.53,34.01,28.93,13.77,1.95
2019-06-18,松山,7.27,18.13,25.38,21.19,24.71,11.77,2.29
2019-06-25,松山,5.12,14.85,19.96,23.59,12.38,12.02,2.17
2019-07-02,松山,7.69,16.0,23.68,19.94,24.24,10.16,2.6
2019-07-09,松山,5.82,15.0,20.81,21.07,18.47,14.11,2.52
2019-07-16,松山,5.96,14.03,19.98,17.41,24.2,10.64,2.94
2019-07-23,松山,5.32,15.75,21.08,25.5,25.6,13.29,1.92
2019-07-30,松山,5.36,6.91,12.27,13.63,11.44,7.57,2.37
2019-08-06,松山,5.18,10.29,15.45,19.8,22.89,10.05,1.78
2019-08-13,松山,4.49,16.72,21.19,28.7,23.34,12.71,1.8
2019-08-20,松山,5.21,10.5,15.7,19.18,18.78,9.78,1.67
2019-08-27,松山,6.53,8.66,15.18,12.95,16.08,9.46,2.08
2019-09-03,松山,7.08,13.19,20.26,17.63,17.67,9.53,2.5
2019-09-10,松山,4.5,9.17,13.66,21.26,18.93,10.7,1.84
2019-09-17,松山,5.08,17.44,22.51,35.81,33.69,13.95,1.98
2019-09-24,松山,5.57,14.15,19.7,20.18,16.54,8.46,1.73
2019-10-01,松山,7.13,16.19,23.32,26.75,30.65,18.93,2.19
2019-10-08,松山,1.74,12.6,14.3,41.19,31.22,17.02,2.3
2019-10-15,松山,2.19,12.88,15.06,41.81,33.11,15.42,1.44
2019-10-22,松山,3.47,15.65,19.11,36.03,28.8,14.3,2.11
2019-10-29,松山,2.1,14.77,16.86,41.12,44.12,20.69,2.12
2019-11-05,松山,3.47,16.41,19.87,37.73,30.88,14.3,2.3
2019-11-12,松山,6.2,20.08,26.28,30.67,44.65,19.96,2.21
2019-11-19,松山,6.42,17.39,23.8,21.18,24.1,11.2,2.21
2019-11-26,松山,4.05,15.99,20.04,28.09,23.76,12.26,1.98
2019-12-03,松山,4.17,16.69,20.86,31.14,27.07,11.86,2.09
2019-12-10,松山,8.46,20.98,29.43,27.4,34.71,17.0,2.86
2019-12-17,松山,9.62,21.6,31.22,17.27,19.49,11.37,2.13
2019-12-24,松山,12.1,20.23,32.33,19.86,23.9,12.73,2.51
