日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,三義,2.47,9.72,12.2,22.93,18.51,11.15,1.82
2019-01-08,三義,2.07,10.82,12.9,23.49,23.91,12.85,2.11
2019-01-15,三義,1.67,11.88,13.54,30.78,31.15,17.56,2.2
2019-01-22,三義,1.39,8.98,10.37,39.26,38.22,22.69,2.45
2019-01-29,三義,2.12,10.54,12.65,36.43,39.86,24.02,2.8
2019-02-05,三義,0.95,7.07,8.02,31.63,31.48,19.29,2.01
2019-02-12,三義,1.48,8.48,9.96,26.49,23.08,14.03,1.68
2019-02-19,三義,1.85,10.06,11.9,28.46,23.94,16.46,2.24
2019-02-26,三義,1.58,10.08,11.65,32.84,36.94,23.66,2.62
2019-03-05,三義,1.53,10.08,11.61,35.26,17.51,12.94,1.9
2019-03-12,三義,1.42,11.27,12.69,42.27,45.41,32.07,2.46
2019-03-19,三義,1.85,11.12,12.97,30.81,37.4,24.27,2.18
2019-03-26,三義,1.3,7.99,9.29,39.42,31.18,19.38,1.88
2019-04-02,三義,1.56,8.08,9.63,40.58,39.78,29.15,2.17
2019-04-09,三義,1.54,8.2,9.71,34.63,28.87,21.7,2.89
2019-04-16,三義,1.44,7.69,9.14,37.76,24.28,16.88,2.78
2019-04-23,三義,0.89,6.89,7.77,32.58,29.04,19.71,2.65
2019-04-30,三義,1.12,7.31,8.42,34.99,25.63,14.62,1.98
2019-05-07,三義,1.51,8.71,10.21,30.81,24.44,15.49,2.68
2019-05-14,三義,1.5,5.02,6.52,23.27,20.51,11.9,2.29
2019-05-21,三義,1.2,8.01,9.23,36.46,33.5,19.81,2.33
2019-05-28,三義,1.1,5.61,6.7,27.51,18.06,9.13,2.42
2019-06-04,三義,1.15,3.87,5.01,22.76,13.33,7.63,3.02
2019-06-11,三義,1.55,5.33,6.88,35.54,7.66,5.08,2.12
2019-06-18,三義,1.28,4.35,5.62,22.78,13.3,2.57,2.63
2019-06-25,三義,1.5,5.15,6.65,25.82,15.66,5.62,2.46
2019-07-02,三義,1.07,2.81,3.88,25.28,15.05,6.13,1.82
2019-07-09,三義,1.08,2.71,3.8,23.8,14.86,8.95,1.97
2019-07-16,三義,1.49,4.73,6.22,25.98,21.3,10.96,2.19
2019-07-23,三義,1.17,4.7,5.85,25.47,18.45,8.47,2.4
2019-07-30,三義,1.12,6.02,7.11,30.94,28.91,17.94,2.3
2019-08-06,三義,0.88,3.67,4.53,26.71,19.44,9.96,1.8
2019-08-13,三義,0.87,2.99,3.86,32.79,11.71,6.66,1.87
2019-08-20,三義,1.5,6.12,7.64,26.53,23.32,12.5,2.27
2019-08-27,三義,1.21,5.7,6.91,30.19,28.43,16.46,2.18
2019-09-03,三義,1.28,5.71,6.96,28.67,24.35,15.56,2.13
2019-09-10,三義,1.14,6.81,7.95,34.56,31.22,20.11,2.22
2019-09-17,三義,0.84,4.81,5.64,53.78,25.77,12.28,2.04
2019-09-24,三義,0.87,5.9,6.76,27.67,19.57,10.93,1.81
2019-10-01,三義,1.17,7.17,8.33,38.12,46.15,32.83,2.4
2019-10-08,三義,1.24,7.61,8.84,40.2,32.5,20.87,2.07
2019-10-15,三義,0.82,5.21,6.02,48.6,24.04,11.97,1.7
2019-10-22,三義,0.7,7.3,7.97,40.47,27.49,16.89,1.84
2019-10-29,三義,0.52,7.06,7.52,38.22,30.44,16.11,1.87
2019-11-05,三義,0.91,5.24,6.09,46.29,24.55,12.83,1.69
2019-11-12,三義,1.42,8.52,9.93,46.53,39.97,24.05,2.5
2019-11-19,三義,1.61,6.2,7.81,29.5,15.95,9.0,1.8
2019-11-26,三義,1.45,6.95,8.38,34.17,22.52,12.28,1.95
2019-12-03,三義,1.1,5.54,6.63,37.35,14.65,7.96,1.63
2019-12-10,三義,1.1,9.13,10.22,33.55,27.98,17.38,1.96
2019-12-17,三義,1.93,8.88,10.81,21.2,14.47,8.87,1.89
2019-12-24,三義,1.79,8.96,10.74,26.35,18.01,10.57,1.71
