日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,忠明,9.68,23.98,33.68,21.58,69.68,41.27,2.61
2017-01-08,忠明,5.22,18.68,23.87,24.38,39.42,24.17,2.33
2017-01-15,忠明,5.32,16.76,22.05,24.78,31.62,17.38,2.1
2017-01-22,忠明,3.79,17.01,20.78,30.2,36.81,22.59,2.18
2017-01-29,忠明,3.23,13.69,16.93,28.77,32.36,17.25,1.61
2017-02-05,忠明,3.01,16.04,19.03,32.02,47.91,28.24,2.48
2017-02-12,忠明,10.32,23.97,34.27,28.34,59.31,34.1,2.75
2017-02-19,忠明,8.89,21.37,30.21,24.52,45.9,24.14,2.18
2017-02-26,忠明,3.79,20.81,24.65,31.47,48.36,27.42,2.76
2017-03-05,忠明,7.23,23.47,30.69,29.73,48.16,30.61,2.57
2017-03-12,忠明,3.55,19.15,22.66,28.74,48.05,29.48,2.12
2017-03-19,忠明,3.92,19.53,23.45,33.58,41.58,23.58,2.23
2017-03-26,忠明,6.72,23.2,29.85,34.26,58.95,32.78,2.89
2017-04-02,忠明,3.42,21.13,24.51,39.58,51.62,33.62,3.51
2017-04-09,忠明,5.61,19.16,24.73,24.43,38.46,22.98,2.66
2017-04-16,忠明,2.87,14.72,17.57,26.77,37.81,23.59,3.07
2017-04-23,忠明,2.64,21.77,24.43,38.81,45.7,27.28,2.68
2017-04-30,忠明,4.33,21.87,26.2,30.82,48.26,29.53,2.96
2017-05-07,忠明,2.86,16.05,18.92,28.63,45.81,24.88,2.88
2017-05-14,忠明,2.88,18.67,21.53,35.42,29.79,17.56,2.58
2017-05-21,忠明,3.05,16.7,19.74,31.65,30.61,19.63,2.72
2017-05-28,忠明,3.09,13.81,16.92,27.33,24.97,14.59,2.14
2017-06-04,忠明,4.19,14.07,18.25,21.54,22.74,14.1,2.76
2017-06-11,忠明,3.8,12.14,15.89,15.52,14.96,7.89,1.63
2017-06-18,忠明,4.48,10.95,15.43,14.04,19.18,9.46,2.0
2017-06-25,忠明,2.82,11.71,14.54,22.17,27.59,13.39,2.86
2017-07-02,忠明,3.63,13.07,16.7,21.21,15.29,10.04,1.68
2017-07-09,忠明,2.57,12.48,15.07,22.1,20.89,12.93,3.33
2017-07-16,忠明,2.35,14.0,16.33,28.04,29.18,18.48,2.38
2017-07-23,忠明,2.0,13.9,15.79,30.02,34.04,23.53,3.88
2017-07-30,忠明,2.11,10.51,12.65,23.0,21.58,11.14,1.99
2017-08-06,忠明,2.38,8.66,11.02,18.36,25.37,12.84,1.99
2017-08-13,忠明,3.49,12.48,15.97,20.03,22.59,13.99,3.39
2017-08-20,忠明,3.17,14.2,17.29,27.6,32.14,19.3,2.62
2017-08-27,忠明,2.18,13.97,16.12,32.17,39.12,25.34,2.55
2017-09-03,忠明,2.37,12.8,15.2,25.73,26.86,17.08,2.78
2017-09-10,忠明,3.93,15.25,19.17,29.48,34.02,19.77,3.67
2017-09-17,忠明,1.49,18.84,20.26,44.93,51.99,34.53,3.85
2017-09-24,忠明,2.4,14.5,16.9,29.35,33.73,23.25,3.63
2017-10-01,忠明,1.84,16.6,18.44,35.82,43.8,27.92,2.82
2017-10-08,忠明,2.63,16.57,19.18,31.78,41.97,25.41,3.58
2017-10-15,忠明,3.91,12.81,16.71,27.34,20.7,10.49,1.73
2017-10-22,忠明,1.35,14.45,15.81,47.57,37.93,22.17,1.94
2017-10-29,忠明,3.27,15.65,18.84,36.94,31.99,16.59,1.79
2017-11-05,忠明,3.4,19.3,22.69,28.14,43.31,23.52,2.18
2017-11-12,忠明,4.44,20.06,24.45,21.54,35.48,21.7,2.33
2017-11-19,忠明,3.3,15.55,18.83,21.71,19.67,10.04,1.91
2017-11-26,忠明,5.3,16.85,22.16,26.94,38.74,19.64,1.94
2017-12-03,忠明,4.78,16.99,21.77,25.98,30.24,17.61,2.29
2017-12-10,忠明,8.6,20.88,29.46,22.31,32.9,17.53,2.23
2017-12-17,忠明,8.54,19.18,27.75,28.82,40.08,23.08,2.63
2017-12-24,忠明,6.4,24.41,30.84,26.36,66.51,39.21,2.72
