日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,永和,10.41,17.83,28.23,23.83,18.17,9.27,2.09
2019-01-08,永和,15.57,20.71,36.28,22.24,27.95,14.07,2.24
2019-01-15,永和,11.95,21.23,33.17,28.48,32.25,16.31,1.78
2019-01-22,永和,5.32,17.25,22.56,38.17,37.98,19.28,1.69
2019-01-29,永和,11.03,22.42,33.45,28.38,36.24,21.16,1.97
2019-02-05,永和,4.33,12.05,16.38,30.41,25.11,14.81,1.61
2019-02-12,永和,9.88,18.23,28.1,28.08,20.32,11.92,1.81
2019-02-19,永和,11.54,21.25,32.79,27.98,26.55,13.78,1.87
2019-02-26,永和,8.41,21.04,29.45,30.98,43.31,22.3,1.78
2019-03-05,永和,12.38,23.99,36.36,32.13,31.08,17.12,1.78
2019-03-12,永和,8.66,21.63,30.27,43.22,38.31,18.94,1.66
2019-03-19,永和,12.22,22.34,34.56,30.75,35.1,19.49,2.1
2019-03-26,永和,9.32,19.26,28.57,37.93,37.54,17.41,1.82
2019-04-02,永和,12.6,27.0,39.59,31.17,38.64,22.59,2.05
2019-04-09,永和,9.01,19.85,28.86,34.8,33.02,17.62,1.99
2019-04-16,永和,12.46,30.78,43.24,26.63,38.24,23.28,2.46
2019-04-23,永和,9.49,21.73,31.22,31.73,34.73,19.13,3.07
2019-04-30,永和,4.52,14.45,18.97,42.88,31.46,13.56,1.39
2019-05-07,永和,5.51,16.93,22.43,38.52,18.17,9.72,1.67
2019-05-14,永和,11.88,18.53,30.4,18.58,31.29,16.32,1.93
2019-05-21,永和,4.69,15.07,19.75,38.77,33.45,12.66,1.64
2019-05-28,永和,9.45,18.3,27.74,28.22,29.26,12.0,2.06
2019-06-04,永和,12.28,17.24,29.51,16.64,29.49,12.23,2.47
2019-06-11,永和,9.29,19.59,28.88,33.58,27.88,19.41,1.65
2019-06-18,永和,9.61,16.39,25.99,21.43,23.13,14.29,2.36
2019-06-25,永和,10.26,18.34,28.6,19.97,26.47,9.67,1.99
2019-07-02,永和,9.7,16.17,25.86,18.45,16.6,6.39,1.97
2019-07-09,永和,8.15,14.04,22.18,19.84,28.3,6.62,1.84
2019-07-16,永和,9.04,14.17,23.2,16.11,22.35,4.34,1.85
2019-07-23,永和,8.16,17.97,26.12,22.62,25.88,11.63,1.68
2019-07-30,永和,6.41,7.36,13.77,14.76,10.04,6.58,1.87
2019-08-06,永和,8.4,10.08,18.48,18.68,21.31,11.49,1.69
2019-08-13,永和,6.5,15.14,21.64,28.21,21.9,13.95,2.02
2019-08-20,永和,7.81,11.55,19.36,19.08,17.95,9.98,1.69
2019-08-27,永和,6.93,9.47,16.4,13.84,13.17,7.91,1.92
2019-09-03,永和,11.51,14.6,26.11,16.57,17.22,9.61,2.06
2019-09-10,永和,5.84,9.91,15.74,20.28,17.57,9.63,1.35
2019-09-17,永和,8.78,19.47,28.25,31.26,33.63,13.01,1.52
2019-09-24,永和,5.72,10.6,16.32,22.28,15.54,5.69,1.72
2019-10-01,永和,8.25,16.11,24.35,28.14,27.95,15.33,1.46
2019-10-08,永和,3.59,12.14,15.72,41.09,29.6,13.24,1.75
2019-10-15,永和,5.03,16.07,21.09,35.83,31.85,11.29,1.5
2019-10-22,永和,5.17,13.68,18.85,38.35,27.05,10.3,1.46
2019-10-29,永和,3.91,14.0,17.91,40.35,42.16,15.8,1.28
2019-11-05,永和,4.06,13.05,17.11,40.79,27.21,10.69,1.41
2019-11-12,永和,6.7,16.75,23.45,36.17,33.41,15.99,1.99
2019-11-19,永和,9.97,16.16,26.13,22.61,18.38,9.39,1.79
2019-11-26,永和,6.69,14.94,21.64,28.01,17.95,9.97,1.41
2019-12-03,永和,6.85,17.61,24.46,29.84,17.78,10.07,1.33
2019-12-10,永和,12.46,20.66,33.11,29.15,31.22,14.18,1.84
2019-12-17,永和,12.57,19.64,32.21,19.64,17.43,8.85,2.34
2019-12-24,永和,18.41,19.79,38.2,20.16,21.22,10.89,1.87
