日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,菜寮,3.64,14.9,18.54,18.95,14.87,7.68,1.92
2019-01-08,菜寮,6.59,17.13,23.72,18.16,27.69,13.97,1.95
2019-01-15,菜寮,5.7,19.63,25.33,22.46,32.5,14.94,2.04
2019-01-22,菜寮,5.51,18.91,24.41,33.67,42.41,16.88,2.66
2019-01-29,菜寮,8.34,22.46,30.8,28.98,40.91,20.24,2.3
2019-02-05,菜寮,2.46,12.74,15.19,29.32,28.52,13.4,1.34
2019-02-12,菜寮,3.08,15.44,18.51,28.92,20.87,9.81,1.6
2019-02-19,菜寮,3.64,17.33,20.96,29.96,26.1,13.98,2.12
2019-02-26,菜寮,2.71,18.44,21.15,33.48,43.34,24.94,2.16
2019-03-05,菜寮,4.0,21.01,25.0,33.93,29.68,18.97,2.17
2019-03-12,菜寮,3.27,18.72,21.98,45.56,39.56,20.24,1.86
2019-03-19,菜寮,5.13,18.57,23.7,34.34,35.25,20.47,1.97
2019-03-26,菜寮,5.35,18.13,23.48,37.86,42.0,21.25,2.42
2019-04-02,菜寮,5.53,19.84,25.35,37.25,40.29,24.9,2.31
2019-04-09,菜寮,2.86,16.31,19.17,36.53,34.28,21.96,2.24
2019-04-16,菜寮,4.95,23.2,28.15,33.34,40.36,26.79,3.07
2019-04-23,菜寮,3.51,15.24,18.72,32.31,34.95,17.8,3.44
2019-04-30,菜寮,2.02,14.02,16.04,41.06,34.62,12.57,1.48
2019-05-07,菜寮,2.29,14.84,17.12,36.74,21.87,8.68,2.31
2019-05-14,菜寮,6.57,17.52,24.09,19.17,31.56,13.98,2.71
2019-05-21,菜寮,2.38,15.08,17.46,38.03,35.42,12.22,1.85
2019-05-28,菜寮,3.64,14.98,18.61,28.54,29.51,8.6,2.65
2019-06-04,菜寮,7.4,15.94,23.33,16.92,27.25,8.78,2.36
2019-06-11,菜寮,6.26,17.82,24.08,33.02,25.61,9.74,2.03
2019-06-18,菜寮,3.02,14.55,17.57,21.29,23.87,9.34,2.51
2019-06-25,菜寮,4.79,16.5,21.29,21.34,26.11,8.45,1.9
2019-07-02,菜寮,3.6,13.15,16.74,20.44,16.41,7.11,2.37
2019-07-09,菜寮,3.5,12.88,16.36,20.15,25.63,10.44,2.0
2019-07-16,菜寮,3.96,13.18,17.14,18.14,21.58,9.62,2.02
2019-07-23,菜寮,3.08,16.19,19.25,23.95,23.82,11.91,2.5
2019-07-30,菜寮,3.18,7.52,10.69,15.33,10.54,4.95,1.71
2019-08-06,菜寮,3.53,8.6,12.12,21.87,20.41,9.69,1.9
2019-08-13,菜寮,2.36,14.53,16.89,29.57,20.48,11.11,2.62
2019-08-20,菜寮,3.75,11.74,15.48,20.49,17.52,8.03,2.0
2019-08-27,菜寮,3.92,9.54,13.45,13.78,14.15,6.95,2.17
2019-09-03,菜寮,4.97,13.61,18.57,17.62,17.52,8.62,2.28
2019-09-10,菜寮,2.8,9.09,11.89,21.86,18.14,9.18,1.62
2019-09-17,菜寮,4.24,17.25,21.48,35.19,32.19,12.98,1.63
2019-09-24,菜寮,4.34,11.66,15.99,22.1,14.8,7.45,1.31
2019-10-01,菜寮,4.21,14.22,18.42,28.82,30.47,19.68,2.42
2019-10-08,菜寮,1.43,11.13,12.55,41.59,29.31,15.72,1.92
2019-10-15,菜寮,2.01,13.21,15.22,39.11,30.09,13.59,1.58
2019-10-22,菜寮,2.37,12.52,14.89,38.38,25.41,13.17,2.11
2019-10-29,菜寮,1.33,11.5,12.82,40.82,39.97,17.61,1.87
2019-11-05,菜寮,2.15,12.42,14.58,40.78,26.02,12.23,1.64
2019-11-12,菜寮,3.98,17.84,21.81,36.07,38.47,19.02,2.1
2019-11-19,菜寮,3.61,13.44,17.05,23.99,20.81,10.66,1.48
2019-11-26,菜寮,2.74,13.8,16.53,28.07,21.44,12.17,2.02
2019-12-03,菜寮,3.62,18.66,22.28,27.86,21.72,12.17,1.59
2019-12-10,菜寮,5.51,18.96,24.46,29.13,31.06,16.14,3.0
2019-12-17,菜寮,6.92,19.09,26.0,19.77,16.88,10.33,2.55
2019-12-24,菜寮,12.01,20.32,32.33,18.91,22.22,13.11,2.32
