日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,陽明,0.79,3.62,4.42,43.49,21.28,13.31,2.19
2015-01-08,陽明,0.49,2.58,3.06,47.8,22.88,16.37,2.16
2015-01-15,陽明,0.75,2.74,3.5,46.9,33.78,24.24,2.27
2015-01-22,陽明,0.79,3.34,4.11,51.3,25.68,18.64,2.58
2015-01-29,陽明,1.09,1.58,2.66,40.17,4.55,2.0,1.05
2015-02-05,陽明,0.8,3.31,4.09,47.12,20.6,15.15,2.07
2015-02-12,陽明,0.8,3.08,3.89,58.68,39.79,24.97,2.75
2015-02-19,陽明,1.13,3.17,4.31,43.23,17.65,12.84,1.91
2015-02-26,陽明,1.08,2.6,3.67,41.54,10.54,7.41,1.47
2015-03-05,陽明,0.48,1.39,1.87,45.21,8.67,5.15,1.31
2015-03-12,陽明,0.64,4.99,5.6,51.01,23.49,18.66,1.83
2015-03-19,陽明,0.62,3.05,3.64,54.72,18.91,11.75,1.65
2015-03-26,陽明,0.86,4.2,5.07,52.41,18.12,14.0,2.24
2015-04-02,陽明,1.51,4.7,6.2,45.04,17.97,14.57,2.32
2015-04-09,陽明,0.91,2.3,3.18,60.93,17.19,9.97,1.62
2015-04-16,陽明,1.36,3.93,5.27,49.66,20.25,14.35,2.14
2015-04-23,陽明,1.11,2.88,3.99,49.87,19.94,14.33,1.83
2015-04-30,陽明,1.22,3.61,4.82,48.1,21.84,17.25,1.64
2015-05-07,陽明,0.83,3.03,3.85,39.18,16.96,12.1,1.69
2015-05-14,陽明,1.25,5.04,6.29,35.52,18.74,13.22,1.96
2015-05-21,陽明,0.84,2.31,3.16,41.68,8.28,5.42,1.66
2015-05-28,陽明,1.03,4.49,5.5,28.96,15.68,11.26,1.63
2015-06-04,陽明,1.11,5.12,6.23,34.01,16.91,12.33,1.92
2015-06-11,陽明,1.34,5.36,6.69,31.63,17.46,13.05,1.99
2015-06-18,陽明,1.11,3.87,4.97,31.54,15.06,11.88,2.03
2015-06-25,陽明,1.32,4.49,5.82,26.66,19.18,12.0,1.86
2015-07-02,陽明,1.33,2.65,3.9,27.77,14.13,8.42,1.77
2015-07-09,陽明,1.39,2.58,3.96,30.62,17.09,12.95,1.44
2015-07-16,陽明,1.31,4.32,5.62,8.79,22.51,17.88,2.74
2015-07-23,陽明,0.98,4.66,5.61,36.09,18.12,13.84,1.99
2015-07-30,陽明,1.04,3.5,4.46,40.22,18.02,15.97,2.65
2015-08-06,陽明,,,,18.03,,9.56,2.11
2015-08-13,陽明,1.27,3.51,4.78,29.92,13.22,9.09,1.6
2015-08-20,陽明,1.16,1.93,3.09,28.16,11.96,7.2,2.04
2015-08-27,陽明,1.17,2.56,3.73,32.76,8.92,5.51,1.26
2015-09-03,陽明,1.2,3.19,4.4,42.82,16.33,11.57,1.71
2015-09-10,陽明,0.84,2.3,3.13,50.16,14.06,9.55,1.83
2015-09-17,陽明,0.61,3.45,4.04,56.04,21.73,17.9,2.01
2015-09-24,陽明,0.69,1.93,2.61,43.62,9.34,7.61,1.64
2015-10-01,陽明,1.03,2.26,3.3,31.75,11.03,6.81,1.66
2015-10-08,陽明,0.6,2.53,3.12,60.34,25.01,16.28,2.13
2015-10-15,陽明,0.92,1.79,2.72,49.09,13.27,7.37,1.4
2015-10-22,陽明,0.77,2.42,3.18,49.52,16.45,11.7,1.58
2015-10-29,陽明,0.86,2.52,3.38,47.23,11.54,7.7,1.51
2015-11-05,陽明,0.88,3.54,4.41,42.57,15.27,10.61,1.72
2015-11-12,陽明,0.94,3.78,4.7,44.16,11.82,8.83,2.39
2015-11-19,陽明,0.84,2.28,3.12,44.71,7.56,3.95,1.73
2015-11-26,陽明,0.47,2.3,2.77,44.7,12.58,8.04,1.76
2015-12-03,陽明,0.65,2.77,3.41,41.88,17.51,7.46,1.48
2015-12-10,陽明,0.48,3.31,3.78,42.04,17.7,11.12,2.36
2015-12-17,陽明,0.64,3.24,3.86,37.44,14.47,8.8,1.84
2015-12-24,陽明,0.74,2.6,3.33,45.32,15.98,9.79,1.46
