日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,林口,5.31,16.04,21.36,31.99,48.51,26.99,2.9
2015-01-08,林口,1.76,10.76,12.44,40.55,45.2,23.84,2.82
2015-01-15,林口,1.59,11.92,13.53,39.21,61.5,32.75,2.7
2015-01-22,林口,2.43,18.37,20.75,37.65,59.78,37.62,3.17
2015-01-29,林口,1.79,9.49,11.3,33.43,22.62,14.0,1.73
2015-02-05,林口,2.83,14.97,17.83,36.83,45.44,27.21,3.5
2015-02-12,林口,2.46,15.61,18.04,50.02,74.37,39.78,3.96
2015-02-19,林口,2.87,14.35,17.19,35.93,,30.75,3.26
2015-02-26,林口,2.25,12.45,14.71,33.72,39.25,24.73,2.16
2015-03-05,林口,2.13,13.12,15.27,35.92,28.38,15.87,2.23
2015-03-12,林口,5.74,22.43,28.09,30.44,67.16,36.29,3.68
2015-03-19,林口,2.03,12.47,14.52,46.25,55.31,22.66,2.86
2015-03-26,林口,4.09,20.5,24.57,34.42,44.44,24.65,3.22
2015-04-02,林口,3.49,13.93,17.4,32.83,45.94,23.09,3.09
2015-04-09,林口,2.31,17.01,19.34,46.29,38.95,18.99,2.3
2015-04-16,林口,3.4,19.13,22.56,31.69,59.47,29.03,2.69
2015-04-23,林口,2.43,14.27,16.71,42.28,54.94,26.08,3.42
2015-04-30,林口,2.68,18.01,20.7,38.37,53.44,28.98,4.14
2015-05-07,林口,4.43,19.15,23.58,31.99,51.58,25.37,4.12
2015-05-14,林口,7.02,22.18,29.29,17.87,43.57,24.07,3.67
2015-05-21,林口,5.59,17.78,23.36,32.85,26.5,13.21,2.51
2015-05-28,林口,3.68,12.63,16.25,24.42,31.9,11.2,3.42
2015-06-04,林口,4.31,15.74,20.05,24.63,33.04,14.33,3.61
2015-06-11,林口,4.01,15.18,19.2,24.7,30.67,11.52,3.64
2015-06-18,林口,3.84,14.16,17.98,26.87,29.59,13.06,3.32
2015-06-25,林口,3.12,11.47,14.57,21.84,35.06,14.12,2.68
2015-07-02,林口,2.66,10.27,12.92,28.12,29.72,11.88,2.25
2015-07-09,林口,2.4,10.64,13.03,31.01,37.25,15.68,2.92
2015-07-16,林口,3.57,16.26,19.74,33.58,43.17,20.07,3.78
2015-07-23,林口,3.89,16.23,20.12,22.54,36.64,14.63,3.45
2015-07-30,林口,4.45,16.31,20.73,25.89,35.25,18.46,4.52
2015-08-06,林口,3.9,10.79,14.68,23.99,31.63,11.22,2.91
2015-08-13,林口,4.05,13.42,17.5,23.57,25.83,9.19,2.3
2015-08-20,林口,3.23,9.89,13.13,25.19,28.14,9.21,2.72
2015-08-27,林口,6.54,18.73,25.33,22.38,27.68,12.39,2.72
2015-09-03,林口,3.87,13.63,17.5,32.57,38.53,17.04,3.07
2015-09-10,林口,2.41,9.65,12.05,42.76,37.64,12.29,2.16
2015-09-17,林口,2.58,13.79,16.4,47.02,49.2,23.59,2.81
2015-09-24,林口,2.94,12.29,15.21,37.07,41.27,16.13,2.68
2015-10-01,林口,3.68,12.02,15.7,25.95,28.28,11.08,2.71
2015-10-08,林口,1.91,11.45,13.4,50.68,45.57,22.82,2.91
2015-10-15,林口,2.41,8.89,11.3,43.66,36.31,17.6,2.39
2015-10-22,林口,2.44,10.3,12.7,41.02,49.78,26.26,2.46
2015-10-29,林口,3.13,12.56,15.7,35.77,46.71,23.2,2.59
2015-11-05,林口,3.21,14.0,17.18,34.43,53.74,30.76,3.13
2015-11-12,林口,5.81,20.29,26.09,30.77,50.46,26.57,4.64
2015-11-19,林口,2.92,10.83,13.75,33.79,29.14,12.58,2.97
2015-11-26,林口,4.14,12.2,16.34,33.27,33.18,16.09,3.0
2015-12-03,林口,3.55,11.98,15.52,31.76,39.36,14.35,2.99
2015-12-10,林口,3.14,11.74,14.91,33.12,49.57,26.99,3.2
2015-12-17,林口,5.12,15.66,20.81,26.47,46.62,20.25,3.86
2015-12-24,林口,3.74,11.86,15.61,36.05,46.0,24.05,2.33
