日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,南投,8.32,18.97,27.22,14.72,56.96,30.22,2.46
2016-01-08,南投,5.93,19.7,25.63,19.39,53.72,27.03,2.79
2016-01-15,南投,9.19,23.39,32.58,15.1,55.34,31.68,3.06
2016-01-22,南投,7.88,19.83,27.67,18.38,49.88,24.92,3.02
2016-01-29,南投,7.56,20.39,27.86,16.17,39.56,20.68,2.86
2016-02-05,南投,3.61,16.4,20.0,32.55,64.22,37.51,2.7
2016-02-12,南投,6.15,18.57,24.7,17.21,51.37,28.65,2.64
2016-02-19,南投,5.23,22.1,27.31,21.35,77.9,42.99,2.78
2016-02-26,南投,5.62,21.27,26.83,24.41,77.48,38.86,2.72
2016-03-04,南投,4.99,18.37,23.35,20.96,63.28,37.38,3.09
2016-03-11,南投,9.84,26.41,36.24,12.82,55.89,32.91,3.02
2016-03-18,南投,6.36,20.83,27.21,15.58,72.55,41.8,2.69
2016-03-25,南投,3.43,18.86,22.26,36.61,67.56,36.33,2.9
2016-04-01,南投,3.13,13.77,16.9,25.94,81.93,48.03,3.04
2016-04-08,南投,3.65,14.46,18.13,23.15,53.4,31.15,3.18
2016-04-15,南投,2.8,14.95,17.75,24.02,53.69,27.97,2.42
2016-04-22,南投,2.44,11.65,14.03,22.16,45.96,24.02,2.59
2016-04-29,南投,2.78,12.42,15.11,29.9,56.92,30.85,2.19
2016-05-06,南投,3.22,9.88,13.08,27.27,39.72,21.05,2.54
2016-05-13,南投,3.67,13.17,16.82,36.42,49.85,25.58,2.71
2016-05-20,南投,3.07,13.04,16.08,23.74,49.79,27.04,2.57
2016-05-27,南投,2.64,5.73,8.34,20.49,29.98,13.96,2.1
2016-06-03,南投,2.52,6.8,9.3,25.41,26.9,13.71,2.13
2016-06-10,南投,4.01,6.14,10.14,16.6,22.35,11.2,1.81
2016-06-17,南投,3.14,7.05,10.2,23.22,29.58,13.6,2.67
2016-06-24,南投,2.78,7.94,10.74,23.94,31.54,15.47,2.26
2016-07-01,南投,2.29,8.04,10.29,26.08,34.5,15.85,2.25
2016-07-08,南投,3.61,5.73,9.32,16.36,21.47,10.35,1.74
2016-07-15,南投,3.16,6.07,9.21,18.04,30.32,14.97,2.29
2016-07-22,南投,1.92,4.83,6.73,24.24,37.91,20.48,2.39
2016-07-29,南投,2.74,8.81,11.5,31.24,40.27,22.31,2.48
2016-08-05,南投,3.23,9.68,12.9,28.68,39.46,21.36,2.07
2016-08-12,南投,4.46,8.25,12.61,21.6,32.89,16.41,1.99
2016-08-19,南投,2.18,8.09,10.02,32.78,50.14,27.96,2.55
2016-08-26,南投,2.08,11.9,13.94,40.96,62.64,35.71,2.41
2016-09-02,南投,3.01,8.21,11.23,20.17,28.48,15.04,1.69
2016-09-09,南投,4.85,9.48,14.36,19.3,33.61,15.0,1.85
2016-09-16,南投,3.08,13.13,16.26,29.35,53.63,23.55,1.94
2016-09-23,南投,2.76,10.23,12.96,25.71,45.76,23.88,2.11
2016-09-30,南投,3.2,11.97,15.15,26.73,54.96,30.41,2.11
2016-10-07,南投,4.36,13.17,17.45,18.6,35.1,18.27,1.85
2016-10-14,南投,2.99,11.97,14.96,32.45,82.89,44.05,2.41
2016-10-21,南投,3.33,14.71,17.96,21.3,53.43,26.88,2.64
2016-10-28,南投,3.03,15.48,18.49,29.26,49.63,24.22,1.99
2016-11-04,南投,2.66,18.35,21.02,27.05,50.95,29.04,2.18
2016-11-11,南投,3.97,20.91,24.9,27.58,80.4,44.5,2.62
2016-11-18,南投,6.44,19.65,26.12,18.99,51.88,27.11,2.16
2016-11-25,南投,4.7,19.33,24.06,17.6,53.23,22.47,2.09
2016-12-02,南投,4.83,21.83,26.64,20.55,63.79,33.0,2.51
2016-12-09,南投,6.28,18.76,25.0,21.63,63.67,34.86,2.14
2016-12-16,南投,5.08,21.26,26.34,21.92,72.04,40.35,2.69
2016-12-23,南投,6.53,21.22,27.74,20.05,66.83,35.32,2.26
