日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,線西,3.81,17.29,21.08,25.07,60.17,35.69,4.86
2016-01-08,線西,1.9,14.61,16.51,32.15,46.56,26.98,3.88
2016-01-15,線西,2.35,17.4,19.69,28.11,50.12,30.37,4.09
2016-01-22,線西,2.51,12.99,15.46,30.79,41.78,20.64,3.76
2016-01-29,線西,2.72,14.05,16.72,30.27,33.15,16.47,3.16
2016-02-05,線西,1.76,12.29,14.0,44.69,69.22,41.56,4.52
2016-02-12,線西,2.67,14.37,17.03,25.05,38.59,24.17,3.53
2016-02-19,線西,2.52,15.35,17.77,33.29,60.79,32.75,3.63
2016-02-26,線西,2.99,17.82,20.83,36.01,65.29,32.84,4.89
2016-03-04,線西,3.52,16.73,20.23,29.39,60.9,39.12,5.06
2016-03-11,線西,2.62,18.56,21.2,28.64,40.24,25.92,3.58
2016-03-18,線西,3.79,17.41,21.22,31.97,58.75,37.36,3.77
2016-03-25,線西,2.04,18.37,20.45,49.24,75.46,44.55,5.46
2016-04-01,線西,2.0,11.18,13.17,36.76,70.85,50.01,4.68
2016-04-08,線西,2.28,12.76,15.0,32.36,51.86,35.33,3.98
2016-04-15,線西,2.2,12.76,14.97,34.81,50.48,28.44,3.86
2016-04-22,線西,2.09,9.8,11.88,30.21,46.79,27.23,2.93
2016-04-29,線西,1.63,11.63,13.31,39.59,59.39,36.27,4.14
2016-05-06,線西,2.27,10.53,12.78,27.12,38.76,20.38,4.15
2016-05-13,線西,1.73,10.92,12.66,41.76,47.3,25.34,3.92
2016-05-20,線西,2.15,14.1,16.21,29.3,40.97,25.99,4.92
2016-05-27,線西,1.66,5.7,7.37,21.46,30.14,13.9,2.33
2016-06-03,線西,2.16,7.39,9.57,28.72,28.96,15.66,2.49
2016-06-10,線西,1.36,6.5,7.84,21.59,25.38,11.31,1.93
2016-06-17,線西,1.76,7.29,8.87,20.54,27.73,12.36,2.41
2016-06-24,線西,2.42,7.78,10.21,19.83,30.54,13.16,2.47
2016-07-01,線西,2.56,9.03,11.57,25.0,35.36,15.42,2.88
2016-07-08,線西,1.43,4.55,5.97,24.09,24.19,8.92,2.43
2016-07-15,線西,1.57,6.77,8.31,17.75,31.92,15.42,2.46
2016-07-22,線西,1.45,5.33,6.79,26.43,32.31,20.22,2.96
2016-07-29,線西,1.65,7.26,8.93,32.32,36.94,20.25,3.06
2016-08-05,線西,1.3,7.3,8.64,31.53,30.94,16.98,3.5
2016-08-12,線西,1.67,7.5,9.16,28.62,26.26,14.47,3.53
2016-08-19,線西,1.38,6.32,7.72,34.08,41.19,20.02,3.29
2016-08-26,線西,1.25,9.18,10.41,51.43,59.2,30.92,4.16
2016-09-02,線西,1.64,7.23,8.86,26.03,25.98,9.53,2.46
2016-09-09,線西,2.79,9.66,12.49,22.08,33.06,15.49,3.53
2016-09-16,線西,2.42,10.95,13.38,32.75,47.49,21.51,4.49
2016-09-23,線西,4.05,12.0,16.09,24.11,53.2,25.31,5.43
2016-09-30,線西,3.31,14.99,18.32,26.98,51.52,35.25,4.93
2016-10-07,線西,2.72,10.85,13.55,28.33,34.83,19.4,3.43
2016-10-14,線西,2.11,13.5,15.59,34.72,74.25,41.98,4.96
2016-10-21,線西,2.9,12.11,14.98,26.96,52.99,31.08,4.95
2016-10-28,線西,1.66,13.32,15.01,37.29,47.82,24.63,4.32
2016-11-04,線西,2.45,15.51,17.94,35.32,56.13,33.25,5.25
2016-11-11,線西,2.69,18.78,21.35,34.56,74.48,43.58,5.79
2016-11-18,線西,3.09,16.43,19.51,26.48,46.31,27.49,4.83
2016-11-25,線西,2.56,15.34,17.91,28.26,49.25,23.6,4.17
2016-12-02,線西,2.5,15.45,17.91,31.1,57.3,30.07,4.81
2016-12-09,線西,3.9,16.56,20.43,29.62,59.2,30.21,4.51
2016-12-16,線西,3.05,16.69,19.68,28.81,66.49,39.73,4.05
2016-12-23,線西,2.58,15.24,17.79,30.26,58.87,29.17,4.24
