日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,冬山,7.44,12.98,20.43,18.22,31.63,8.09,2.37
2016-01-08,冬山,4.05,11.12,15.18,26.97,32.26,9.45,2.03
2016-01-15,冬山,4.14,10.04,14.19,26.27,29.4,11.04,2.25
2016-01-22,冬山,4.66,10.25,14.91,27.22,29.31,6.45,2.29
2016-01-29,冬山,3.8,9.48,13.29,28.92,16.43,2.95,1.69
2016-02-05,冬山,2.28,9.36,11.69,39.35,48.3,18.09,2.36
2016-02-12,冬山,3.0,8.42,11.38,26.84,22.77,6.06,2.03
2016-02-19,冬山,3.22,10.46,13.67,34.68,42.38,10.73,2.09
2016-02-26,冬山,2.95,8.49,11.45,34.82,37.01,6.52,1.6
2016-03-04,冬山,4.44,10.37,14.82,25.47,30.06,6.91,2.56
2016-03-11,冬山,3.83,11.31,15.14,31.44,28.1,6.11,1.84
2016-03-18,冬山,4.26,11.82,16.06,36.86,40.01,12.41,2.18
2016-03-25,冬山,2.72,11.81,14.54,48.4,51.09,18.64,2.44
2016-04-01,冬山,2.91,12.09,15.02,29.43,51.31,23.86,2.71
2016-04-08,冬山,3.52,13.76,17.25,27.95,39.59,16.48,3.49
2016-04-15,冬山,3.42,12.1,15.5,31.06,31.17,12.02,
2016-04-22,冬山,4.79,10.65,15.41,26.15,40.18,18.57,2.73
2016-04-29,冬山,2.93,10.13,13.11,38.32,57.82,27.36,2.51
2016-05-06,冬山,2.83,8.41,11.27,27.55,32.44,10.54,2.1
2016-05-13,冬山,2.6,8.23,10.82,31.22,29.1,9.46,2.44
2016-05-20,冬山,3.7,9.19,12.88,22.86,27.76,13.51,2.52
2016-05-27,冬山,3.11,8.54,11.64,22.99,28.3,11.24,2.55
2016-06-03,冬山,3.92,10.03,13.96,22.1,26.28,9.15,2.44
2016-06-10,冬山,7.87,10.2,18.08,13.69,26.18,7.97,2.51
2016-06-17,冬山,3.57,7.41,10.99,19.23,26.11,8.39,3.13
2016-06-24,冬山,4.03,8.76,12.81,19.7,27.59,7.75,3.28
2016-07-01,冬山,4.75,7.13,11.86,11.59,22.82,4.52,2.56
2016-07-08,冬山,3.72,8.39,12.1,23.08,29.57,5.08,2.36
2016-07-15,冬山,3.9,10.07,13.97,19.9,37.35,9.07,3.13
2016-07-22,冬山,3.22,8.51,11.73,25.46,31.47,10.66,2.75
2016-07-29,冬山,3.14,8.78,11.91,21.09,22.58,6.57,2.95
2016-08-05,冬山,2.63,7.71,10.34,23.28,23.63,6.94,2.88
2016-08-12,冬山,2.73,8.13,10.84,20.39,24.03,3.51,2.67
2016-08-19,冬山,2.38,7.13,9.53,27.58,30.33,10.33,3.03
2016-08-26,冬山,2.28,9.56,11.81,37.84,44.77,12.98,2.77
2016-09-02,冬山,3.73,8.16,11.88,24.85,26.65,8.38,2.58
2016-09-09,冬山,3.93,6.86,10.78,21.15,20.02,3.88,2.75
2016-09-16,冬山,2.5,6.54,9.0,27.24,27.97,6.86,1.69
2016-09-23,冬山,2.74,5.33,8.06,21.44,31.02,9.2,1.85
2016-09-30,冬山,4.79,7.49,12.28,16.59,28.95,7.41,3.48
2016-10-07,冬山,3.63,6.5,10.14,24.95,14.65,2.37,2.01
2016-10-14,冬山,6.71,8.15,14.85,14.6,21.88,4.17,2.31
2016-10-21,冬山,3.5,8.51,12.0,20.99,31.05,6.15,1.87
2016-10-28,冬山,1.79,6.11,7.91,34.44,29.24,3.59,1.48
2016-11-04,冬山,2.93,8.54,11.51,28.43,29.88,4.87,2.49
2016-11-11,冬山,3.65,11.35,14.96,24.7,43.33,8.96,1.78
2016-11-18,冬山,4.34,11.08,15.39,21.57,30.06,4.96,1.86
2016-11-25,冬山,3.7,12.12,15.85,22.56,32.8,6.22,1.36
2016-12-02,冬山,3.4,9.05,12.43,29.17,34.09,8.3,1.48
2016-12-09,冬山,3.95,12.29,16.25,25.92,33.48,7.19,1.7
2016-12-16,冬山,6.75,12.17,18.89,16.73,36.48,7.24,1.8
2016-12-23,冬山,3.18,9.65,12.84,19.25,43.42,9.72,1.74
