日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,關山,1.92,3.74,5.65,21.67,9.39,6.68,1.34
2019-01-08,關山,2.16,4.17,6.33,19.87,12.3,6.73,1.31
2019-01-15,關山,1.19,4.47,5.66,28.73,16.36,8.9,1.32
2019-01-22,關山,2.31,4.8,7.1,30.53,28.88,13.82,1.27
2019-01-29,關山,1.96,4.59,6.56,24.13,20.55,9.66,1.79
2019-02-05,關山,1.21,3.02,4.23,24.32,17.37,10.04,1.26
2019-02-12,關山,1.44,2.39,3.84,23.31,11.84,6.34,1.21
2019-02-19,關山,1.38,2.82,4.19,23.75,16.1,8.37,1.52
2019-02-26,關山,2.03,2.16,4.18,26.47,18.46,9.05,
2019-03-05,關山,1.45,3.89,5.34,33.09,16.39,9.2,2.09
2019-03-12,關山,1.2,3.68,4.87,32.99,29.75,13.92,1.92
2019-03-19,關山,1.24,3.22,4.46,27.18,18.83,9.87,1.53
2019-03-26,關山,1.16,2.85,4.01,30.96,22.76,12.12,1.26
2019-04-02,關山,0.86,3.07,3.95,28.79,18.01,10.27,1.35
2019-04-09,關山,1.11,2.72,3.82,31.68,22.06,10.6,1.47
2019-04-16,關山,1.32,3.68,5.0,21.83,21.13,11.03,1.32
2019-04-23,關山,1.79,2.94,4.72,23.25,24.79,12.15,1.73
2019-04-30,關山,1.16,3.0,4.15,31.78,25.92,11.34,1.39
2019-05-07,關山,1.28,2.73,4.01,24.25,15.96,7.33,1.18
2019-05-14,關山,1.95,2.58,4.53,14.79,24.11,9.71,1.26
2019-05-21,關山,0.93,2.77,3.7,28.16,29.55,10.84,1.26
2019-05-28,關山,1.44,2.31,3.75,19.11,20.33,8.04,0.9
2019-06-04,關山,1.99,2.39,4.38,9.8,23.46,7.41,1.16
2019-06-11,關山,1.43,2.82,4.25,18.92,26.2,7.76,1.4
2019-06-18,關山,1.37,2.81,4.17,17.13,36.11,14.33,1.59
2019-06-25,關山,1.35,2.47,3.81,13.98,20.61,7.19,1.37
2019-07-02,關山,1.32,2.4,3.73,16.87,21.62,7.62,1.26
2019-07-09,關山,1.31,2.51,3.81,18.57,26.1,9.65,1.43
2019-07-16,關山,1.32,2.57,3.88,13.4,20.55,6.07,1.15
2019-07-23,關山,,,,,,,
2019-07-30,關山,1.43,1.71,3.15,10.47,12.25,4.51,1.3
2019-08-06,關山,1.49,2.05,3.52,15.76,20.53,5.71,1.4
2019-08-13,關山,1.01,2.65,3.62,18.62,26.65,7.32,1.36
2019-08-20,關山,1.38,1.61,2.98,17.44,63.74,5.35,1.17
2019-08-27,關山,1.74,1.99,3.73,8.51,12.95,4.94,1.13
2019-09-03,關山,1.35,2.82,4.18,11.66,14.05,5.15,1.03
2019-09-10,關山,0.94,2.61,3.56,16.16,18.51,9.2,1.07
2019-09-17,關山,0.74,2.96,3.72,35.93,37.58,12.32,1.2
2019-09-24,關山,1.23,2.59,3.82,21.63,15.53,6.69,1.29
2019-10-01,關山,1.06,2.66,3.7,17.68,20.89,10.84,1.23
2019-10-08,關山,1.0,2.74,3.74,34.81,26.12,14.13,1.27
2019-10-15,關山,0.68,2.78,3.48,36.22,26.17,10.75,1.5
2019-10-22,關山,0.87,3.05,3.93,30.28,19.94,11.79,1.27
2019-10-29,關山,1.17,3.11,4.27,28.74,18.38,8.97,1.25
2019-11-05,關山,1.65,3.39,5.04,33.29,21.98,9.15,1.41
2019-11-12,關山,1.44,3.68,5.11,31.42,30.32,11.65,1.52
2019-11-19,關山,1.61,3.28,4.89,24.4,19.96,5.65,1.44
2019-11-26,關山,1.62,2.99,4.59,26.72,11.02,5.81,1.34
2019-12-03,關山,1.7,2.76,4.45,30.11,13.06,6.95,1.17
2019-12-10,關山,1.68,3.65,5.32,25.89,18.71,11.1,1.37
2019-12-17,關山,1.76,3.87,5.63,17.37,7.67,4.94,1.36
2019-12-24,關山,1.66,3.87,5.51,21.94,7.9,4.96,1.47
