日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,臺西,1.19,6.76,7.94,35.59,38.76,15.13,1.98
2019-01-08,臺西,1.28,7.45,8.72,34.02,42.49,20.71,2.21
2019-01-15,臺西,1.36,7.52,8.86,43.72,61.94,32.57,2.44
2019-01-22,臺西,0.78,7.37,8.16,52.32,62.01,27.51,2.72
2019-01-29,臺西,1.81,9.84,11.64,40.01,74.07,42.05,2.59
2019-02-05,臺西,1.59,6.57,8.17,36.78,49.28,26.43,2.17
2019-02-12,臺西,1.15,7.24,8.39,36.87,35.98,19.97,2.27
2019-02-19,臺西,1.45,9.66,11.1,36.34,41.78,25.59,2.49
2019-02-26,臺西,1.4,8.62,10.0,43.89,50.55,32.27,3.1
2019-03-05,臺西,1.6,9.7,11.3,40.3,30.74,21.63,2.45
2019-03-12,臺西,1.66,11.05,12.7,54.07,60.77,34.83,3.47
2019-03-19,臺西,2.91,8.92,11.83,34.38,47.94,27.62,3.13
2019-03-26,臺西,1.75,6.92,8.66,47.14,42.44,23.36,2.61
2019-04-02,臺西,1.53,6.89,8.41,49.23,49.64,29.49,2.91
2019-04-09,臺西,1.64,6.29,7.93,41.48,42.83,23.69,2.51
2019-04-16,臺西,1.99,7.71,9.69,43.59,35.92,21.96,3.0
2019-04-23,臺西,1.92,6.04,7.97,32.8,33.51,20.52,3.06
2019-04-30,臺西,1.26,7.66,8.92,43.27,39.61,22.1,3.16
2019-05-07,臺西,1.72,7.55,9.25,43.08,34.16,18.76,3.01
2019-05-14,臺西,2.35,4.4,6.75,20.07,27.84,13.72,1.98
2019-05-21,臺西,2.32,10.16,12.48,51.75,56.33,31.64,3.97
2019-05-28,臺西,1.8,5.55,7.35,33.97,25.49,12.45,2.71
2019-06-04,臺西,2.81,4.91,7.7,18.99,22.51,10.7,2.21
2019-06-11,臺西,1.66,6.71,8.36,39.39,27.67,14.61,2.64
2019-06-18,臺西,1.92,4.25,6.16,16.3,,7.73,1.71
2019-06-25,臺西,2.09,5.46,7.55,22.95,21.48,8.95,2.06
2019-07-02,臺西,2.0,3.56,5.53,22.55,16.46,6.76,1.91
2019-07-09,臺西,1.99,3.8,5.77,20.57,14.7,9.49,1.56
2019-07-16,臺西,2.54,5.57,8.11,23.28,23.96,10.92,2.11
2019-07-23,臺西,1.93,5.42,7.32,18.63,17.14,9.7,2.14
2019-07-30,臺西,1.98,6.64,8.6,27.48,27.09,15.71,2.5
2019-08-06,臺西,1.87,4.33,6.18,28.31,30.04,11.6,2.11
2019-08-13,臺西,1.69,3.66,5.33,32.03,15.29,6.02,1.73
2019-08-20,臺西,1.51,4.37,5.84,30.75,23.92,12.49,2.29
2019-08-27,臺西,2.5,6.01,8.5,29.04,27.26,15.84,2.78
2019-09-03,臺西,1.81,5.64,7.44,32.32,23.73,14.71,2.42
2019-09-10,臺西,1.12,5.23,6.34,37.59,37.74,20.21,2.79
2019-09-17,臺西,1.22,4.7,5.9,60.85,81.98,16.02,2.83
2019-09-24,臺西,1.97,6.76,8.72,34.17,46.75,15.55,3.05
2019-10-01,臺西,1.48,6.31,7.76,44.89,54.34,35.4,2.91
2019-10-08,臺西,1.95,7.78,9.72,47.54,65.59,26.06,3.73
2019-10-15,臺西,1.21,7.29,8.49,51.49,73.49,18.93,3.69
2019-10-22,臺西,2.49,7.22,9.69,48.73,44.73,19.63,2.69
2019-10-29,臺西,2.58,5.0,7.58,53.37,75.04,29.29,1.73
2019-11-05,臺西,4.06,5.03,9.08,52.28,68.53,18.98,2.46
2019-11-12,臺西,7.5,9.47,16.96,47.63,80.73,34.73,2.63
2019-11-19,臺西,4.67,5.54,10.21,35.38,53.8,15.11,2.19
2019-11-26,臺西,4.37,6.28,10.64,39.67,52.83,15.9,2.24
2019-12-03,臺西,5.08,5.83,10.91,42.05,43.39,15.44,2.25
2019-12-10,臺西,3.12,9.35,12.44,39.18,45.98,23.22,2.37
2019-12-17,臺西,2.37,7.06,9.42,31.59,31.33,15.43,1.59
2019-12-24,臺西,1.72,7.52,9.23,35.89,34.04,13.7,2.0
