日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,朴子,2.31,10.72,13.02,24.33,60.74,20.09,2.57
2019-01-08,朴子,2.41,10.64,13.04,26.72,71.85,28.26,2.34
2019-01-15,朴子,1.27,10.62,11.88,32.87,84.5,37.36,2.28
2019-01-22,朴子,1.47,11.32,12.8,40.06,84.71,32.61,2.92
2019-01-29,朴子,1.98,11.7,13.67,32.89,80.87,36.45,2.61
2019-02-05,朴子,1.45,9.58,11.02,29.24,56.98,22.56,2.62
2019-02-12,朴子,1.45,8.98,10.43,31.07,55.02,21.04,2.64
2019-02-19,朴子,2.04,10.7,12.74,29.97,58.09,26.11,2.23
2019-02-26,朴子,1.34,8.75,10.08,37.6,64.82,30.37,2.36
2019-03-05,朴子,2.13,12.57,14.7,32.14,41.51,20.02,2.45
2019-03-12,朴子,1.55,11.19,12.74,44.29,72.59,35.79,2.94
2019-03-19,朴子,2.62,10.7,13.32,25.5,53.02,24.28,2.49
2019-03-26,朴子,1.9,8.7,10.59,36.64,48.41,20.39,2.71
2019-04-02,朴子,1.43,8.21,9.64,39.37,56.79,30.44,2.37
2019-04-09,朴子,1.76,8.06,9.83,31.88,48.31,21.73,3.03
2019-04-16,朴子,1.51,8.79,10.3,34.78,38.62,18.2,2.37
2019-04-23,朴子,2.64,6.62,9.26,26.3,38.8,18.8,2.45
2019-04-30,朴子,1.32,8.38,9.69,34.55,39.69,16.84,2.49
2019-05-07,朴子,1.43,7.55,8.98,34.3,44.35,21.17,2.48
2019-05-14,朴子,2.55,6.41,8.96,15.24,29.55,10.34,2.01
2019-05-21,朴子,1.86,8.82,10.67,40.57,56.76,26.76,2.97
2019-05-28,朴子,2.28,7.01,9.28,24.2,31.79,11.31,2.52
2019-06-04,朴子,3.42,6.37,9.79,14.39,23.37,8.17,2.21
2019-06-11,朴子,2.09,6.85,8.94,32.36,27.07,12.4,2.35
2019-06-18,朴子,3.75,7.01,10.75,13.48,20.08,7.89,2.35
2019-06-25,朴子,2.71,7.17,9.87,19.82,23.02,8.63,2.13
2019-07-02,朴子,2.67,5.8,8.47,19.71,23.38,6.83,2.26
2019-07-09,朴子,2.57,5.64,8.21,17.54,13.51,8.05,1.99
2019-07-16,朴子,2.18,5.45,7.62,24.34,28.1,10.06,2.15
2019-07-23,朴子,2.51,6.5,9.01,17.13,18.29,6.72,2.19
2019-07-30,朴子,2.11,6.96,9.07,27.38,28.88,14.24,2.27
2019-08-06,朴子,2.09,4.59,6.66,27.6,37.86,10.62,2.08
2019-08-13,朴子,2.44,5.72,8.14,27.02,17.62,6.06,1.8
2019-08-20,朴子,1.87,5.35,7.21,26.35,24.18,11.83,2.19
2019-08-27,朴子,2.15,6.19,8.33,27.6,29.22,15.55,2.63
2019-09-03,朴子,2.41,6.43,8.83,28.1,25.16,12.01,2.26
2019-09-10,朴子,1.8,7.24,9.03,34.52,40.35,21.24,2.61
2019-09-17,朴子,1.08,6.33,7.4,53.56,65.85,16.82,2.29
2019-09-24,朴子,1.71,8.38,10.09,33.69,63.39,18.52,2.52
2019-10-01,朴子,1.84,7.1,8.94,41.48,53.93,30.68,2.48
2019-10-08,朴子,1.49,8.4,9.9,45.63,69.37,27.04,2.94
2019-10-15,朴子,1.17,7.99,9.16,46.02,70.6,18.22,2.52
2019-10-22,朴子,1.54,9.61,11.14,40.95,58.37,22.83,3.09
2019-10-29,朴子,1.88,8.18,10.05,43.22,79.55,24.71,2.55
2019-11-05,朴子,1.76,8.77,10.52,44.11,62.07,19.61,2.65
2019-11-12,朴子,2.0,12.19,14.18,42.09,76.36,32.27,2.72
2019-11-19,朴子,1.79,8.44,10.23,29.03,53.3,15.13,2.26
2019-11-26,朴子,1.34,9.16,10.5,32.48,62.47,15.7,2.46
2019-12-03,朴子,1.84,9.77,11.6,34.47,36.16,11.24,2.05
2019-12-10,朴子,3.61,13.22,16.83,31.18,58.41,24.46,2.35
2019-12-17,朴子,3.75,11.09,14.83,22.11,44.85,18.45,2.54
2019-12-24,朴子,1.62,9.71,11.34,26.88,42.98,14.12,2.34
