日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,安南,3.03,17.08,20.1,24.18,68.09,31.89,2.0
2018-01-08,安南,3.54,16.17,19.7,28.33,44.74,20.27,2.48
2018-01-15,安南,3.1,17.04,20.13,26.77,92.05,48.71,2.83
2018-01-22,安南,2.05,14.26,16.31,29.19,65.9,23.69,2.39
2018-01-29,安南,2.08,15.18,17.25,25.68,50.3,22.96,1.86
2018-02-05,安南,2.47,17.11,19.57,24.6,65.7,33.2,1.95
2018-02-12,安南,1.97,15.66,17.63,33.82,90.94,38.05,2.68
2018-02-19,安南,2.04,14.8,16.84,28.56,75.72,33.0,2.63
2018-02-26,安南,3.77,16.35,20.12,27.53,90.11,43.96,2.92
2018-03-05,安南,2.36,13.76,16.14,31.07,58.02,25.77,2.46
2018-03-12,安南,2.87,17.51,20.37,37.63,65.63,39.74,3.01
2018-03-19,安南,3.09,14.66,17.75,40.47,65.67,27.65,2.62
2018-03-26,安南,1.92,13.52,15.43,40.61,81.21,38.91,2.57
2018-04-02,安南,1.54,10.17,11.7,37.0,96.4,29.39,2.43
2018-04-09,安南,2.3,12.51,14.81,28.19,56.28,16.42,2.74
2018-04-16,安南,1.74,11.26,13.0,46.09,73.81,31.64,2.61
2018-04-23,安南,1.49,10.47,11.96,41.44,66.9,29.31,2.76
2018-04-30,安南,1.49,8.78,10.28,35.8,56.03,19.31,2.06
2018-05-07,安南,2.19,9.85,12.04,31.75,55.74,17.52,1.39
2018-05-14,安南,3.21,8.11,11.32,17.45,34.39,11.02,2.26
2018-05-21,安南,2.08,7.82,9.92,26.57,42.54,17.3,2.24
2018-05-28,安南,1.81,7.07,8.87,33.9,50.49,16.67,2.6
2018-06-04,安南,1.84,9.32,11.16,34.27,46.05,16.25,2.71
2018-06-11,安南,1.84,9.74,11.57,40.75,44.19,15.73,2.41
2018-06-18,安南,4.4,10.79,15.19,17.12,32.14,8.65,2.63
2018-06-25,安南,2.75,8.09,10.84,19.65,31.73,9.32,2.34
2018-07-02,安南,3.37,11.42,14.78,18.21,30.46,9.3,2.46
2018-07-09,安南,2.9,8.91,11.8,26.11,36.85,14.81,2.46
2018-07-16,安南,2.01,6.86,8.86,31.36,36.7,13.78,2.16
2018-07-23,安南,2.75,8.66,11.4,21.76,34.78,12.05,2.26
2018-07-30,安南,2.69,7.24,9.92,20.95,28.13,9.54,1.98
2018-08-06,安南,1.93,7.8,9.73,30.43,33.98,15.2,1.95
2018-08-13,安南,2.81,11.42,14.22,22.99,26.93,8.17,2.72
2018-08-20,安南,2.6,10.06,12.65,26.79,26.38,8.59,2.47
2018-08-27,安南,5.36,11.21,16.57,15.51,26.3,9.18,2.58
2018-09-03,安南,2.08,9.08,11.16,24.93,34.85,12.8,1.87
2018-09-10,安南,1.74,11.17,12.92,32.93,50.4,19.55,2.91
2018-09-17,安南,2.05,8.22,10.27,32.8,43.48,20.42,2.45
2018-09-24,安南,0.97,9.63,10.62,46.53,69.0,19.45,2.55
2018-10-01,安南,1.41,12.15,13.57,59.26,80.43,28.23,2.64
2018-10-08,安南,2.02,12.79,14.8,42.96,61.77,25.78,2.78
2018-10-15,安南,1.77,13.28,15.04,44.34,66.09,27.75,2.84
2018-10-22,安南,2.57,12.66,15.23,47.66,95.02,32.98,3.45
2018-10-29,安南,2.67,16.31,18.99,37.37,73.48,25.72,3.06
2018-11-05,安南,2.8,14.23,17.03,38.23,93.44,43.66,2.59
2018-11-12,安南,2.68,16.21,18.9,35.68,80.95,36.83,3.55
2018-11-19,安南,1.98,13.75,15.75,36.03,67.9,22.38,3.11
2018-11-26,安南,2.46,15.79,18.22,33.12,66.98,28.76,2.66
2018-12-03,安南,2.97,15.47,18.44,29.37,74.13,24.26,2.97
2018-12-10,安南,2.22,15.35,17.55,26.17,58.16,21.6,2.66
2018-12-17,安南,4.66,20.96,25.59,33.29,88.26,37.71,3.04
2018-12-24,安南,1.6,12.46,14.06,30.79,63.27,15.61,2.33
