日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,林園,4.46,21.17,25.63,29.36,78.21,33.71,5.06
2018-01-08,林園,3.47,23.79,27.26,25.79,57.46,24.12,4.93
2018-01-15,林園,2.27,22.8,25.06,33.97,96.5,43.9,4.64
2018-01-22,林園,2.99,24.66,27.65,33.12,89.8,33.47,5.96
2018-01-29,林園,4.69,26.04,30.72,20.07,62.04,24.12,6.45
2018-02-05,林園,4.29,27.42,31.71,20.92,66.58,26.6,5.64
2018-02-12,林園,1.62,14.87,16.47,34.1,74.05,29.46,3.99
2018-02-19,林園,2.06,19.59,21.64,32.42,77.95,28.71,5.49
2018-02-26,林園,2.75,17.28,20.04,34.36,69.38,28.24,5.34
2018-03-05,林園,3.14,17.94,21.07,31.11,67.92,25.2,5.28
2018-03-12,林園,1.14,16.07,17.21,46.8,71.19,32.02,4.69
2018-03-19,林園,1.33,14.01,15.34,46.84,57.19,24.51,4.59
2018-03-26,林園,0.98,10.61,11.58,49.78,62.16,30.49,3.61
2018-04-02,林園,1.23,10.49,11.7,40.87,68.3,28.45,4.18
2018-04-09,林園,1.17,8.16,9.31,32.56,38.09,17.2,2.99
2018-04-16,林園,0.8,11.89,12.68,53.26,60.59,27.73,5.37
2018-04-23,林園,0.78,7.16,7.93,47.14,37.91,19.89,3.61
2018-04-30,林園,1.05,6.44,7.45,35.83,39.41,18.08,2.69
2018-05-07,林園,0.77,4.77,5.53,39.09,28.73,13.81,2.7
2018-05-14,林園,1.08,3.73,4.8,22.15,18.87,12.13,3.05
2018-05-21,林園,1.18,5.74,6.91,28.78,26.5,16.25,3.03
2018-05-28,林園,1.05,6.02,7.07,34.06,30.39,16.05,3.46
2018-06-04,林園,1.21,6.5,7.71,31.93,35.98,16.59,3.62
2018-06-11,林園,0.69,4.5,5.18,46.28,45.72,14.82,2.43
2018-06-18,林園,1.24,5.21,6.44,21.95,25.55,10.99,2.24
2018-06-25,林園,0.98,6.38,7.36,21.76,20.19,12.0,2.86
2018-07-02,林園,1.38,8.64,10.0,18.75,20.95,10.78,2.79
2018-07-09,林園,1.23,5.86,7.03,24.15,28.97,13.04,2.46
2018-07-16,林園,1.33,5.45,6.77,28.22,33.94,15.51,3.25
2018-07-23,林園,1.01,6.45,7.45,24.24,32.15,14.68,3.08
2018-07-30,林園,0.97,5.99,6.94,21.47,27.28,13.27,2.57
2018-08-06,林園,0.8,5.4,6.19,30.81,29.43,13.25,2.9
2018-08-13,林園,0.72,4.14,4.84,30.29,19.37,9.92,2.22
2018-08-20,林園,0.6,3.62,4.2,36.17,27.1,10.74,1.78
2018-08-27,林園,1.05,4.03,5.06,21.69,27.88,10.38,1.93
2018-09-03,林園,1.11,5.43,6.53,25.82,22.06,13.82,2.17
2018-09-10,林園,0.85,6.29,7.13,34.86,44.43,19.55,3.12
2018-09-17,林園,0.88,6.85,7.72,33.88,37.16,19.85,3.55
2018-09-24,林園,1.0,9.25,10.25,46.14,54.52,20.98,4.37
2018-10-01,林園,0.67,9.56,10.22,62.96,61.53,27.24,4.18
2018-10-08,林園,0.94,9.45,10.39,54.93,61.27,28.51,3.87
2018-10-15,林園,0.98,11.13,12.09,51.53,63.68,23.02,3.9
2018-10-22,林園,0.67,10.4,11.04,51.25,73.66,34.24,4.15
2018-10-29,林園,3.19,21.78,24.97,36.07,84.51,40.31,5.54
2018-11-05,林園,1.08,11.69,12.78,43.75,78.0,39.24,4.71
2018-11-12,林園,0.98,13.62,14.6,52.59,86.58,43.93,4.87
2018-11-19,林園,1.63,17.77,19.4,41.24,76.86,35.82,4.73
2018-11-26,林園,2.02,17.29,19.3,36.39,66.49,34.98,5.21
2018-12-03,林園,1.61,17.98,19.58,36.85,86.58,38.1,5.22
2018-12-10,林園,2.82,22.05,24.86,34.67,82.61,39.7,5.64
2018-12-17,林園,1.36,19.66,21.01,42.95,97.35,46.58,5.1
2018-12-24,林園,2.49,23.6,26.1,28.09,81.15,34.58,5.87
