日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,復興,7.91,28.54,36.45,16.94,75.56,35.81,3.32
2019-01-08,復興,7.52,28.87,36.39,24.6,89.9,40.57,3.97
2019-01-15,復興,5.6,24.6,30.19,23.29,79.69,42.59,3.02
2019-01-22,復興,5.58,27.81,33.38,28.48,97.82,51.94,3.19
2019-01-29,復興,4.59,25.8,30.38,30.88,75.91,37.76,3.28
2019-02-05,復興,3.26,16.9,20.16,29.83,62.5,33.51,2.44
2019-02-12,復興,4.04,21.04,25.07,27.82,64.92,33.42,3.53
2019-02-19,復興,4.77,18.16,22.93,23.86,49.39,23.23,2.99
2019-02-26,復興,4.3,17.88,22.17,32.29,63.85,33.64,3.08
2019-03-05,復興,5.5,23.41,28.89,22.06,45.32,28.25,3.3
2019-03-12,復興,3.3,21.87,25.17,40.17,63.22,38.14,3.14
2019-03-19,復興,4.44,20.79,25.22,22.32,51.07,27.34,3.0
2019-03-26,復興,3.42,16.61,20.02,33.15,49.0,20.95,3.13
2019-04-02,復興,2.37,15.44,17.81,42.08,55.19,25.46,2.57
2019-04-09,復興,3.92,14.8,18.71,28.79,44.27,19.57,3.08
2019-04-16,復興,4.19,18.8,22.98,32.71,32.82,14.78,2.87
2019-04-23,復興,4.36,11.84,16.2,21.33,31.76,9.15,2.95
2019-04-30,復興,3.47,19.05,22.51,29.79,36.46,20.06,2.52
2019-05-07,復興,3.93,21.63,25.55,29.82,55.54,31.68,2.98
2019-05-14,復興,3.95,10.1,14.05,15.96,26.75,12.38,2.42
2019-05-21,復興,2.99,15.88,18.87,40.06,34.7,20.07,3.58
2019-05-28,復興,4.34,13.64,17.98,22.15,24.31,11.54,2.47
2019-06-04,復興,,,,11.75,21.69,7.73,3.22
2019-06-11,復興,5.61,16.02,21.62,24.1,25.13,8.05,2.92
2019-06-18,復興,6.36,10.99,17.34,13.08,16.97,7.55,2.86
2019-06-25,復興,4.31,13.79,18.09,18.27,21.09,10.46,3.5
2019-07-02,復興,7.16,14.44,21.58,11.52,21.72,7.63,3.6
2019-07-09,復興,5.03,10.24,15.26,14.15,12.72,7.3,3.07
2019-07-16,復興,4.72,12.28,16.99,19.52,18.69,9.39,2.98
2019-07-23,復興,4.92,11.68,16.59,15.5,13.76,6.15,3.43
2019-07-30,復興,4.41,14.62,19.02,22.81,21.2,10.55,3.3
2019-08-06,復興,3.7,10.42,14.11,24.71,27.94,10.78,3.07
2019-08-13,復興,5.05,16.86,21.91,16.55,14.54,6.07,2.59
2019-08-20,復興,3.91,13.46,17.36,23.1,19.47,9.82,4.24
2019-08-27,復興,5.14,14.83,19.97,23.04,23.71,13.16,3.58
2019-09-03,復興,4.18,13.43,17.6,21.82,15.47,7.65,2.93
2019-09-10,復興,2.92,13.96,16.88,35.7,29.77,19.26,3.4
2019-09-17,復興,4.12,14.5,18.61,47.69,52.13,22.75,3.64
2019-09-24,復興,3.22,16.21,19.43,47.34,53.95,29.74,3.24
2019-10-01,復興,3.06,14.03,17.07,39.68,42.98,29.29,2.98
2019-10-08,復興,2.57,11.66,14.23,49.57,43.98,25.91,3.06
2019-10-15,復興,3.95,18.55,22.5,43.88,68.41,26.35,3.76
2019-10-22,復興,3.66,17.74,21.39,46.76,58.9,26.65,4.06
2019-10-29,復興,4.07,20.9,24.96,36.59,81.32,33.71,3.53
2019-11-05,復興,4.81,21.76,26.56,38.78,73.62,28.65,3.62
2019-11-12,復興,4.46,22.23,26.68,41.42,67.0,32.96,3.4
2019-11-19,復興,4.81,22.95,27.75,27.0,58.29,26.38,3.16
2019-11-26,復興,5.74,21.41,27.15,28.91,62.14,25.49,3.03
2019-12-03,復興,6.56,23.46,30.03,21.04,40.44,20.74,2.79
2019-12-10,復興,6.43,27.51,33.94,28.34,59.05,29.56,3.49
2019-12-17,復興,8.15,26.56,34.71,17.91,57.97,30.1,2.94
2019-12-24,復興,7.9,27.68,35.57,15.97,56.07,28.96,3.08
