日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,馬公,1.17,4.55,5.71,38.66,37.01,19.47,1.84
2018-01-08,馬公,1.67,3.97,5.64,40.63,24.12,11.05,1.6
2018-01-15,馬公,0.99,4.65,5.62,43.13,34.51,18.35,1.56
2018-01-22,馬公,0.9,2.94,3.83,41.14,26.93,12.08,1.15
2018-01-29,馬公,1.06,4.31,5.37,39.26,41.24,22.61,1.83
2018-02-05,馬公,1.2,4.02,5.21,46.0,44.33,20.51,1.55
2018-02-12,馬公,1.08,5.13,6.21,50.11,63.07,24.63,1.99
2018-02-19,馬公,1.03,3.77,4.8,45.26,34.04,20.03,1.47
2018-02-26,馬公,1.49,4.5,5.99,44.71,40.6,22.6,1.39
2018-03-05,馬公,1.29,3.03,4.33,43.73,33.88,14.58,1.18
2018-03-12,馬公,1.34,5.2,6.52,49.58,34.16,19.12,1.67
2018-03-19,馬公,0.99,4.6,5.59,52.52,39.25,17.56,1.17
2018-03-26,馬公,1.11,2.96,4.08,49.28,47.76,22.07,1.6
2018-04-02,馬公,0.86,3.4,4.27,42.79,59.65,21.7,1.73
2018-04-09,馬公,1.61,3.7,5.31,38.88,28.25,11.99,1.72
2018-04-16,馬公,1.27,3.51,4.79,52.66,48.08,17.34,1.43
2018-04-23,馬公,1.4,4.21,5.59,54.6,36.24,20.0,1.82
2018-04-30,馬公,1.64,4.02,5.67,37.29,29.63,13.96,1.97
2018-05-07,馬公,1.46,3.91,5.36,39.3,28.6,11.4,1.46
2018-05-14,馬公,2.69,4.56,7.25,15.65,10.19,7.31,1.36
2018-05-21,馬公,2.22,4.15,6.37,31.73,20.66,11.45,2.47
2018-05-28,馬公,1.55,3.41,4.96,44.96,19.91,10.51,1.53
2018-06-04,馬公,1.78,3.54,5.32,39.59,21.43,10.35,1.81
2018-06-11,馬公,1.22,3.43,4.65,58.55,29.23,14.64,1.78
2018-06-18,馬公,2.29,5.58,7.87,22.66,18.7,7.51,2.23
2018-06-25,馬公,2.04,3.77,5.8,24.11,10.82,7.77,1.63
2018-07-02,馬公,2.28,4.9,7.16,22.76,22.01,8.53,2.58
2018-07-09,馬公,1.72,2.95,4.66,26.66,20.32,9.88,2.02
2018-07-16,馬公,1.22,2.85,4.07,26.21,27.44,10.18,1.96
2018-07-23,馬公,2.05,3.37,5.41,21.9,18.01,7.24,1.44
2018-07-30,馬公,1.9,4.46,6.36,24.62,18.56,6.44,1.51
2018-08-06,馬公,1.51,2.89,4.4,38.16,21.93,12.62,1.28
2018-08-13,馬公,2.05,6.13,8.18,28.93,13.92,5.23,3.14
2018-08-20,馬公,1.57,4.65,6.21,38.92,15.72,7.0,3.0
2018-08-27,馬公,2.33,4.9,7.24,23.72,15.76,7.09,2.14
2018-09-03,馬公,1.51,3.46,4.97,37.7,22.83,10.45,1.39
2018-09-10,馬公,1.18,3.36,4.54,36.51,34.41,10.44,2.19
2018-09-17,馬公,1.63,3.32,4.95,38.75,28.09,15.36,1.94
2018-09-24,馬公,1.17,2.02,3.17,61.68,40.34,15.04,1.59
2018-10-01,馬公,0.98,2.35,3.33,76.17,41.13,17.89,1.83
2018-10-08,馬公,1.4,1.69,3.09,54.46,33.61,12.59,1.64
2018-10-15,馬公,1.29,1.86,3.15,60.01,28.22,13.14,1.33
2018-10-22,馬公,0.77,2.63,3.4,62.03,39.25,17.86,2.04
2018-10-29,馬公,1.06,1.78,2.85,62.62,36.68,12.34,1.73
2018-11-05,馬公,1.5,2.54,4.02,47.15,33.86,17.1,1.5
2018-11-12,馬公,1.14,2.35,3.49,50.85,26.37,14.17,1.17
2018-11-19,馬公,0.88,2.96,3.82,47.65,26.81,13.27,1.6
2018-11-26,馬公,1.12,2.64,3.76,55.91,36.39,16.31,1.61
2018-12-03,馬公,1.14,2.96,4.1,43.0,28.05,13.85,1.41
2018-12-10,馬公,1.04,2.94,3.97,38.57,25.47,12.19,1.29
2018-12-17,馬公,0.95,4.33,5.27,57.11,40.1,18.74,1.8
2018-12-24,馬公,1.24,2.1,3.32,42.79,24.09,10.63,0.76
