日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,板橋,6.64,24.18,30.84,20.35,50.84,21.02,4.99
2017-01-08,板橋,3.85,20.0,23.92,25.1,45.76,19.68,4.14
2017-01-15,板橋,4.36,19.28,23.63,24.7,35.2,10.49,3.09
2017-01-22,板橋,3.83,17.51,21.34,32.47,39.17,14.12,2.49
2017-01-29,板橋,4.23,17.36,21.6,25.01,43.84,17.26,2.89
2017-02-05,板橋,3.02,15.41,18.39,34.69,55.9,23.45,2.51
2017-02-12,板橋,6.4,25.2,31.55,30.28,45.26,18.68,3.14
2017-02-19,板橋,8.28,26.25,34.48,22.98,40.66,17.46,2.95
2017-02-26,板橋,8.14,26.45,34.6,30.25,56.72,24.26,2.9
2017-03-05,板橋,9.29,28.55,37.89,33.76,51.86,23.88,3.03
2017-03-12,板橋,4.82,23.66,28.39,29.63,42.42,18.15,2.75
2017-03-19,板橋,6.87,23.59,30.4,31.55,35.41,14.36,3.72
2017-03-26,板橋,4.43,26.33,30.65,38.27,74.52,30.14,4.19
2017-04-02,板橋,7.01,27.21,34.19,36.19,59.5,29.32,4.4
2017-04-09,板橋,9.24,29.05,38.28,27.38,49.5,26.74,4.15
2017-04-16,板橋,6.82,23.01,29.8,21.91,42.89,24.47,3.62
2017-04-23,板橋,7.07,27.44,34.46,35.97,44.1,20.18,4.02
2017-04-30,板橋,4.63,24.76,29.2,29.68,47.89,25.6,4.64
2017-05-07,板橋,4.42,23.0,27.46,27.42,50.99,20.41,4.46
2017-05-14,板橋,2.95,19.89,22.82,35.29,27.59,13.12,2.87
2017-05-21,板橋,3.85,18.25,22.1,30.86,28.29,12.18,2.62
2017-05-28,板橋,3.29,16.9,20.07,26.97,22.23,9.93,2.59
2017-06-04,板橋,4.93,20.84,25.83,25.29,39.91,19.82,4.81
2017-06-11,板橋,8.89,22.47,31.4,19.59,22.48,8.55,3.08
2017-06-18,板橋,10.35,19.69,29.91,17.8,29.18,10.71,4.41
2017-06-25,板橋,4.03,18.39,22.32,24.76,35.1,15.8,4.79
2017-07-02,板橋,6.37,19.71,26.04,19.07,28.16,8.04,4.14
2017-07-09,板橋,6.06,22.29,28.35,21.95,35.35,12.66,4.92
2017-07-16,板橋,5.3,16.66,21.95,22.33,31.33,10.98,4.75
2017-07-23,板橋,3.95,17.95,21.85,21.54,32.53,13.31,3.12
2017-07-30,板橋,5.24,19.59,24.82,23.69,35.53,13.28,4.22
2017-08-06,板橋,2.78,13.16,15.92,23.12,34.99,12.35,3.84
2017-08-13,板橋,3.29,16.72,19.99,28.31,38.22,17.8,5.48
2017-08-20,板橋,4.03,13.47,17.46,21.67,25.69,10.57,2.98
2017-08-27,板橋,4.5,13.11,17.53,22.93,23.58,8.73,2.75
2017-09-03,板橋,4.67,19.78,24.4,21.79,34.4,15.26,6.42
2017-09-10,板橋,3.99,17.54,21.58,26.0,35.42,13.35,3.48
2017-09-17,板橋,3.09,20.26,23.34,42.91,48.63,24.33,5.32
2017-09-24,板橋,3.39,18.85,22.23,30.27,40.36,17.62,4.16
2017-10-01,板橋,2.58,16.68,19.07,32.75,41.65,15.46,3.79
2017-10-08,板橋,3.99,10.7,14.72,18.58,17.54,4.19,2.33
2017-10-15,板橋,6.42,16.98,23.27,24.06,24.72,7.94,2.27
2017-10-22,板橋,3.28,19.79,22.99,40.3,46.27,19.41,2.54
2017-10-29,板橋,4.11,21.79,25.86,29.45,37.49,14.23,2.32
2017-11-05,板橋,3.43,17.02,20.44,30.97,29.35,12.56,2.2
2017-11-12,板橋,5.15,20.31,25.46,23.94,27.16,11.13,3.22
2017-11-19,板橋,5.83,19.49,24.92,23.41,21.59,9.14,2.19
2017-11-26,板橋,6.02,19.43,25.36,25.41,27.16,12.65,2.66
2017-12-03,板橋,4.65,20.57,25.1,26.37,33.8,16.42,2.25
2017-12-10,板橋,5.59,19.76,25.33,25.67,28.93,13.1,2.52
2017-12-17,板橋,4.91,20.15,25.03,27.71,35.67,16.21,2.73
2017-12-24,板橋,3.16,18.22,21.36,31.88,50.26,23.51,2.33
