日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,金門,4.99,20.84,25.83,28.22,91.19,47.9,6.04
2017-01-08,金門,2.56,11.56,14.15,34.84,65.38,38.47,3.67
2017-01-15,金門,1.58,10.29,11.88,33.17,51.7,29.17,2.81
2017-01-22,金門,0.92,6.25,7.17,47.1,57.11,32.07,2.48
2017-01-29,金門,1.75,8.78,10.53,32.32,53.3,32.96,2.22
2017-02-05,金門,1.08,7.05,8.12,44.78,59.64,35.7,2.57
2017-02-12,金門,3.72,14.84,18.56,45.59,71.52,39.63,4.05
2017-02-19,金門,1.99,11.95,13.97,31.56,48.44,29.48,2.38
2017-02-26,金門,1.89,15.81,17.76,49.91,98.11,52.42,5.59
2017-03-05,金門,2.78,15.11,17.9,43.65,76.05,39.77,4.77
2017-03-12,金門,1.54,12.33,13.87,39.27,51.74,28.65,4.15
2017-03-19,金門,1.96,13.29,15.23,36.87,55.89,32.01,4.07
2017-03-26,金門,1.73,14.76,16.5,45.83,91.69,43.19,5.84
2017-04-02,金門,1.93,15.57,17.5,37.99,70.82,39.36,4.66
2017-04-09,金門,3.28,15.86,19.15,31.53,52.81,26.72,3.83
2017-04-16,金門,2.88,14.48,17.36,27.29,53.49,33.9,4.31
2017-04-23,金門,1.29,10.92,12.24,57.4,69.67,34.12,4.19
2017-04-30,金門,2.15,12.09,14.22,41.02,57.35,38.54,3.5
2017-05-07,金門,1.62,10.77,12.35,39.8,64.46,32.16,4.16
2017-05-14,金門,1.02,9.04,10.07,48.18,43.8,25.47,3.24
2017-05-21,金門,0.71,8.28,9.01,49.3,39.63,24.83,3.53
2017-05-28,金門,0.86,7.78,8.65,38.61,38.54,22.3,3.47
2017-06-04,金門,1.45,7.08,8.52,34.98,33.13,24.1,2.97
2017-06-11,金門,1.58,7.25,8.79,30.84,19.84,12.21,2.65
2017-06-18,金門,1.4,5.52,6.93,24.45,18.19,10.93,2.42
2017-06-25,金門,1.88,6.33,8.21,22.65,23.75,12.39,2.68
2017-07-02,金門,2.09,5.68,7.77,19.1,14.68,7.54,2.28
2017-07-09,金門,2.63,6.18,8.8,18.63,17.32,9.07,3.26
2017-07-16,金門,2.66,6.71,9.36,27.42,28.71,13.88,2.86
2017-07-23,金門,2.21,6.48,8.67,27.07,34.4,12.94,3.02
2017-07-30,金門,1.04,6.3,7.33,32.23,32.36,14.59,2.7
2017-08-06,金門,1.4,6.41,7.81,27.69,34.51,14.52,2.94
2017-08-13,金門,2.49,10.3,12.7,23.49,33.14,15.48,3.78
2017-08-20,金門,1.23,8.72,9.95,27.97,42.74,13.35,3.48
2017-08-27,金門,0.8,5.22,6.01,36.88,34.27,12.33,2.43
2017-09-03,金門,0.81,5.66,6.47,32.11,28.0,13.57,2.13
2017-09-10,金門,1.24,8.57,9.81,47.93,46.05,22.47,3.74
2017-09-17,金門,0.63,7.68,8.31,57.01,54.13,30.21,4.41
2017-09-24,金門,1.44,7.5,8.94,36.49,36.64,17.69,3.63
2017-10-01,金門,0.66,7.3,7.95,45.72,52.08,24.14,3.3
2017-10-08,金門,0.53,4.29,4.81,35.91,42.36,12.86,2.36
2017-10-15,金門,0.83,6.38,7.21,42.17,35.3,16.57,3.12
2017-10-22,金門,0.65,8.98,9.65,65.2,66.58,31.86,4.09
2017-10-29,金門,0.71,10.36,11.04,56.44,81.96,34.13,4.41
2017-11-05,金門,1.48,10.86,12.33,41.88,60.97,31.73,4.37
2017-11-12,金門,1.25,12.48,13.7,34.4,49.58,29.99,4.3
2017-11-19,金門,1.61,11.15,12.78,33.48,49.39,26.29,4.72
2017-11-26,金門,2.03,12.71,14.77,33.79,50.38,25.11,4.33
2017-12-03,金門,0.78,12.17,12.92,48.53,85.02,46.54,4.7
2017-12-10,金門,1.02,12.8,13.78,35.99,57.47,29.81,4.23
2017-12-17,金門,1.48,13.95,15.41,40.31,80.02,39.35,4.34
2017-12-24,金門,2.48,15.54,18.02,38.41,89.59,41.86,5.21
