日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,新竹,3.51,13.65,17.16,22.56,23.39,15.47,2.0
2019-01-08,新竹,3.08,15.74,18.82,20.56,42.55,22.27,1.98
2019-01-15,新竹,2.5,14.78,17.26,31.03,49.56,28.65,2.05
2019-01-22,新竹,1.86,15.06,16.92,35.61,48.97,25.1,2.49
2019-01-29,新竹,3.93,18.06,21.97,24.6,53.65,31.35,1.89
2019-02-05,新竹,0.76,9.51,10.22,28.89,40.01,20.84,1.38
2019-02-12,新竹,1.36,13.33,14.62,26.8,31.04,18.65,1.78
2019-02-19,新竹,4.73,15.52,20.19,28.98,38.19,20.66,2.18
2019-02-26,新竹,1.4,15.99,17.33,32.06,53.39,29.66,2.06
2019-03-05,新竹,1.57,17.39,18.9,32.64,32.44,20.61,1.95
2019-03-12,新竹,1.78,17.83,19.53,38.35,48.24,25.2,1.95
2019-03-19,新竹,2.12,15.46,17.52,29.54,44.6,18.77,2.06
2019-03-26,新竹,0.88,11.74,12.59,41.16,41.79,17.06,1.93
2019-04-02,新竹,0.88,12.86,13.64,41.17,43.98,17.69,2.09
2019-04-09,新竹,0.87,10.67,11.5,38.16,38.54,13.88,2.07
2019-04-16,新竹,1.22,15.64,16.8,33.64,42.85,20.14,2.38
2019-04-23,新竹,1.08,10.87,11.91,31.78,38.57,14.96,2.4
2019-04-30,新竹,0.79,10.44,11.14,41.81,34.6,13.46,1.75
2019-05-07,新竹,1.21,12.96,14.17,36.45,32.3,13.96,2.15
2019-05-14,新竹,1.25,8.87,10.1,23.57,34.43,14.11,2.23
2019-05-21,新竹,1.27,15.55,16.8,41.46,48.04,21.05,2.52
2019-05-28,新竹,1.4,10.81,12.18,30.87,31.46,10.34,2.27
2019-06-04,新竹,2.5,9.78,12.27,16.42,25.08,3.17,2.32
2019-06-11,新竹,1.17,12.03,13.19,40.49,28.61,11.01,1.79
2019-06-18,新竹,1.73,10.62,12.36,16.89,22.83,6.76,2.02
2019-06-25,新竹,2.05,10.98,13.03,23.65,22.5,8.01,1.94
2019-07-02,新竹,1.51,7.12,8.63,22.9,13.18,7.25,1.72
2019-07-09,新竹,1.57,7.31,8.88,20.19,32.5,10.55,2.02
2019-07-16,新竹,1.58,7.4,8.96,22.62,26.16,8.77,2.14
2019-07-23,新竹,2.34,9.87,12.21,20.31,20.8,9.15,2.07
2019-07-30,新竹,1.61,9.21,10.82,27.62,25.12,12.18,1.81
2019-08-06,新竹,1.89,6.41,8.31,23.2,22.41,9.89,1.62
2019-08-13,新竹,1.3,7.95,9.25,33.36,16.44,9.35,2.02
2019-08-20,新竹,1.53,9.845,11.365,32.25,23.86,13.27,2.675
2019-08-27,新竹,1.76,11.74,13.48,31.14,31.28,17.19,3.33
2019-09-03,新竹,2.7,10.98,13.67,25.2,23.37,12.43,1.94
2019-09-10,新竹,1.13,8.89,10.02,31.25,26.04,13.55,2.08
2019-09-17,新竹,0.82,10.49,11.34,47.65,32.05,17.51,1.77
2019-09-24,新竹,1.32,9.72,11.02,28.64,19.66,9.22,2.01
2019-10-01,新竹,1.62,11.81,13.42,36.32,41.13,26.44,2.36
2019-10-08,新竹,0.84,10.47,11.3,48.26,32.07,17.1,2.23
2019-10-15,新竹,0.79,9.14,9.92,48.47,33.79,14.07,2.04
2019-10-22,新竹,0.85,11.22,12.06,44.61,29.74,14.23,2.3
2019-10-29,新竹,0.84,9.27,10.14,48.02,45.27,18.09,1.88
2019-11-05,新竹,1.21,10.26,11.49,45.51,29.69,13.18,2.09
2019-11-12,新竹,1.72,15.45,17.18,39.87,47.43,25.43,2.23
2019-11-19,新竹,1.41,9.94,11.36,30.42,24.58,10.59,1.91
2019-11-26,新竹,1.14,11.11,12.25,33.84,26.01,12.28,1.88
2019-12-03,新竹,1.29,10.75,12.05,37.0,23.42,10.28,1.63
2019-12-10,新竹,4.31,17.0,21.33,29.59,35.52,19.86,2.31
2019-12-17,新竹,6.0,14.22,20.24,23.41,21.2,10.67,2.16
2019-12-24,新竹,2.63,15.02,17.65,24.29,25.52,13.26,1.9
