日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,古亭,6.68,23.07,29.74,23.56,38.36,25.32,2.58
2017-01-08,古亭,4.15,17.73,21.83,29.69,33.7,24.32,2.73
2017-01-15,古亭,5.54,19.43,24.98,26.08,27.17,15.48,1.96
2017-01-22,古亭,3.27,14.72,17.97,36.41,27.32,17.94,2.04
2017-01-29,古亭,4.75,16.53,21.31,27.42,25.28,20.2,2.04
2017-02-05,古亭,3.51,16.03,19.52,35.32,41.14,27.35,2.21
2017-02-12,古亭,4.7,18.67,23.33,36.75,26.9,22.57,2.08
2017-02-19,古亭,7.32,23.72,31.02,24.97,23.09,20.43,2.09
2017-02-26,古亭,7.02,23.97,30.99,26.21,50.96,27.31,2.3
2017-03-05,古亭,5.76,25.18,30.94,36.3,49.29,26.7,2.01
2017-03-12,古亭,4.76,22.12,26.86,32.3,22.8,18.22,2.39
2017-03-19,古亭,5.44,22.19,27.59,33.38,29.62,15.91,3.04
2017-03-26,古亭,4.46,23.31,27.76,42.61,57.32,33.35,2.58
2017-04-02,古亭,5.87,21.96,27.86,41.56,43.0,27.94,2.5
2017-04-09,古亭,6.29,23.71,30.05,32.07,39.17,22.58,3.08
2017-04-16,古亭,7.08,21.8,28.88,23.35,38.07,22.77,2.2
2017-04-23,古亭,6.38,24.16,30.51,38.99,35.81,19.9,2.63
2017-04-30,古亭,4.91,19.41,24.26,33.74,36.96,22.37,3.1
2017-05-07,古亭,4.91,20.28,25.23,31.53,40.52,19.31,2.77
2017-05-14,古亭,3.37,17.25,20.5,38.76,24.98,12.96,3.02
2017-05-21,古亭,3.8,17.04,20.86,33.19,36.32,11.12,2.72
2017-05-28,古亭,5.12,17.72,22.8,27.81,22.31,10.14,1.92
2017-06-04,古亭,4.83,20.09,24.92,27.48,31.04,20.11,3.27
2017-06-11,古亭,8.45,21.46,29.9,20.71,15.93,6.76,2.35
2017-06-18,古亭,9.29,18.33,27.58,18.53,19.5,10.05,3.23
2017-06-25,古亭,4.7,17.45,22.12,26.84,26.89,15.01,3.18
2017-07-02,古亭,6.41,16.01,22.38,20.72,18.34,9.79,2.32
2017-07-09,古亭,5.62,17.46,23.11,22.78,23.47,13.72,2.72
2017-07-16,古亭,4.98,13.24,18.21,20.79,19.2,11.32,2.71
2017-07-23,古亭,3.96,14.16,18.1,28.71,24.58,15.34,2.76
2017-07-30,古亭,5.46,17.45,22.87,25.6,27.59,14.16,2.69
2017-08-06,古亭,3.65,14.39,18.08,25.6,29.47,15.74,2.39
2017-08-13,古亭,3.75,16.38,20.06,31.71,31.85,20.88,3.29
2017-08-20,古亭,4.15,12.07,16.16,24.17,17.08,12.17,2.6
2017-08-27,古亭,3.7,11.1,14.83,25.92,15.49,11.67,2.44
2017-09-03,古亭,5.14,19.22,24.34,22.89,26.43,15.51,3.24
2017-09-10,古亭,5.01,18.66,23.66,27.79,29.13,15.13,2.97
2017-09-17,古亭,3.16,17.53,20.69,43.98,35.31,22.01,4.07
2017-09-24,古亭,3.39,15.7,19.12,34.95,30.31,18.39,2.84
2017-10-01,古亭,2.93,14.47,17.47,34.39,29.5,17.05,2.83
2017-10-08,古亭,3.45,9.19,12.64,19.34,13.19,8.42,1.85
2017-10-15,古亭,6.5,17.03,23.46,25.68,17.38,11.16,1.77
2017-10-22,古亭,4.75,19.84,24.59,37.29,38.41,19.67,1.92
2017-10-29,古亭,4.64,18.64,23.24,31.61,30.36,14.73,1.92
2017-11-05,古亭,3.26,13.98,17.26,31.43,21.99,13.41,1.86
2017-11-12,古亭,5.8,18.66,24.5,24.78,19.59,11.82,2.53
2017-11-19,古亭,6.86,18.99,25.78,23.68,15.98,8.59,1.93
2017-11-26,古亭,6.18,17.21,23.34,26.75,20.13,11.71,1.77
2017-12-03,古亭,5.29,19.58,24.88,27.33,28.99,15.75,2.31
2017-12-10,古亭,6.05,17.87,23.89,27.57,20.68,11.55,1.75
2017-12-17,古亭,4.91,17.92,22.84,29.07,25.96,13.57,2.2
2017-12-24,古亭,3.3,15.84,19.16,34.22,43.99,20.65,1.99
