日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,土城,7.12,20.07,27.19,22.76,39.21,22.21,2.87
2017-01-08,土城,3.0,15.07,18.1,31.01,36.89,19.96,2.98
2017-01-15,土城,3.6,16.19,19.78,27.51,29.4,11.56,2.17
2017-01-22,土城,2.37,12.39,14.77,37.46,35.29,13.06,2.11
2017-01-29,土城,5.12,14.83,19.95,27.59,37.27,17.37,2.47
2017-02-05,土城,2.81,12.73,15.54,36.49,49.13,23.84,2.38
2017-02-12,土城,5.76,18.11,23.84,35.9,36.84,18.55,2.5
2017-02-19,土城,5.4,21.89,27.3,25.52,30.63,17.3,2.3
2017-02-26,土城,6.91,21.91,28.78,33.07,47.47,24.01,2.39
2017-03-05,土城,4.68,20.85,25.49,39.33,37.23,23.4,2.09
2017-03-12,土城,3.58,19.9,23.43,32.97,31.94,18.48,2.52
2017-03-19,土城,5.74,19.67,25.37,34.45,28.7,16.78,3.68
2017-03-26,土城,5.99,22.19,28.16,41.34,64.31,33.44,3.38
2017-04-02,土城,6.08,23.13,29.22,40.98,48.75,32.19,3.19
2017-04-09,土城,8.67,22.44,31.17,29.17,41.14,24.47,2.96
2017-04-16,土城,8.18,19.4,27.61,24.42,39.98,21.0,2.95
2017-04-23,土城,6.66,19.32,25.97,41.34,36.6,16.4,3.11
2017-04-30,土城,5.68,21.44,27.13,31.88,41.0,23.14,3.37
2017-05-07,土城,5.92,19.87,25.81,28.05,46.03,19.61,3.45
2017-05-14,土城,2.1,13.89,15.97,39.17,24.04,11.7,2.89
2017-05-21,土城,3.02,13.58,16.56,34.93,27.23,12.0,2.64
2017-05-28,土城,3.0,14.64,17.63,29.11,22.48,9.66,2.06
2017-06-04,土城,5.01,17.32,22.29,27.27,38.66,19.26,2.71
2017-06-11,土城,7.06,17.93,25.0,22.0,22.76,8.29,2.3
2017-06-18,土城,11.24,16.42,27.64,19.54,29.28,12.0,3.6
2017-06-25,土城,6.05,15.93,21.99,25.55,36.37,15.34,3.59
2017-07-02,土城,7.86,16.45,24.3,21.08,32.03,9.96,3.69
2017-07-09,土城,8.33,17.88,26.14,23.11,36.39,15.05,3.53
2017-07-16,土城,5.45,14.79,20.18,23.43,30.57,15.19,3.53
2017-07-23,土城,4.49,14.0,18.48,25.28,27.63,14.05,2.81
2017-07-30,土城,6.25,16.38,22.59,24.9,32.35,13.5,2.88
2017-08-06,土城,2.97,12.27,15.31,23.8,33.92,13.2,2.57
2017-08-13,土城,4.91,15.32,20.18,30.09,36.83,19.1,3.67
2017-08-20,土城,3.91,11.3,15.15,24.44,25.08,11.5,2.2
2017-08-27,土城,2.67,10.42,13.05,24.28,18.94,8.03,2.18
2017-09-03,土城,3.79,15.59,19.34,26.62,31.35,15.66,3.04
2017-09-10,土城,4.17,14.87,19.05,27.85,34.12,14.98,3.1
2017-09-17,土城,3.49,18.39,21.89,45.97,47.93,27.25,4.2
2017-09-24,土城,3.56,16.05,19.58,33.56,34.29,19.02,3.23
2017-10-01,土城,3.18,14.09,17.33,34.0,38.23,18.52,2.88
2017-10-08,土城,1.81,9.05,10.86,19.54,18.26,6.37,1.64
2017-10-15,土城,5.63,12.66,18.24,25.74,26.93,10.85,1.87
2017-10-22,土城,4.55,15.51,20.03,41.64,48.02,21.69,2.22
2017-10-29,土城,3.09,15.4,18.51,31.65,39.82,16.58,2.11
2017-11-05,土城,1.76,12.25,14.02,33.79,29.49,13.86,2.36
2017-11-12,土城,4.68,17.98,22.59,24.34,27.38,14.14,2.58
2017-11-19,土城,3.36,15.55,18.79,26.04,21.1,9.67,2.03
2017-11-26,土城,3.98,15.27,19.31,29.58,24.91,13.62,2.48
2017-12-03,土城,2.98,16.88,19.9,28.68,32.6,15.9,2.35
2017-12-10,土城,5.23,15.28,20.5,28.02,24.4,11.3,2.1
2017-12-17,土城,3.49,16.46,19.93,30.43,32.47,15.05,2.59
2017-12-24,土城,1.83,13.7,15.55,35.64,48.78,23.2,2.4
