日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,桃園,5.95,20.67,26.66,23.02,42.47,22.61,4.32
2017-01-08,桃園,3.13,16.14,19.24,29.85,39.21,20.39,4.27
2017-01-15,桃園,3.34,14.72,18.06,28.4,30.71,12.43,3.3
2017-01-22,桃園,2.53,12.66,15.15,36.41,36.27,14.5,3.51
2017-01-29,桃園,3.33,14.24,17.54,28.34,36.23,17.79,2.96
2017-02-05,桃園,2.28,12.62,14.91,36.9,44.06,23.9,2.82
2017-02-12,桃園,4.92,20.05,24.93,35.52,41.01,21.35,3.17
2017-02-19,桃園,4.61,19.65,24.27,28.38,32.73,17.3,2.68
2017-02-26,桃園,5.51,20.6,26.12,34.55,46.05,24.29,3.64
2017-03-05,桃園,3.65,20.34,23.99,40.0,42.34,23.49,3.61
2017-03-12,桃園,2.71,16.94,19.73,34.47,34.82,17.84,3.4
2017-03-19,桃園,4.85,18.85,23.69,35.95,29.4,15.72,3.94
2017-03-26,桃園,3.54,22.67,26.19,41.03,70.07,36.34,5.39
2017-04-02,桃園,5.06,23.15,28.22,39.55,56.85,31.36,4.98
2017-04-09,桃園,5.23,22.04,27.26,29.7,44.79,23.29,4.88
2017-04-16,桃園,4.12,19.73,23.85,26.77,48.19,25.93,4.14
2017-04-23,桃園,6.04,22.51,28.56,39.46,44.1,19.96,4.67
2017-04-30,桃園,4.71,24.07,28.75,29.49,49.67,27.8,6.87
2017-05-07,桃園,3.83,20.73,24.51,27.02,51.47,21.29,5.39
2017-05-14,桃園,2.2,15.77,17.98,38.79,27.99,14.14,4.36
2017-05-21,桃園,2.6,15.6,18.19,31.74,28.14,13.84,4.86
2017-05-28,桃園,2.24,12.34,14.6,30.61,23.31,11.23,3.22
2017-06-04,桃園,5.48,18.33,23.86,22.3,40.38,20.73,5.2
2017-06-11,桃園,4.66,16.9,21.47,24.48,25.86,9.91,3.96
2017-06-18,桃園,7.49,15.96,23.43,15.58,27.49,11.87,4.74
2017-06-25,桃園,3.69,16.17,19.87,22.98,33.2,15.52,4.88
2017-07-02,桃園,4.69,17.9,22.69,19.17,27.63,12.96,5.45
2017-07-09,桃園,4.33,17.86,22.19,22.9,35.5,17.22,5.66
2017-07-16,桃園,3.44,16.02,19.47,24.02,34.66,17.26,6.2
2017-07-23,桃園,2.77,13.64,16.37,23.76,31.4,16.66,4.8
2017-07-30,桃園,4.86,17.71,22.55,22.59,35.93,16.83,4.97
2017-08-06,桃園,2.19,11.49,13.62,21.55,30.82,13.95,2.96
2017-08-13,桃園,3.01,15.61,18.6,25.29,34.34,19.26,5.06
2017-08-20,桃園,3.2,13.2,16.41,21.45,27.11,14.48,4.14
2017-08-27,桃園,2.21,11.83,13.94,24.39,22.22,11.99,4.28
2017-09-03,桃園,3.29,17.82,21.15,24.95,32.8,18.46,5.57
2017-09-10,桃園,3.82,16.96,20.8,27.81,36.22,16.71,4.64
2017-09-17,桃園,2.7,21.26,23.97,43.1,50.07,29.91,6.87
2017-09-24,桃園,2.44,16.35,18.78,30.43,38.16,21.53,4.97
2017-10-01,桃園,2.17,15.19,17.35,33.23,39.28,20.67,5.33
2017-10-08,桃園,2.55,9.43,11.95,19.73,21.07,7.06,3.41
2017-10-15,桃園,5.14,13.27,18.35,26.88,25.39,9.82,3.23
2017-10-22,桃園,2.0,15.44,17.42,42.99,45.64,21.68,3.59
2017-10-29,桃園,3.2,16.01,19.18,33.87,39.1,16.44,4.55
2017-11-05,桃園,2.62,14.62,17.28,33.21,33.92,15.5,4.58
2017-11-12,桃園,3.91,17.56,21.46,24.12,30.09,15.48,4.6
2017-11-19,桃園,3.89,15.12,18.97,26.08,22.64,9.29,3.91
2017-11-26,桃園,4.54,15.36,19.89,26.8,31.47,14.09,4.52
2017-12-03,桃園,2.92,15.05,17.96,30.28,36.4,16.62,4.1
2017-12-10,桃園,5.31,14.71,19.99,28.35,28.9,12.53,4.76
2017-12-17,桃園,4.84,18.25,23.06,26.98,39.15,17.8,4.94
2017-12-24,桃園,2.2,13.83,15.91,33.71,53.48,25.63,3.66
