日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,士林,4.3,14.53,18.8,30.05,32.07,17.17,2.68
2017-01-08,士林,2.47,10.99,13.47,35.87,32.07,18.72,2.22
2017-01-15,士林,2.89,10.95,13.81,32.18,25.27,10.65,1.95
2017-01-22,士林,1.85,7.72,9.56,41.82,31.23,12.84,2.21
2017-01-29,士林,3.72,11.67,15.35,31.24,29.47,15.02,2.63
2017-02-05,士林,2.04,8.59,10.62,40.81,43.64,22.66,2.6
2017-02-12,士林,4.71,15.1,19.8,37.99,34.8,16.49,2.51
2017-02-19,士林,4.42,18.3,22.67,27.63,28.88,15.4,2.06
2017-02-26,士林,2.48,15.59,18.06,38.16,41.99,21.05,2.36
2017-03-05,士林,3.0,16.41,19.4,42.15,37.02,20.04,2.23
2017-03-12,士林,3.27,14.74,17.9,35.31,29.75,13.84,1.39
2017-03-19,士林,3.03,15.29,18.33,35.57,24.12,12.72,2.27
2017-03-26,士林,4.1,19.39,23.51,42.93,60.75,28.8,2.59
2017-04-02,士林,3.6,17.58,21.16,40.53,44.76,24.81,2.57
2017-04-09,士林,4.15,18.6,22.77,31.59,40.45,19.15,3.22
2017-04-16,士林,4.46,18.58,23.05,24.33,39.56,20.65,2.48
2017-04-23,士林,3.23,16.5,19.77,43.77,37.0,15.18,2.29
2017-04-30,士林,3.26,15.97,19.2,32.5,36.34,20.69,3.09
2017-05-07,士林,2.58,16.6,19.15,29.67,41.83,17.84,3.51
2017-05-14,士林,2.13,10.08,12.19,41.33,24.39,11.24,2.06
2017-05-21,士林,2.06,11.2,13.28,34.62,26.77,11.3,2.63
2017-05-28,士林,2.63,12.59,15.2,28.98,20.1,10.18,2.7
2017-06-04,士林,2.73,15.35,18.07,25.91,32.3,18.12,3.53
2017-06-11,士林,6.11,17.88,24.02,20.41,20.72,8.53,2.09
2017-06-18,士林,8.62,15.81,24.45,17.2,24.39,11.02,2.7
2017-06-25,士林,2.85,14.85,17.71,25.4,30.89,15.03,3.01
2017-07-02,士林,3.55,15.01,18.54,20.61,24.39,10.65,2.94
2017-07-09,士林,4.61,15.9,20.51,19.72,31.93,12.59,3.51
2017-07-16,士林,2.35,11.3,13.63,22.19,24.66,11.59,2.97
2017-07-23,士林,1.94,10.37,12.27,26.03,28.6,14.78,3.62
2017-07-30,士林,4.52,16.58,21.1,25.39,33.3,15.16,2.67
2017-08-06,士林,2.24,12.07,14.34,24.35,33.71,15.04,3.1
2017-08-13,士林,3.17,13.75,16.9,26.66,32.16,18.9,3.25
2017-08-20,士林,2.67,8.56,11.22,23.39,21.99,11.56,2.53
2017-08-27,士林,2.28,6.39,8.67,30.08,21.34,11.19,2.84
2017-09-03,士林,2.58,12.89,15.48,23.47,27.51,13.8,3.23
2017-09-10,士林,2.59,11.3,13.84,32.2,34.05,14.83,2.72
2017-09-17,士林,1.89,12.78,14.64,44.6,39.84,22.03,4.0
2017-09-24,士林,3.1,14.47,17.56,31.66,35.81,18.32,3.79
2017-10-01,士林,1.52,8.5,10.02,37.52,35.53,16.89,3.21
2017-10-08,士林,1.67,3.81,5.47,24.52,18.98,8.19,2.03
2017-10-15,士林,5.33,11.14,16.49,28.63,21.99,8.79,1.57
2017-10-22,士林,3.49,13.82,17.16,44.56,42.01,19.46,1.3
2017-10-29,士林,2.54,10.69,13.23,39.65,34.35,13.79,3.27
2017-11-05,士林,1.35,6.7,7.95,40.58,24.87,10.93,2.01
2017-11-12,士林,2.81,11.75,14.53,31.06,21.22,11.6,2.6
2017-11-19,士林,3.48,11.15,14.62,30.32,18.38,7.87,2.46
2017-11-26,士林,4.17,8.44,11.91,33.85,20.16,9.53,1.71
2017-12-03,士林,2.32,11.17,13.45,36.06,30.61,14.17,1.97
2017-12-10,士林,4.28,10.24,14.49,35.07,23.12,9.98,3.01
2017-12-17,士林,2.22,8.14,10.37,38.6,25.79,11.45,2.05
2017-12-24,士林,2.37,9.6,11.95,39.93,43.4,19.82,2.36
