日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,關山,2.0,4.84,6.82,26.65,31.21,15.33,1.48
2015-01-08,關山,1.59,5.06,6.66,32.52,31.16,16.75,1.48
2015-01-15,關山,1.01,5.32,6.31,32.71,42.43,21.93,1.62
2015-01-22,關山,1.08,4.99,6.06,34.73,38.74,19.07,1.67
2015-01-29,關山,1.95,4.47,6.41,29.23,15.77,6.69,1.27
2015-02-05,關山,0.92,5.73,6.66,30.64,33.04,16.54,1.6
2015-02-12,關山,1.9,5.32,7.2,35.18,45.92,22.73,1.44
2015-02-19,關山,1.99,3.84,5.83,28.96,29.22,12.57,1.18
2015-02-26,關山,,,,26.15,21.96,8.11,1.2
2015-03-05,關山,2.07,4.97,7.04,32.98,20.01,7.43,1.18
2015-03-12,關山,1.26,3.45,4.71,25.65,21.4,7.06,1.18
2015-03-19,關山,1.49,3.3,4.77,36.9,25.77,12.2,1.14
2015-03-26,關山,2.13,3.06,5.18,25.82,16.67,6.75,1.06
2015-04-02,關山,2.15,2.55,4.71,17.89,13.85,5.24,1.19
2015-04-09,關山,1.67,3.22,4.89,38.4,24.84,11.85,1.22
2015-04-16,關山,1.59,2.94,4.53,27.53,22.08,9.47,1.1
2015-04-23,關山,1.41,2.74,4.15,30.55,19.57,9.18,1.18
2015-04-30,關山,1.76,3.1,4.85,29.99,19.86,12.01,1.27
2015-05-07,關山,1.68,2.53,4.2,21.47,20.23,9.05,1.45
2015-05-14,關山,1.76,2.36,4.11,21.41,21.11,8.7,1.31
2015-05-21,關山,1.78,2.85,4.63,23.83,9.48,3.95,1.2
2015-05-28,關山,2.1,2.17,4.27,15.46,18.55,6.13,1.24
2015-06-04,關山,1.97,2.04,4.01,18.93,18.51,8.24,1.14
2015-06-11,關山,1.37,2.28,3.61,16.08,18.85,4.82,1.19
2015-06-18,關山,2.12,2.97,5.09,17.38,27.26,6.29,1.22
2015-06-25,關山,1.52,4.57,6.08,26.22,47.22,18.73,1.49
2015-07-02,關山,1.27,3.72,4.99,20.49,20.06,6.3,1.34
2015-07-09,關山,1.88,3.19,5.05,23.37,24.94,9.72,1.22
2015-07-16,關山,1.55,2.89,4.44,18.34,27.95,8.38,1.17
2015-07-23,關山,1.73,3.11,4.83,17.28,27.6,11.66,1.36
2015-07-30,關山,1.53,2.45,3.97,12.78,17.7,8.06,1.25
2015-08-06,關山,1.72,1.91,3.59,15.97,31.58,7.73,1.27
2015-08-13,關山,1.91,3.17,5.07,16.42,19.18,8.1,1.18
2015-08-20,關山,1.42,2.83,4.24,19.57,19.85,5.37,1.23
2015-08-27,關山,1.81,3.11,4.91,12.68,27.08,4.88,1.27
2015-09-03,關山,2.37,3.02,5.38,20.17,21.82,4.48,1.34
2015-09-10,關山,1.47,2.97,4.42,29.54,22.16,10.55,1.32
2015-09-17,關山,0.94,3.33,4.26,30.04,24.36,11.32,1.28
2015-09-24,關山,1.39,3.35,4.73,23.77,26.54,10.31,1.09
2015-10-01,關山,1.59,2.67,4.25,13.05,16.45,6.08,0.98
2015-10-08,關山,1.15,3.96,5.1,35.9,32.87,14.38,1.39
2015-10-15,關山,1.29,3.05,4.33,34.92,35.73,9.23,1.34
2015-10-22,關山,1.16,2.99,4.14,25.93,21.69,10.02,1.29
2015-10-29,關山,1.58,3.26,4.83,26.11,14.41,7.01,1.31
2015-11-05,關山,2.25,3.31,5.54,18.83,17.05,4.46,1.22
2015-11-12,關山,2.07,3.73,5.8,17.26,19.76,4.96,1.17
2015-11-19,關山,1.71,3.53,5.23,24.33,18.29,6.04,1.4
2015-11-26,關山,1.93,4.05,5.97,25.44,22.1,10.29,1.28
2015-12-03,關山,1.6,5.13,6.73,25.19,21.56,8.42,1.38
2015-12-10,關山,1.77,4.12,5.87,25.86,23.05,10.82,1.4
2015-12-17,關山,1.89,4.97,6.85,21.78,23.09,9.91,1.35
2015-12-24,關山,1.67,4.97,6.63,27.22,22.76,8.38,1.29
