日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,觀音,2.03,12.73,14.6,29.79,64.24,29.27,3.93
2016-01-08,觀音,1.38,10.31,11.63,36.7,55.52,25.29,4.38
2016-01-15,觀音,1.61,12.06,13.68,35.14,57.56,29.03,4.34
2016-01-22,觀音,3.27,13.37,16.6,29.3,47.17,18.5,4.28
2016-01-29,觀音,1.63,8.53,10.14,36.14,35.86,13.51,3.1
2016-02-05,觀音,1.27,12.45,13.67,45.07,70.66,40.38,3.33
2016-02-12,觀音,2.27,16.12,18.4,26.3,43.69,20.29,4.59
2016-02-19,觀音,1.63,9.59,11.18,38.53,63.49,25.54,3.7
2016-02-26,觀音,2.67,18.87,21.49,36.51,58.22,26.77,5.94
2016-03-04,觀音,2.13,15.48,17.6,29.76,55.28,28.0,4.53
2016-03-11,觀音,2.05,16.97,19.0,34.56,45.52,20.42,4.05
2016-03-18,觀音,3.34,12.97,16.32,40.33,51.75,25.16,3.57
2016-03-25,觀音,2.03,19.25,21.28,47.25,76.46,42.14,4.71
2016-04-01,觀音,3.33,16.42,19.68,28.63,66.65,38.95,3.76
2016-04-08,觀音,2.05,14.49,16.53,31.08,42.36,21.91,3.62
2016-04-15,觀音,1.67,14.69,16.38,37.53,50.75,22.89,3.71
2016-04-22,觀音,1.74,11.49,13.19,36.38,53.31,27.78,3.41
2016-04-29,觀音,1.76,16.13,17.82,44.42,66.41,40.99,5.22
2016-05-06,觀音,1.86,11.38,13.25,28.81,41.52,18.76,3.92
2016-05-13,觀音,1.18,13.84,14.91,36.16,45.7,20.43,4.32
2016-05-20,觀音,3.57,18.95,22.49,25.91,44.11,24.9,5.19
2016-05-27,觀音,1.62,7.74,9.38,23.55,38.29,15.69,2.91
2016-06-03,觀音,1.03,9.81,10.85,32.01,38.79,18.03,3.05
2016-06-10,觀音,0.98,5.99,6.98,23.49,30.82,9.59,2.02
2016-06-17,觀音,2.23,8.82,11.02,20.07,35.84,13.94,2.92
2016-06-24,觀音,1.97,9.64,11.56,22.53,34.5,14.17,3.5
2016-07-01,觀音,2.53,9.67,12.21,19.24,37.75,11.8,3.86
2016-07-08,觀音,2.01,8.79,10.82,21.11,34.59,10.63,2.74
2016-07-15,觀音,1.85,8.31,10.17,16.47,38.42,14.34,2.56
2016-07-22,觀音,1.85,7.91,9.73,26.04,38.92,19.2,3.12
2016-07-29,觀音,1.74,10.79,12.55,28.29,40.5,18.88,3.74
2016-08-05,觀音,2.2,7.99,10.18,26.58,28.55,13.86,3.42
2016-08-12,觀音,2.02,10.23,12.27,33.29,36.76,16.31,3.53
2016-08-19,觀音,2.3,11.34,13.59,23.44,42.67,18.85,4.79
2016-08-26,觀音,0.98,12.67,13.66,47.6,52.91,27.89,4.06
2016-09-02,觀音,1.65,10.38,12.05,24.89,32.91,14.28,3.28
2016-09-09,觀音,2.56,9.97,12.52,23.78,34.43,12.52,3.23
2016-09-16,觀音,2.38,11.57,13.98,29.97,44.0,16.6,4.6
2016-09-23,觀音,1.57,10.47,12.04,26.08,44.73,17.05,4.03
2016-09-30,觀音,4.8,13.63,18.39,22.19,41.13,16.97,4.66
2016-10-07,觀音,2.55,9.12,11.64,33.16,32.95,10.55,5.0
2016-10-14,觀音,3.15,10.46,13.49,18.91,37.24,12.19,4.67
2016-10-21,觀音,1.95,12.68,14.59,30.0,53.42,27.59,4.32
2016-10-28,觀音,1.07,9.93,10.96,37.1,45.43,15.5,3.35
2016-11-04,觀音,2.06,15.21,17.19,32.16,50.09,22.46,4.93
2016-11-11,觀音,2.27,16.47,18.77,36.64,57.64,26.19,4.91
2016-11-18,觀音,2.74,15.4,18.11,30.75,43.99,18.77,5.41
2016-11-25,觀音,1.58,12.13,13.69,32.43,52.18,16.73,3.76
2016-12-02,觀音,1.13,9.63,10.76,39.14,54.22,19.17,4.97
2016-12-09,觀音,1.3,12.27,13.59,36.53,54.46,21.03,4.77
2016-12-16,觀音,4.16,17.93,22.05,28.39,54.05,28.56,5.29
2016-12-23,觀音,1.38,12.7,14.04,33.94,51.7,23.29,3.95
