日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,新營,3.39,17.09,20.46,26.32,96.47,46.87,2.74
2017-01-08,新營,2.92,18.24,21.13,23.76,77.8,37.5,3.12
2017-01-15,新營,3.1,16.34,19.47,24.44,66.13,27.14,3.0
2017-01-22,新營,2.61,16.84,19.43,30.3,75.9,31.72,3.11
2017-01-29,新營,2.06,12.8,14.86,27.98,75.92,28.78,2.72
2017-02-05,新營,1.94,15.74,17.65,29.53,91.18,40.44,3.16
2017-02-12,新營,2.53,16.75,19.29,32.95,91.05,40.52,2.66
2017-02-19,新營,2.78,16.18,18.97,25.61,85.91,38.93,2.68
2017-02-26,新營,2.2,16.0,18.18,35.64,86.43,39.86,3.37
2017-03-05,新營,2.01,16.97,19.0,31.07,74.91,39.48,2.71
2017-03-12,新營,2.13,15.54,17.76,33.63,81.42,38.34,2.65
2017-03-19,新營,2.13,14.61,16.76,34.43,82.15,35.69,3.25
2017-03-26,新營,2.42,19.45,19.28,39.23,83.96,38.83,2.97
2017-04-02,新營,1.16,13.45,14.63,43.57,66.91,32.79,2.72
2017-04-09,新營,2.11,14.2,16.29,22.9,54.75,27.28,2.54
2017-04-16,新營,1.48,9.85,11.34,25.79,49.72,23.31,2.61
2017-04-23,新營,1.61,13.84,15.43,40.12,73.18,35.55,3.0
2017-04-30,新營,1.43,12.44,13.88,33.95,62.14,30.88,2.97
2017-05-07,新營,1.84,10.05,11.9,28.37,62.24,25.2,3.07
2017-05-14,新營,1.38,11.02,12.39,33.58,49.52,21.8,2.83
2017-05-21,新營,1.65,10.16,11.78,31.36,53.09,21.25,2.85
2017-05-28,新營,1.5,7.26,8.76,24.98,44.97,14.87,2.11
2017-06-04,新營,1.8,7.84,9.64,22.56,41.46,15.57,2.76
2017-06-11,新營,1.65,5.27,6.91,16.18,25.6,6.66,1.61
2017-06-18,新營,2.17,6.74,8.91,14.22,22.3,9.18,2.31
2017-06-25,新營,1.77,6.67,8.42,17.73,25.08,9.42,2.27
2017-07-02,新營,2.22,7.2,9.4,18.85,26.35,8.38,2.26
2017-07-09,新營,1.61,6.62,8.24,23.08,34.1,11.55,2.4
2017-07-16,新營,1.72,9.15,10.86,31.17,47.7,20.86,3.12
2017-07-23,新營,1.26,6.51,7.75,28.04,40.19,18.12,2.6
2017-07-30,新營,1.53,5.36,6.87,22.39,28.69,9.83,1.94
2017-08-06,新營,1.61,4.85,6.45,14.36,34.18,9.99,1.83
2017-08-13,新營,1.41,6.25,7.66,15.94,30.41,10.5,2.43
2017-08-20,新營,1.19,8.09,9.26,26.0,43.14,17.23,2.56
2017-08-27,新營,1.11,7.45,8.54,29.17,45.13,20.46,2.85
2017-09-03,新營,1.33,6.69,8.02,23.7,30.7,13.78,2.38
2017-09-10,新營,1.37,9.56,10.94,30.13,45.15,20.93,3.03
2017-09-17,新營,0.67,10.57,11.22,47.96,65.58,40.1,3.75
2017-09-24,新營,1.22,8.69,9.9,27.69,41.15,19.66,2.72
2017-10-01,新營,0.93,8.09,9.03,37.49,56.74,26.05,2.96
2017-10-08,新營,1.18,10.37,11.54,30.15,55.83,21.36,2.61
2017-10-15,新營,1.71,10.11,11.86,26.51,49.84,15.02,2.23
2017-10-22,新營,1.42,14.1,15.57,44.33,82.9,29.82,3.07
2017-10-29,新營,2.48,15.46,17.94,35.56,87.61,26.51,2.76
2017-11-05,新營,1.4,14.84,16.21,27.1,95.33,31.85,2.75
2017-11-12,新營,2.39,16.1,18.52,23.73,82.63,32.59,2.63
2017-11-19,新營,1.38,14.55,15.88,25.48,76.31,21.15,2.65
2017-11-26,新營,1.36,14.92,16.31,26.65,88.79,25.46,2.71
2017-12-03,新營,1.73,17.41,19.07,24.72,79.53,29.55,2.43
2017-12-10,新營,3.67,19.34,23.02,22.3,81.22,29.91,3.0
2017-12-17,新營,1.69,16.13,17.88,28.58,81.23,27.31,2.72
2017-12-24,新營,2.04,17.7,19.74,30.06,114.71,44.72,3.23
