日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,新港,3.97,12.27,16.24,27.69,91.79,42.01,2.39
2017-01-08,新港,2.52,13.23,15.78,26.95,69.82,31.53,3.36
2017-01-15,新港,2.05,10.99,13.02,28.19,60.87,22.47,2.68
2017-01-22,新港,2.19,11.91,14.09,32.7,69.87,29.52,3.19
2017-01-29,新港,1.91,8.8,10.7,30.76,72.6,25.37,2.89
2017-02-05,新港,1.6,10.82,12.42,33.17,86.46,38.27,3.9
2017-02-12,新港,2.95,12.5,15.42,36.11,84.76,37.64,3.08
2017-02-19,新港,2.86,12.54,15.34,29.18,74.23,33.73,2.58
2017-02-26,新港,1.94,11.33,13.29,39.74,75.64,35.27,3.62
2017-03-05,新港,2.11,13.53,15.65,35.73,69.89,37.85,2.87
2017-03-12,新港,2.03,11.88,13.89,36.78,71.86,33.54,2.96
2017-03-19,新港,1.8,11.58,13.34,39.2,73.13,32.59,3.18
2017-03-26,新港,2.35,13.61,15.97,42.34,87.18,42.11,3.09
2017-04-02,新港,2.48,11.04,13.51,45.51,70.58,33.94,4.05
2017-04-09,新港,2.53,11.07,13.6,27.54,51.35,23.53,2.51
2017-04-16,新港,1.86,6.83,8.65,31.24,46.41,20.89,2.19
2017-04-23,新港,1.6,10.12,11.68,46.65,68.82,34.15,3.23
2017-04-30,新港,1.7,9.68,11.41,37.18,63.0,31.66,2.91
2017-05-07,新港,1.67,7.45,9.12,31.23,62.0,24.67,3.15
2017-05-14,新港,1.51,8.51,9.99,39.14,48.46,21.04,2.92
2017-05-21,新港,1.79,8.11,9.92,34.63,45.45,18.08,2.7
2017-05-28,新港,1.66,5.15,6.82,29.78,38.09,13.5,1.97
2017-06-04,新港,3.44,8.17,11.55,22.25,40.94,16.02,2.25
2017-06-11,新港,3.16,7.18,10.34,15.99,28.0,8.1,1.66
2017-06-18,新港,2.57,5.88,8.43,15.32,28.71,8.12,2.27
2017-06-25,新港,1.82,6.07,7.8,19.45,35.64,11.69,2.17
2017-07-02,新港,3.15,7.25,10.38,19.72,30.85,9.01,2.89
2017-07-09,新港,3.29,9.08,12.33,22.7,35.49,13.64,2.67
2017-07-16,新港,1.78,7.28,8.98,31.85,47.04,20.76,3.06
2017-07-23,新港,1.57,5.17,6.69,28.31,38.49,17.2,2.58
2017-07-30,新港,1.53,3.81,5.28,22.0,27.93,9.21,1.95
2017-08-06,新港,2.285,5.965,8.16,15.25,26.71,9.52,1.81
2017-08-13,新港,3.04,8.12,11.04,17.6,24.71,10.54,2.63
2017-08-20,新港,3.28,9.29,12.45,27.9,39.08,17.21,2.62
2017-08-27,新港,2.275,7.549999999999999,9.76,30.3,41.76,21.28,2.36
2017-09-03,新港,1.27,5.81,7.07,24.87,28.09,13.34,2.32
2017-09-10,新港,2.53,9.24,11.75,30.64,45.04,17.35,2.8
2017-09-17,新港,1.25,9.76,11.01,47.86,69.01,36.34,3.61
2017-09-24,新港,1.97,9.24,11.2,27.93,44.27,22.7,2.76
2017-10-01,新港,1.49,8.83,10.29,35.69,56.39,26.19,2.56
2017-10-08,新港,1.92,10.62,12.58,31.68,56.76,22.56,3.34
2017-10-15,新港,1.76,7.48,9.23,30.64,43.6,11.49,1.99
2017-10-22,新港,1.44,10.23,11.71,49.28,71.05,28.84,2.72
2017-10-29,新港,1.52,10.71,12.2,38.21,74.84,23.38,2.11
2017-11-05,新港,1.37,10.83,12.22,31.69,78.51,29.68,2.6
2017-11-12,新港,2.36,12.62,15.0,25.91,73.0,30.67,2.57
2017-11-19,新港,1.71,12.18,13.94,27.83,65.93,19.22,2.78
2017-11-26,新港,2.11,10.56,12.71,30.75,76.48,27.54,2.46
2017-12-03,新港,1.8,12.34,14.1,30.2,67.94,27.62,2.36
2017-12-10,新港,3.06,13.51,16.54,26.65,69.09,28.02,2.68
2017-12-17,新港,2.41,12.61,15.0,31.82,68.8,27.3,2.57
2017-12-24,新港,3.04,13.79,16.81,32.96,95.55,42.3,2.92
