日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,龍潭,3.6,13.87,17.48,28.52,30.99,13.17,1.89
2018-01-08,龍潭,3.0,12.94,15.93,31.27,29.48,13.52,2.16
2018-01-15,龍潭,4.44,17.61,22.04,30.32,35.5,18.47,2.77
2018-01-22,龍潭,2.07,10.87,12.94,34.63,28.12,10.45,1.99
2018-01-29,龍潭,1.98,12.92,14.91,32.46,27.35,15.72,2.28
2018-02-05,龍潭,2.62,14.65,17.26,33.58,34.63,16.77,2.23
2018-02-12,龍潭,3.21,15.59,18.79,36.62,68.23,31.47,2.61
2018-02-19,龍潭,4.03,15.57,19.6,31.15,43.81,21.36,2.31
2018-02-26,龍潭,4.62,18.67,23.3,26.4,53.47,28.98,2.41
2018-03-05,龍潭,2.11,11.98,14.09,36.75,33.73,16.67,1.94
2018-03-12,龍潭,3.84,19.63,23.47,35.99,46.83,26.82,2.93
2018-03-19,龍潭,2.1,15.57,17.67,40.39,42.65,22.17,2.26
2018-03-26,龍潭,2.71,13.84,16.56,39.39,46.01,24.38,2.29
2018-04-02,龍潭,1.91,12.85,14.75,41.36,66.16,32.43,2.49
2018-04-09,龍潭,3.76,15.8,19.56,35.1,47.94,24.07,2.58
2018-04-16,龍潭,1.78,14.27,16.04,50.66,58.18,27.26,2.62
2018-04-23,龍潭,2.05,14.67,16.71,45.98,45.88,25.16,2.67
2018-04-30,龍潭,2.1,12.38,14.48,38.51,43.92,22.88,2.5
2018-05-07,龍潭,1.6,11.32,12.91,43.14,44.87,18.36,2.54
2018-05-14,龍潭,2.16,10.76,12.92,26.69,39.63,20.54,2.72
2018-05-21,龍潭,1.9,12.55,14.45,36.47,42.7,21.61,3.02
2018-05-28,龍潭,1.53,10.2,11.73,40.53,39.24,20.24,2.69
2018-06-04,龍潭,2.45,10.8,13.25,28.48,31.2,15.74,2.55
2018-06-11,龍潭,1.74,11.71,13.44,42.06,31.78,14.01,2.12
2018-06-18,龍潭,2.49,7.56,10.04,20.7,27.33,8.75,2.03
2018-06-25,龍潭,2.09,9.15,11.23,27.7,31.22,15.45,2.38
2018-07-02,龍潭,1.65,6.58,8.21,24.9,26.56,9.36,2.02
2018-07-09,龍潭,2.84,8.95,11.79,22.71,32.7,13.38,2.49
2018-07-16,龍潭,3.24,6.47,9.7,15.01,24.44,9.13,2.16
2018-07-23,龍潭,1.9,10.57,12.47,28.18,38.69,19.0,2.85
2018-07-30,龍潭,1.95,9.65,11.59,29.91,34.71,17.79,2.58
2018-08-06,龍潭,2.05,11.01,13.06,33.43,35.26,24.08,3.08
2018-08-13,龍潭,1.8,9.93,11.74,32.15,26.76,13.79,3.4
2018-08-20,龍潭,2.5,11.72,14.21,28.77,24.86,12.68,2.41
2018-08-27,龍潭,3.15,11.1,14.25,23.54,26.71,11.17,2.42
2018-09-03,龍潭,1.75,10.8,12.55,30.84,31.2,16.86,2.48
2018-09-10,龍潭,2.25,9.16,11.4,28.43,29.96,15.25,2.64
2018-09-17,龍潭,1.78,11.71,13.48,33.46,40.25,27.9,2.78
2018-09-24,龍潭,1.62,9.71,11.31,41.6,32.37,13.81,2.54
2018-10-01,龍潭,1.55,10.33,11.88,55.46,35.36,19.22,2.57
2018-10-08,龍潭,1.56,8.87,10.43,41.67,21.3,10.84,2.56
2018-10-15,龍潭,1.72,9.65,11.36,46.13,27.43,12.6,2.37
2018-10-22,龍潭,1.8,11.89,13.69,44.72,41.88,23.45,2.76
2018-10-29,龍潭,1.73,8.33,10.07,48.35,25.54,11.82,2.17
2018-11-05,龍潭,3.59,15.01,18.6,30.95,45.26,27.55,3.1
2018-11-12,龍潭,5.15,15.58,20.72,30.1,41.31,17.9,2.68
2018-11-19,龍潭,3.62,12.53,16.15,34.03,26.55,14.73,2.45
2018-11-26,龍潭,4.81,15.48,20.29,36.26,42.02,22.8,3.01
2018-12-03,龍潭,4.18,12.89,17.06,29.75,25.14,13.22,2.77
2018-12-10,龍潭,2.21,11.48,13.69,27.93,20.76,9.33,2.54
2018-12-17,龍潭,3.52,19.22,22.73,35.76,57.13,26.3,2.95
2018-12-24,龍潭,2.03,9.05,11.07,33.7,15.25,5.88,1.92
