日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,淡水,1.11,6.04,7.16,27.88,22.77,8.42,1.63
2018-01-08,淡水,3.96,11.72,15.68,23.87,28.09,11.17,1.81
2018-01-15,淡水,4.27,11.66,15.92,25.52,27.32,13.67,2.19
2018-01-22,淡水,1.33,5.57,6.9,30.63,22.94,9.34,1.61
2018-01-29,淡水,1.43,7.23,8.66,29.43,28.71,14.99,1.73
2018-02-05,淡水,1.86,9.67,11.51,29.95,36.29,16.06,1.71
2018-02-12,淡水,2.36,11.7,14.05,30.33,62.03,23.09,2.36
2018-02-19,淡水,1.46,8.5,9.96,30.01,37.5,19.42,2.1
2018-02-26,淡水,6.4,15.38,21.79,24.3,52.89,27.09,3.29
2018-03-05,淡水,1.85,7.07,8.9,30.89,29.55,15.3,1.5
2018-03-12,淡水,3.91,16.01,19.91,24.42,39.84,21.52,2.87
2018-03-19,淡水,1.76,10.03,11.78,33.53,41.39,19.17,2.07
2018-03-26,淡水,1.7,6.21,7.9,31.54,45.5,18.46,2.45
2018-04-02,淡水,1.44,10.49,11.9,29.82,68.99,22.19,2.19
2018-04-09,淡水,4.86,15.13,19.99,22.52,45.11,18.1,2.26
2018-04-16,淡水,1.5,9.56,11.06,34.35,50.05,18.03,2.18
2018-04-23,淡水,1.24,10.98,12.21,33.24,40.06,19.69,2.52
2018-04-30,淡水,1.88,10.68,12.55,28.56,43.37,19.79,2.87
2018-05-07,淡水,1.22,10.11,11.32,29.59,39.61,15.32,2.6
2018-05-14,淡水,3.27,11.14,14.4,16.04,31.39,16.47,3.2
2018-05-21,淡水,1.49,10.11,11.6,26.66,33.16,15.45,3.26
2018-05-28,淡水,1.33,8.45,9.77,30.66,31.72,14.33,2.34
2018-06-04,淡水,1.9,7.78,9.68,19.94,33.94,11.53,1.94
2018-06-11,淡水,1.17,7.1,8.27,39.27,39.31,13.53,2.26
2018-06-18,淡水,2.82,11.13,13.92,14.47,24.52,10.84,2.89
2018-06-25,淡水,2.0,9.92,11.91,20.84,27.04,14.37,3.29
2018-07-02,淡水,1.67,8.09,9.76,21.12,25.16,11.09,2.17
2018-07-09,淡水,1.37,3.66,5.01,13.84,18.0,7.37,1.87
2018-07-16,淡水,2.07,3.23,5.3,11.74,12.93,8.15,1.88
2018-07-23,淡水,2.49,10.58,13.07,18.47,39.38,17.37,2.75
2018-07-30,淡水,2.19,9.73,11.92,23.7,36.83,16.13,3.13
2018-08-06,淡水,1.33,7.5,8.83,24.41,29.59,17.21,2.85
2018-08-13,淡水,1.81,9.62,11.43,22.58,25.94,12.26,2.35
2018-08-20,淡水,1.75,7.92,9.67,23.34,22.37,10.32,2.48
2018-08-27,淡水,3.0,12.98,15.97,18.74,28.89,12.18,2.76
2018-09-03,淡水,1.84,8.58,10.41,26.53,32.69,16.64,2.55
2018-09-10,淡水,1.31,3.89,5.2,19.52,20.03,8.71,2.01
2018-09-17,淡水,1.38,7.52,8.89,23.66,32.19,18.52,2.94
2018-09-24,淡水,0.99,5.85,6.82,39.94,41.69,14.17,1.55
2018-10-01,淡水,1.18,8.59,9.76,44.6,40.38,16.77,1.6
2018-10-08,淡水,1.13,6.08,7.21,34.34,26.32,13.1,1.43
2018-10-15,淡水,1.11,6.58,7.7,37.78,27.31,13.06,1.59
2018-10-22,淡水,1.79,10.21,11.99,34.19,43.81,17.48,2.26
2018-10-29,淡水,1.4,6.54,7.93,48.03,27.79,10.4,1.92
2018-11-05,淡水,2.44,9.88,12.3,27.68,29.03,15.35,2.47
2018-11-12,淡水,1.38,6.82,8.18,34.94,21.72,12.09,2.07
2018-11-19,淡水,1.31,6.33,7.63,37.19,18.83,10.95,2.04
2018-11-26,淡水,1.76,10.69,12.45,36.16,29.92,14.88,2.39
2018-12-03,淡水,3.45,9.47,12.93,32.84,20.49,12.45,2.05
2018-12-10,淡水,1.07,4.88,5.95,32.96,11.72,7.76,1.3
2018-12-17,淡水,2.93,12.74,15.66,37.43,33.51,15.42,2.31
2018-12-24,淡水,0.93,4.26,5.19,36.7,11.45,5.84,1.17
