日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,前金,3.12,24.13,27.28,32.24,104.0,44.4,4.17
2015-01-08,前金,3.59,22.86,26.42,30.8,91.56,37.68,3.98
2015-01-15,前金,3.68,24.79,28.52,28.14,121.91,49.02,4.48
2015-01-22,前金,2.95,27.32,30.29,34.17,111.6,52.56,4.87
2015-01-29,前金,3.31,20.55,23.84,26.91,88.42,34.03,3.47
2015-02-05,前金,4.19,24.56,28.72,30.73,114.89,51.5,4.27
2015-02-12,前金,2.54,26.35,28.91,40.31,111.52,48.97,4.73
2015-02-19,前金,2.86,17.03,19.9,31.09,82.77,34.93,5.57
2015-02-26,前金,3.49,19.67,23.19,28.03,88.38,36.55,3.72
2015-03-05,前金,4.43,24.14,28.54,27.21,100.01,40.89,4.09
2015-03-12,前金,3.47,22.12,25.49,27.84,75.31,29.06,6.09
2015-03-19,前金,2.31,18.09,20.27,36.24,97.3,40.02,4.15
2015-03-26,前金,4.75,23.3,28.06,35.29,67.09,26.88,5.29
2015-04-02,前金,3.16,15.32,18.4,21.72,50.07,16.55,4.87
2015-04-09,前金,2.41,19.09,21.46,41.04,70.96,27.34,4.46
2015-04-16,前金,3.0,14.97,17.98,25.03,53.36,17.78,5.13
2015-04-23,前金,1.59,12.88,14.42,44.13,75.96,29.03,3.79
2015-04-30,前金,1.53,9.31,10.82,35.36,46.19,19.66,3.66
2015-05-07,前金,1.94,10.65,12.58,26.78,46.72,19.75,4.2
2015-05-14,前金,1.75,8.11,9.82,20.96,25.54,9.5,3.73
2015-05-21,前金,5.56,17.45,22.89,20.92,25.96,8.97,4.82
2015-05-28,前金,2.95,8.4,11.37,18.68,25.65,7.87,4.14
2015-06-04,前金,1.92,6.28,8.17,18.75,22.95,7.44,3.31
2015-06-11,前金,2.88,6.88,9.77,14.17,27.81,8.25,4.53
2015-06-18,前金,3.38,9.92,13.31,18.48,32.15,10.91,5.38
2015-06-25,前金,1.31,5.26,6.52,21.85,38.44,10.84,3.31
2015-07-02,前金,1.7,10.17,11.91,29.71,42.98,13.22,3.29
2015-07-09,前金,1.33,7.98,9.27,31.11,34.33,12.34,3.06
2015-07-16,前金,2.65,10.98,13.57,23.55,34.88,11.51,4.82
2015-07-23,前金,2.27,8.48,10.72,18.1,28.99,10.46,2.77
2015-07-30,前金,1.33,6.84,8.15,26.28,28.27,11.54,3.08
2015-08-06,前金,2.25,9.94,12.2,21.4,44.4,12.08,4.07
2015-08-13,前金,4.06,12.1,16.16,18.12,25.65,7.75,3.49
2015-08-20,前金,1.82,11.69,13.52,32.81,41.11,15.49,3.75
2015-08-27,前金,7.88,18.11,25.99,12.36,25.17,8.12,3.87
2015-09-03,前金,2.42,10.85,13.19,27.83,28.26,11.68,3.12
2015-09-10,前金,1.06,9.94,11.02,57.98,47.34,21.03,4.25
2015-09-17,前金,1.13,10.57,11.71,53.38,46.23,25.16,3.97
2015-09-24,前金,1.49,12.39,13.9,39.4,51.9,19.3,4.52
2015-10-01,前金,1.55,10.28,11.81,40.0,64.59,26.8,3.79
2015-10-08,前金,1.52,13.85,15.39,45.14,57.98,26.37,3.82
2015-10-15,前金,2.23,20.55,22.83,43.85,78.95,33.21,4.98
2015-10-22,前金,1.72,12.08,13.76,43.17,52.96,25.93,3.73
2015-10-29,前金,1.52,17.16,18.69,42.79,78.14,32.87,3.86
2015-11-05,前金,2.09,16.93,19.0,39.44,83.65,36.06,3.74
2015-11-12,前金,1.53,16.8,18.34,43.93,72.17,32.34,4.38
2015-11-19,前金,2.71,17.55,20.31,36.2,80.31,28.98,3.89
2015-11-26,前金,2.56,20.19,22.73,40.66,86.51,34.72,4.35
2015-12-03,前金,4.53,23.83,28.37,28.29,89.41,34.25,4.34
2015-12-10,前金,3.08,20.65,23.7,30.39,87.48,39.87,3.53
2015-12-17,前金,3.94,23.17,27.08,28.59,96.01,39.8,3.98
2015-12-24,前金,3.68,23.04,26.77,27.89,86.03,38.27,3.85
