日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,小港,7.51,33.59,41.03,25.78,98.46,46.12,7.59
2015-01-08,小港,9.28,30.73,39.97,26.7,91.86,41.61,7.17
2015-01-15,小港,10.57,33.31,43.87,22.98,117.27,54.58,6.91
2015-01-22,小港,6.23,33.49,39.73,30.14,107.46,56.92,5.76
2015-01-29,小港,8.91,29.31,38.24,22.56,92.6,39.63,4.83
2015-02-05,小港,8.26,32.89,41.18,24.47,113.82,59.56,5.6
2015-02-12,小港,4.39,33.62,38.04,34.89,111.92,55.67,6.95
2015-02-19,小港,7.27,24.16,31.36,25.84,87.39,38.73,7.21
2015-02-26,小港,7.7,25.51,33.23,23.48,86.59,36.56,6.02
2015-03-05,小港,9.79,33.53,43.34,22.63,100.06,42.61,6.62
2015-03-12,小港,6.7,23.52,30.18,26.5,79.38,31.45,8.23
2015-03-19,小港,4.03,25.19,29.2,30.66,95.58,43.67,6.24
2015-03-26,小港,6.62,22.84,29.47,29.03,67.24,28.12,9.33
2015-04-02,小港,8.47,18.73,27.22,18.37,54.06,19.41,10.27
2015-04-09,小港,4.95,24.25,29.21,36.36,70.61,26.53,5.81
2015-04-16,小港,6.17,19.22,25.09,21.51,53.52,19.62,10.96
2015-04-23,小港,3.04,22.1,24.8,35.13,73.93,31.14,6.45
2015-04-30,小港,3.88,15.37,19.26,26.82,48.18,20.47,8.6
2015-05-07,小港,4.63,16.19,20.84,20.2,50.96,20.32,7.71
2015-05-14,小港,5.13,12.05,17.17,15.7,34.52,11.95,5.98
2015-05-21,小港,8.28,21.67,29.96,14.79,39.08,11.14,11.39
2015-05-28,小港,5.8,11.62,17.47,13.99,37.85,7.78,7.54
2015-06-04,小港,4.09,10.45,14.43,13.95,37.62,9.24,6.1
2015-06-11,小港,4.72,7.96,12.68,12.93,34.7,6.69,8.92
2015-06-18,小港,4.53,10.73,15.2,16.41,50.29,9.97,12.07
2015-06-25,小港,4.13,10.36,14.5,16.71,48.91,10.49,7.77
2015-07-02,小港,4.08,16.23,20.3,24.48,50.84,17.15,8.72
2015-07-09,小港,3.79,11.57,15.38,26.13,46.01,13.08,7.1
2015-07-16,小港,4.94,12.46,17.42,21.69,42.23,15.31,14.09
2015-07-23,小港,5.08,11.26,16.31,14.99,38.91,9.54,4.76
2015-07-30,小港,3.74,13.88,17.65,21.76,37.67,16.4,6.93
2015-08-06,小港,6.84,12.79,19.63,19.51,47.97,12.5,13.75
2015-08-13,小港,8.09,15.9,23.98,13.09,27.97,8.6,6.6
2015-08-20,小港,3.28,16.09,19.17,27.15,41.66,16.81,6.53
2015-08-27,小港,7.18,16.85,23.91,11.28,28.46,8.9,7.52
2015-09-03,小港,4.59,15.78,20.22,23.75,32.76,13.86,5.25
2015-09-10,小港,2.12,17.03,19.17,49.19,50.2,25.19,7.7
2015-09-17,小港,2.52,16.92,19.39,44.42,46.76,26.97,6.87
2015-09-24,小港,2.42,16.16,18.52,36.26,50.71,21.32,9.19
2015-10-01,小港,3.79,18.7,22.53,29.69,52.09,28.27,7.34
2015-10-08,小港,2.96,20.8,23.84,37.81,54.85,27.96,6.29
2015-10-15,小港,4.37,26.56,30.88,37.6,71.52,35.56,7.11
2015-10-22,小港,4.28,18.85,23.19,33.41,49.92,25.87,6.14
2015-10-29,小港,4.28,28.57,32.81,32.27,80.59,39.61,6.43
2015-11-05,小港,5.37,28.79,34.17,29.63,83.12,40.8,5.93
2015-11-12,小港,4.47,28.01,32.46,29.35,67.89,35.12,8.27
2015-11-19,小港,6.13,29.62,35.7,26.16,79.94,32.76,5.66
2015-11-26,小港,6.86,31.25,38.02,29.54,83.62,32.48,5.41
2015-12-03,小港,12.74,34.82,47.52,19.2,84.01,39.07,5.7
2015-12-10,小港,7.21,32.19,39.32,20.01,84.4,47.75,3.27
2015-12-17,小港,12.21,34.86,47.06,17.82,85.5,50.36,6.96
2015-12-24,小港,8.92,32.82,41.53,18.41,78.98,41.45,4.46
