日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,潮州,1.78,15.37,17.14,35.14,82.82,40.41,3.29
2015-01-08,潮州,1.98,16.36,18.32,36.21,88.53,42.36,3.46
2015-01-15,潮州,2.23,17.94,20.14,31.31,111.18,50.17,3.81
2015-01-22,潮州,1.77,15.69,17.51,40.62,99.74,47.25,3.46
2015-01-29,潮州,2.24,16.3,18.51,35.58,102.64,39.53,3.13
2015-02-05,潮州,2.48,17.71,20.19,35.37,123.48,58.45,3.98
2015-02-12,潮州,1.3,14.74,16.07,46.07,96.5,49.16,3.1
2015-02-19,潮州,1.73,11.75,13.5,35.36,75.82,32.68,3.09
2015-02-26,潮州,1.98,13.37,15.33,34.77,81.76,35.4,3.02
2015-03-05,潮州,2.0,17.27,19.26,38.21,102.68,43.3,3.65
2015-03-12,潮州,1.79,11.72,13.5,29.75,62.36,26.6,2.21
2015-03-19,潮州,2.15,12.51,14.64,37.77,89.05,41.76,3.2
2015-03-26,潮州,1.83,10.87,12.71,35.13,58.94,24.22,2.25
2015-04-02,潮州,2.4,9.97,12.36,23.41,47.71,17.71,2.73
2015-04-09,潮州,1.57,13.83,15.38,42.27,69.03,29.29,3.04
2015-04-16,潮州,1.98,9.6,11.53,26.45,43.27,17.86,2.85
2015-04-23,潮州,1.38,10.25,11.59,45.64,63.86,31.34,3.4
2015-04-30,潮州,1.5,7.79,9.27,30.41,41.29,20.93,2.11
2015-05-07,潮州,2.0,9.37,11.36,26.98,42.73,21.85,2.67
2015-05-14,潮州,2.11,8.5,10.58,20.98,34.59,14.43,2.75
2015-05-21,潮州,1.49,6.14,7.62,24.24,21.52,7.03,1.48
2015-05-28,潮州,1.65,6.22,7.88,18.83,32.77,11.64,2.28
2015-06-04,潮州,1.86,7.96,9.82,21.13,30.96,13.18,2.8
2015-06-11,潮州,2.17,5.96,8.14,15.03,24.85,9.59,2.46
2015-06-18,潮州,1.62,5.08,6.64,19.5,23.54,8.86,1.81
2015-06-25,潮州,1.84,6.18,8.03,19.44,32.8,13.88,2.68
2015-07-02,潮州,1.3,6.2,7.51,29.38,35.62,16.11,2.36
2015-07-09,潮州,1.06,3.36,4.43,30.5,32.81,11.9,1.82
2015-07-16,潮州,1.2,2.84,4.04,27.32,28.77,10.96,1.49
2015-07-23,潮州,1.54,5.24,6.77,18.37,30.88,12.85,2.13
2015-07-30,潮州,1.09,5.53,6.61,28.01,35.12,19.12,2.55
2015-08-06,潮州,1.19,3.38,4.56,25.79,33.64,13.63,1.89
2015-08-13,潮州,1.62,6.09,7.71,19.78,24.51,9.41,2.46
2015-08-20,潮州,1.1,4.62,5.71,32.38,39.89,18.08,2.21
2015-08-27,潮州,1.13,2.87,4.0,17.24,18.0,5.88,1.43
2015-09-03,潮州,1.37,5.43,6.79,28.99,32.56,15.57,2.5
2015-09-10,潮州,0.88,4.62,5.5,47.01,41.03,22.05,2.58
2015-09-17,潮州,1.06,6.06,7.14,37.72,38.08,20.65,2.14
2015-09-24,潮州,1.24,6.23,7.47,34.02,43.87,22.33,2.11
2015-10-01,潮州,1.08,6.22,7.28,33.35,45.68,24.29,2.71
2015-10-08,潮州,1.32,6.48,7.82,38.3,45.41,23.0,2.15
2015-10-15,潮州,0.95,7.12,8.04,48.68,65.5,32.77,2.81
2015-10-22,潮州,1.15,4.51,5.65,32.02,35.71,16.08,2.08
2015-10-29,潮州,1.26,8.17,9.43,46.79,76.71,40.89,3.42
2015-11-05,潮州,1.15,8.9,10.08,40.73,74.21,41.39,3.44
2015-11-12,潮州,0.83,8.48,9.28,43.41,66.16,37.43,3.25
2015-11-19,潮州,0.88,9.49,10.38,43.27,64.98,33.37,2.92
2015-11-26,潮州,1.03,11.53,12.58,38.33,57.54,32.33,2.34
2015-12-03,潮州,1.63,14.92,16.59,33.61,84.15,43.42,3.15
2015-12-10,潮州,1.71,13.49,15.19,31.6,76.56,41.89,2.56
2015-12-17,潮州,1.74,15.81,17.6,34.9,86.12,48.35,3.59
2015-12-24,潮州,2.19,16.15,18.33,29.54,75.5,39.01,2.83
